Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Bandwidth blocking probability,0,all,all,all, ,0.006750296957375414,0.0071798317523521366,0.005885833743231103,0.007633489696392975,0.007466565062590798,0.00736137823966234,0.004623128014277708,0.006795599406411695,0.007773567188920005,0.005734558983595545
Bandwidth blocking probability,1,all,all,all, ,0.010151786936102436,0.012801411045151622,0.011866892637199169,0.009961707516371444,0.008078439696841263,0.008387924969622089,0.012084699273164613,0.012438011215225465,0.015319001980422986,0.011813492131853336
Bandwidth blocking probability,2,all,all,all, ,0.017124587212375933,0.016774906338913327,0.011428983346814303,0.017794403388573646,0.014847461252490897,0.0158169609614101,0.02135486509143647,0.013161999973087944,0.014446006555773513,0.021782211604801163
Bandwidth blocking probability,3,all,all,all, ,0.022675415452320477,0.01933838901051125,0.021146133530869846,0.026622223808627825,0.02612871703667162,0.023324377099204152,0.025558680886021628,0.030514565331449743,0.02398268130598881,0.02580685000459261
Bandwidth blocking probability,4,all,all,all, ,0.043848045045005134,0.04713735428173857,0.029683337584323052,0.037393934186229036,0.037895307207844085,0.03079409667842926,0.044927053986995515,0.03544021903521213,0.05165435464091568,0.04249044391001909


General requested bandwidth,0,all,all,all, ,8.686843703568443E15,8.71250407206273E15,8.813722792548861E15,8.828792140539983E15,8.67361756365797E15,8.77103527663359E15,8.733404884401087E15,8.768834856248265E15,8.798459823928403E15,8.766804431057499E15
General requested bandwidth,1,all,all,all, ,8.764996857296557E15,8.760010674872097E15,8.727435567923865E15,8.813306692604304E15,8.737472106270341E15,8.731144129404915E15,8.624417442460534E15,8.751310735508605E15,8.72038763124277E15,8.799684178017661E15
General requested bandwidth,2,all,all,all, ,8.719956614308001E15,8.661053763042061E15,8.67850453775387E15,8.755198669353703E15,8.689293512057777E15,8.703789017741397E15,8.746460628470049E15,8.750381286841384E15,8.795412659327789E15,8.729777430213143E15
General requested bandwidth,3,all,all,all, ,8.784999219197981E15,8.709303846405069E15,8.756153473631468E15,8.755137248536591E15,8.751655452599618E15,8.737723518071286E15,8.72563966401617E15,8.743212758318209E15,8.740603182497281E15,8.664821512521033E15
General requested bandwidth,4,all,all,all, ,8.747824753090605E15,8.803095544096499E15,8.649781766658497E15,8.798179098936252E15,8.63243986534691E15,8.783226691221304E15,8.70683824131271E15,8.693750221749377E15,8.706955360031086E15,8.761447997137184E15


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,3.5121139841407623E-5,0.0,0.0,0.0,0.0,0.0,0.0,9.73233412584026E-5,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,5.107558708150592E-5,9.122190090274405E-6,0.0,2.5189999968182435E-5,4.977766980601223E-5,0.0,5.4383677825406336E-5
Blocking probability by lack of transmitters,3,all,all,all, ,1.74154966089049E-5,5.766717165460819E-5,6.614798912202216E-6,1.7992648219387648E-5,1.1468498448692367E-4,1.2281347284531796E-4,0.0,9.622221515477644E-5,0.0,5.227080494313526E-5
Blocking probability by lack of transmitters,4,all,all,all, ,2.9094723356909007E-4,1.0701208581428235E-4,4.022711678266632E-5,2.463387883257041E-5,2.359643997918427E-4,3.127008460359105E-4,1.8568615633769443E-4,1.1391753447015385E-5,5.21497490756258E-4,2.4701000385630295E-4


