Metrics,LoadPoint, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Total consumed energy (Joule),0, ,3.454419517139284E11,3.5058719463284503E11,3.465363084670702E11,3.806281611208111E11,3.578379472722498E11,3.503814940526706E11,3.572785484231354E11,3.414113918924529E11,3.574709535510349E11,3.563272534233891E11
Total consumed energy (Joule),1, ,3.119811051205608E11,3.112870803367016E11,3.087669097947532E11,3.1678328654079535E11,3.071085958148136E11,3.1031998158004114E11,3.159455095614416E11,3.356866502222763E11,3.325865948260139E11,3.2509881609958E11
Total consumed energy (Joule),2, ,2.78679402529147E11,2.921745070986155E11,2.8087353082498083E11,2.893492495181905E11,2.8086182005530176E11,2.8663583681517847E11,2.8273577271916504E11,2.99279942021416E11,2.8831879263568695E11,2.815386873988626E11
Total consumed energy (Joule),3, ,2.6579529501972583E11,2.6682184388735278E11,2.816395803890376E11,2.6588962903176648E11,2.7979202178838245E11,2.689451668259057E11,2.634009567541259E11,2.6251193240145416E11,2.6615144095588443E11,2.6051921054959042E11
Total consumed energy (Joule),4, ,2.5604579467683704E11,2.5421830071083002E11,2.4829667719648398E11,2.512761930542029E11,2.490495864812212E11,2.5751663536222766E11,2.5598397448562955E11,2.5266225398170877E11,2.521256729234044E11,2.461298861252571E11


Average power consumption (Watt),0, ,518700.43456023035,515080.69826897903,518485.4444316878,480157.35430923075,505349.9682036271,514070.51111059816,507192.83484086103,524285.8054356081,504462.7679969544,510590.7444349358
Average power consumption (Watt),1, ,571882.3934192385,566469.2709532244,580306.4648236212,559905.8285735785,579069.2570355609,571212.5467828899,555856.4016018998,529096.0906068294,527483.069481733,546954.2719659924
Average power consumption (Watt),2, ,635719.8979097127,600597.2630353073,634867.0120582511,624127.496961805,630547.9946946357,615523.757419614,622967.226800663,583927.4665028615,628512.3349970712,625632.9699243535
