Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Total energy consumption (Joule),0,all,all,all, ,9.955356335701584E11,1.0264326153747898E12,9.933194154876903E11,1.0470360543398745E12,1.0168294893133372E12,9.940661533748907E11,1.0104570982766726E12,1.0007575925339701E12,1.0055784938391086E12,1.0019119648320588E12
Total energy consumption (Joule),1,all,all,all, ,1.0381209759109618E12,1.0261694853813213E12,1.0353047366718323E12,1.0472562399379836E12,1.0587604240059207E12,1.019311755233415E12,1.008314268165925E12,1.0599374490807533E12,1.0674809857101771E12,1.0731563288073091E12
Total energy consumption (Joule),2,all,all,all, ,1.0327953546732723E12,1.0426642532322655E12,1.0783384965538705E12,1.0578769567227966E12,1.0367976095262117E12,1.0639460986972986E12,1.0649400120533159E12,1.070763674010797E12,1.0394075528257451E12,1.0343690534719807E12
Total energy consumption (Joule),3,all,all,all, ,1.0723208553990402E12,1.1049502765526946E12,1.118125722135865E12,1.0524538937548575E12,1.0752646817444133E12,1.0607443485838127E12,1.0735826536254221E12,1.0385546244773439E12,1.0954928878435347E12,1.0463051955397739E12
Total energy consumption (Joule),4,all,all,all, ,1.0640492962715526E12,1.0306509263767548E12,1.084472190989442E12,1.0549239096991378E12,1.0668494416577346E12,1.0439355419654839E12,1.0415373932039689E12,1.0700964707868232E12,1.0321652064903856E12,1.0167053231896702E12


Average power consumption (Watt),0,all,all,all, ,568966.1033235043,570961.3769561178,570034.6666266718,572718.1006471661,569992.178312926,569730.4179554519,570623.668970447,568279.0995660775,569506.6324524144,573187.5385171016
Average power consumption (Watt),1,all,all,all, ,641180.3474326414,639035.5860593378,640911.4944637505,641952.4080749644,639201.6305320155,636998.6987904526,635255.7422632654,642039.2297930825,640101.9510024105,643375.7258710683
Average power consumption (Watt),2,all,all,all, ,702197.358016322,701201.0195561544,703772.6364441876,712043.0679061331,701316.1013414203,701921.0234515315,699693.9013281553,704099.7826848271,713530.566354333,701550.4662683984
Average power consumption (Watt),3,all,all,all, ,771557.8415351021,772545.0779615657,774488.2920356857,760663.9673279072,765848.677572156,770086.64648917,765757.941603858,762117.1543223523,769733.2115054041,766681.4362431797
Average power consumption (Watt),4,all,all,all, ,825518.9573455765,826649.2279501851,826517.4643626511,826694.6771799127,816217.139914242,826656.90467655,819803.396626188,828100.5488422997,822551.5531755707,822895.1507935309


Energy efficiency (bits/Joule),0,all,all,all, ,3.120082968081955E7,3.0337908855215833E7,3.17547886169448E7,3.0124112152010385E7,3.047893465656266E7,3.153038258053559E7,3.097103805951265E7,3.13295482904174E7,3.125388226949255E7,3.1319628398169577E7
Energy efficiency (bits/Joule),1,all,all,all, ,3.008672403400077E7,3.033839251933954E7,2.9987233514599167E7,2.999441664300827E7,2.9469172029565E7,3.0577954635711372E7,3.0419780015942536E7,2.9353489331790652E7,2.895834248934506E7,2.9170610284128733E7
Energy efficiency (bits/Joule),2,all,all,all, ,2.987452577588531E7,2.9402327101460442E7,2.864179021040524E7,2.9264139161180977E7,2.972326145896146E7,2.898458628085754E7,2.893576329316713E7,2.9032318074859522E7,3.002294390546621E7,2.9721156827231113E7
Energy efficiency (bits/Joule),3,all,all,all, ,2.8824268788704626E7,2.7826743373586375E7,2.7595806310653374E7,2.9150352212936938E7,2.853506661769752E7,2.8962791700098563E7,2.8511494354137577E7,2.938227994737321E7,2.8034438777117625E7,2.9043490635323774E7
Energy efficiency (bits/Joule),4,all,all,all, ,2.8298781989600163E7,2.9299257882131185E7,2.786138621078522E7,2.8901657993706185E7,2.80256220694534E7,2.9356140625249498E7,2.8742507502712905E7,2.8210830835237417E7,2.8799586861828037E7,2.97047846292879E7


Total data transmitted (bits),0,all,all,all, ,3.1061537744209293E19,3.113981913126118E19,3.154264806791877E19,3.154103152813282E19,3.099187956164718E19,3.1343286126271676E19,3.129490524823154E19,3.1353283322294874E19,3.142823185918114E19,3.1379510426220028E19
Total data transmitted (bits),1,all,all,all, ,3.1233659316140667E19,3.113233263886718E19,3.1045924897348833E19,3.141183999269012E19,3.1200793073125655E19,3.11684686111747E19,3.067269822454353E19,3.111286260395729E19,3.0912479985058968E19,3.1304625041584325E19
Total data transmitted (bits),2,all,all,all, ,3.0854271444401287E19,3.0656755430535053E19,3.0885544994099753E19,3.0957858476942545E19,3.081700642797382E19,3.083803749587362E19,3.0814852110197297E19,3.108675156688665E19,3.1206074653405254E19,3.0742644855475343E19
Total data transmitted (bits),3,all,all,all, ,3.09088645637556E19,3.0747167786205127E19,3.0855580859020763E19,3.0679401690831008E19,3.0682749325234156E19,3.072211761508971E19,3.060944576754126E19,3.051510271703238E19,3.0711528295017357E19,3.0388355148350034E19
Total data transmitted (bits),4,all,all,all, ,3.011129906137614E19,3.019730727836994E19,3.0214898548013277E19,3.048905004750787E19,2.9899119256907043E19,3.0645918573634793E19,2.9936396338521117E19,3.0188310514751648E19,2.9725931520076534E19,3.02010126567997E19


Total energy consumption by transponders (Joule),0,all,all,all, ,8.214229129346747E11,8.484847394927338E11,8.185826828395138E11,8.397885227747587E11,8.317040142541195E11,8.158732093617642E11,8.26292620225534E11,8.305096221121855E11,8.203176341180464E11,8.194601711981813E11
Total energy consumption by transponders (Joule),1,all,all,all, ,8.954966512923058E11,8.82502567410148E11,8.961988921052452E11,8.993388256038302E11,9.201060742639619E11,8.772804633067648E11,8.597133097498674E11,8.940660329199265E11,9.026388431239794E11,9.177615566345472E11
Total energy consumption by transponders (Joule),2,all,all,all, ,9.181883662231991E11,9.154806847460875E11,9.62673995951112E11,9.366718052717219E11,9.203457060183457E11,9.42199257452512E11,9.462845880764926E11,9.367680109694943E11,9.194766287222026E11,9.167194442410951E11
Total energy consumption by transponders (Joule),3,all,all,all, ,9.705042961623981E11,1.0013560430513936E12,1.0002766419109543E12,9.465062577531531E11,9.577843542150527E11,9.554131666989154E11,9.737498079097189E11,9.368009905311958E11,9.934630247966837E11,9.481611103962019E11
Total energy consumption by transponders (Joule),4,all,all,all, ,9.676805007476317E11,9.361002606347103E11,9.960494789125577E11,9.630630458070361E11,9.750508024508948E11,9.461131609027815E11,9.444283957822036E11,9.774431558150387E11,9.389237395461605E11,9.295235697603584E11


Total energy consumption by OXCs (Joule),0,all,all,all, ,1.1444128639076476E11,1.1696206774622284E11,1.1485143871734492E11,1.3622022576556578E11,1.2167977981248453E11,1.1712314679932558E11,1.2104813306421228E11,1.1190105277417172E11,1.2176876581421109E11,1.1992241515470291E11
Total energy consumption by OXCs (Joule),1,all,all,all, ,9.374450712389018E10,9.442978574115067E10,9.143187090851561E10,9.722356364435793E10,9.113511115230336E10,9.335471697014828E10,9.767284537261066E10,1.09024419190164E11,1.0834789543303328E11,1.0213830190547504E11
Total energy consumption by OXCs (Joule),2,all,all,all, ,7.5329195590807E10,8.359556459862614E10,7.602428007794522E10,7.96660542585399E10,7.654182641826685E10,8.002209761132237E10,7.799016239357909E10,8.80730367847975E10,7.88285266139563E10,7.732905771968861E10
Total energy consumption by OXCs (Joule),3,all,all,all, ,6.6922267209396324E10,6.809070182398856E10,7.74601665615386E10,6.963755267186694E10,7.721779177878416E10,6.923236801981622E10,6.5618406547530785E10,6.688090750193572E10,6.706246812259361E10,6.450841336854122E10
Total energy consumption by OXCs (Joule),4,all,all,all, ,6.334154613995782E10,6.214652081209042E10,5.8118722625810104E10,6.037856047742792E10,6.033766126569523E10,6.429696282823891E10,6.3828068072812675E10,6.089942489577519E10,6.128600703677951E10,5.7303061923550064E10


Total energy consumption by Amplifiers (Joule),0,all,all,all, ,5.9671434244719055E10,6.098580813583314E10,5.988529393083162E10,7.102730579955013E10,6.344569524673309E10,6.106979721380104E10,6.311634498692632E10,5.8346917647612816E10,6.349209390685122E10,6.2529378479174706E10
Total energy consumption by Amplifiers (Joule),1,all,all,all, ,4.887981749476583E10,4.92371322300227E10,4.767397365807145E10,5.069385068979557E10,4.751923858965539E10,4.86765749565019E10,5.092811304344689E10,5.6846996970662796E10,5.649424715316447E10,5.32564702672868E10
Total energy consumption by Amplifiers (Joule),2,all,all,all, ,3.927779285926622E10,4.35880038875518E10,3.9640220524813156E10,4.153909719253477E10,3.99100770895991E10,4.172474363346418E10,4.066526158324422E10,4.592262625650522E10,4.110239748958615E10,4.0320551511197044E10
Total energy consumption by Amplifiers (Joule),3,all,all,all, ,3.489429202724576E10,3.550353167731247E10,4.0388913663372086E10,3.631008332983752E10,4.026253575057647E10,3.6098813865081085E10,3.4214439168172474E10,3.4872726444212296E10,3.496739492425738E10,3.3635671775030804E10
Total energy consumption by Amplifiers (Joule),4,all,all,all, ,3.3027249383963104E10,3.2404144929954037E10,3.030398945107417E10,3.1482303414673775E10,3.1460977941144627E10,3.352541823446349E10,3.3280929348952602E10,3.175389007600941E10,3.1955459907445557E10,2.9878691505761673E10


