Metrics,LoadPoint,link, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
External Fragmentation (Vertical),0,all, ,0.17439830165266015,0.17269508284275553,0.18830906815514495,0.17931536869301185,0.17885785113870173,0.17942681369990632,0.18494997442215358,0.17723258115678608,0.18284530103361757,0.1896247158024478
External Fragmentation (Vertical),1,all, ,0.2512258993840173,0.24572863595708194,0.25012199801267654,0.2468150382300246,0.23805174593852865,0.24784144184513887,0.24848372493106174,0.24705965150860623,0.24881236990118194,0.2536715987843048
External Fragmentation (Vertical),2,all, ,0.34137987895913907,0.32133649544547116,0.32048605594240787,0.31997750514912804,0.32343921531596403,0.31885266476845675,0.3224994949036404,0.32590753618364765,0.3159663348400974,0.32220110882405667
External Fragmentation (Vertical),3,all, ,0.3980350826148675,0.3954513629588101,0.3953047950318356,0.42679754406242415,0.3897181882143009,0.3825341411839942,0.38548280185424094,0.3985108110766213,0.39910986819330024,0.40712094838689566
External Fragmentation (Vertical),4,all, ,0.4515272100480049,0.4716887911247107,0.4409836149883833,0.4419153433513627,0.4550100558949221,0.4670481635388165,0.4616323142436022,0.459054564959534,0.45138159132707273,0.4735048004996502


External Fragmentation (Horizontal),0,all, ,0.30789687647815545,0.30741702594658527,0.33082260074110037,0.3163681007158363,0.31574536230237205,0.315701307973306,0.33014452433374347,0.31020282035943564,0.3233037435543272,0.33369257240297506
External Fragmentation (Horizontal),1,all, ,0.45145891505472036,0.4369628640432769,0.4533593206470557,0.4465932112533718,0.4316959002221083,0.44154734441446863,0.45047821124951254,0.450018630276241,0.44750416140570354,0.4579590409789386
External Fragmentation (Horizontal),2,all, ,0.6211971294173106,0.5953948373880371,0.5927386392233068,0.5992465121921889,0.5890039820358689,0.5824421552022325,0.5876031734761809,0.6063280478164079,0.586896303114244,0.5868352495630806
External Fragmentation (Horizontal),3,all, ,0.7483161487752366,0.7469879283792954,0.7503661134412499,0.777585321546502,0.7356308174356638,0.7155575515056393,0.7270952957012943,0.7325955706423652,0.7473570882601513,0.7614393001310064
External Fragmentation (Horizontal),4,all, ,0.846113172769723,0.8758713501026987,0.8392973574092152,0.8238487858740176,0.8466893268524845,0.870489627127181,0.8601330875094368,0.862052285135322,0.8378572626221975,0.8643412895870634


External Fragmentation Per Link,0,<4-11>, ,0.15422048569939178,0.1604497827301365,0.20727007591450805,0.21039697772668203,0.17510916207869667,0.21197687499129372,0.19926286445144656,0.16260991318740398,0.19749781741084677,0.20291712356636973
External Fragmentation Per Link,0,<14-12>, ,0.18841742894288546,0.15033498622224067,0.14912575919712348,0.17231386772431814,0.1466804029991366,0.12276483553007943,0.15616180845839547,0.1281178916265278,0.172428093515316,0.142037916391
External Fragmentation Per Link,0,<6-14>, ,0.1357446786839139,0.12245962713095505,0.1401921981945735,0.14138929735653183,0.11876683313909736,0.13033288721684994,0.13352949049775667,0.11245995999982106,0.12442742687197224,0.12713147453165008
External Fragmentation Per Link,0,<12-11>, ,0.25132511473372515,0.25493240182757865,0.2898604520773294,0.25543350044431745,0.2384066055358664,0.26293933724266083,0.2340425853365657,0.2595272307282142,0.27376326403923396,0.25598647252904183
External Fragmentation Per Link,0,<12-14>, ,0.1770276000592841,0.1794183857994201,0.1908159121015177,0.1829285696618495,0.19889869619153433,0.17137577294107192,0.16345774779523173,0.16404214355990607,0.21592817441566292,0.22025970000710465
External Fragmentation Per Link,0,<14-13>, ,0.23786403749499602,0.1968914158776817,0.23614939595919526,0.20961497449682406,0.18915419061235803,0.22840982210929012,0.230498658903206,0.23056624123711494,0.21754849565171389,0.24382931735030605
External Fragmentation Per Link,0,<6-10>, ,0.15373394718948383,0.15440733853700636,0.1613726480616717,0.16164931384751555,0.18508482226699657,0.15057861655216623,0.18000870553962342,0.16676632599994515,0.19053645219437235,0.14789906101176528
External Fragmentation Per Link,0,<11-4>, ,0.14254024310904878,0.1361138726655429,0.16600909323884763,0.16260960458011167,0.1547891306291943,0.15586511327762118,0.15549149959198322,0.16643825744257879,0.1686326245160633,0.19402571291538012
External Fragmentation Per Link,0,<1-2>, ,0.1928545192307049,0.16104066596946207,0.1900153893872204,0.18765893707141917,0.14236905610118958,0.16177907331494332,0.16630997417528143,0.1742885327740932,0.1786590133953292,0.1688385002874889
External Fragmentation Per Link,0,<2-1>, ,0.19074949912989192,0.19798293419140484,0.2050062957762423,0.22553888795813865,0.16806008875402276,0.21645421381669241,0.21093357828197443,0.21077182665911628,0.19168503626908884,0.1879756318111324
