Metrics,LoadPoint,Modulation,Bandwidth, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Percentage of cicuits per modulation,0,BPSK,all, ,0.061942772032138285,0.058015544984273054,0.06980632871203302,0.060120556706887304,0.060520198760631964,0.06777405128475981,0.06754033840823569,0.06002896642527979,0.06414361755442896,0.0697035963641154
Percentage of cicuits per modulation,0,QPSK,all, ,0.3023768067297405,0.2997738438742884,0.2968568102444703,0.30395859413627324,0.3008851879253441,0.2983917395093353,0.29639767416300744,0.3034206714944042,0.3006979357350482,0.2934527730206824
Percentage of cicuits per modulation,0,8QAM,all, ,0.3574807526904277,0.3706568925628428,0.36332416128690864,0.3639739530186516,0.3621977007151815,0.3592098661103335,0.3562759393105181,0.3724818959842001,0.3612701058773258,0.36846792253984983
Percentage of cicuits per modulation,0,16QAM,all, ,0.15277748641674882,0.1374977254412644,0.14235897978622075,0.14579366498700808,0.14765375352212445,0.14718884516861647,0.14829565972858258,0.13492034233048059,0.1457804694053039,0.14295349756290343
Percentage of cicuits per modulation,0,32QAM,all, ,0.0934412301495731,0.10199381320023915,0.09774579320563022,0.09608243301528524,0.09921240837229314,0.0966910502548393,0.1022447153152493,0.09768005266622778,0.097199288875759,0.0946331181662495
Percentage of cicuits per modulation,0,64QAM,all, ,0.03198095198137154,0.032062179937092206,0.029907926764737008,0.03007079813589455,0.02953075070442489,0.030744447672115562,0.029245673074406897,0.0314680710994075,0.030908582552134165,0.030789092346199448
Percentage of cicuits per modulation,1,BPSK,all, ,0.07482451962082629,0.06628019018433981,0.06608559498956158,0.06720205522369356,0.06478831979326327,0.07279031289190528,0.0763970106201652,0.06680598624780909,0.0688395175475333,0.06651510974004693
Percentage of cicuits per modulation,1,QPSK,all, ,0.28248546169267247,0.29615471696126283,0.2887108559498956,0.2864520238940641,0.3027186507708162,0.29427014722465195,0.27980595253703944,0.2879611287997428,0.29789450540246254,0.2902974087927294
Percentage of cicuits per modulation,1,8QAM,all, ,0.36426115039754614,0.3693535733278574,0.38052192066805846,0.3620034253728226,0.3608476624416068,0.3607688983970745,0.36804510292382325,0.36687028759295176,0.3580021358572745,0.366665452824005
Percentage of cicuits per modulation,1,16QAM,all, ,0.14755531361392746,0.13917365641503573,0.13784968684759916,0.1517763899912277,0.14400949984567982,0.1367861395946843,0.14376819194965254,0.14204893124941662,0.14388244409079487,0.1465506926706446
Percentage of cicuits per modulation,1,32QAM,all, ,0.09864064863619947,0.09923073277836574,0.09368997912317328,0.0984063661807093,0.09640041640292737,0.1014922699153748,0.10050609676150518,0.10311550388400867,0.09810809112991038,0.09761896091600035
Percentage of cicuits per modulation,1,64QAM,all, ,0.03223290603882814,0.029807130333138514,0.0331419624217119,0.034159739337482765,0.031235450745706498,0.03389223197630916,0.03147764520781434,0.03319816222607108,0.03327330597202446,0.03235237505657374
Percentage of cicuits per modulation,2,BPSK,all, ,0.0857717978599428,0.076622610275879,0.08383274169972854,0.0818362337195303,0.08001856726148718,0.07773467641608969,0.08216261790588607,0.07973190010812173,0.0814639292042756,0.08107304590653054
Percentage of cicuits per modulation,2,QPSK,all, ,0.27691492742875307,0.27796257904823574,0.27192002505742324,0.2785569471155099,0.2869485866199672,0.2838005952537177,0.28364335774885385,0.28946180573779956,0.27415675453775445,0.2889663996262496
Percentage of cicuits per modulation,2,8QAM,all, ,0.36756542006568493,0.37391186284902633,0.3728335769471706,0.3725628156417593,0.36424008735052565,0.3683696662064911,0.36904147125467673,0.3651522626833083,0.36448054208822445,0.3716108960984493
Percentage of cicuits per modulation,2,16QAM,all, ,0.1341985379807183,0.14031029206723866,0.135534558362915,0.1317187068394911,0.13973974185176785,0.13666164497892466,0.13198608842282764,0.13514690908327473,0.14778035865538008,0.1278237002351867
Percentage of cicuits per modulation,2,32QAM,all, ,0.10466151075325776,0.0982574139542656,0.10470870745458342,0.10340280709434985,0.09641788997842611,0.09908822248001385,0.10145439215892924,0.09810209630181707,0.10047754896305881,0.096654827697878
Percentage of cicuits per modulation,2,64QAM,all, ,0.030887805911643182,0.032935241805354655,0.031170390478179162,0.03192248958935952,0.032635126937826046,0.034345194664762976,0.031712072508826475,0.03240502608567859,0.031640866551306636,0.03387113043570591
Percentage of cicuits per modulation,3,BPSK,all, ,0.08086520184708379,0.07913326496012726,0.08974365658219204,0.09594656467989982,0.09353156493380319,0.08263586799670464,0.08580702086090629,0.0840985699557151,0.08449266714819584,0.0811096058725308
Percentage of cicuits per modulation,3,QPSK,all, ,0.28472364825374763,0.2834208928982565,0.2797672733339242,0.26958442188047077,0.2717877080302704,0.2818267207497468,0.27822944896115626,0.288193721053222,0.27138355891928106,0.2827678186992638
Percentage of cicuits per modulation,3,8QAM,all, ,0.37254963906045147,0.3719153567616217,0.36274392246615195,0.3790406420857012,0.3705814081725896,0.3789191429965735,0.3634429948950652,0.3826984406801391,0.3648525578620105,0.3560746878380223
Percentage of cicuits per modulation,3,16QAM,all, ,0.13595126394658832,0.13615337924105742,0.13481880790144568,0.12836327399068115,0.13812317177562927,0.1287604095061683,0.13924602424318816,0.12227760060257375,0.14557359545268975,0.151244972328114
