Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Bandwidth blocking probability,0,all,all,all, ,0.03177589345816133,0.03424183842392204,0.03250892890842092,0.033266833811051534,0.031519676264202184,0.031909383563085134,0.02890439000306105,0.03175573371643577,0.030560905954928046,0.030620333099279314
Bandwidth blocking probability,1,all,all,all, ,0.04576482499769174,0.04205450328963959,0.04418597526519745,0.04214651965669532,0.045845845339807345,0.04061681259775347,0.04185465503772826,0.040658055394815235,0.042456051994837984,0.04566682260941562
Bandwidth blocking probability,2,all,all,all, ,0.0542067576474444,0.04974404149620576,0.050062011787522086,0.05334741474155863,0.047566029333725925,0.05085722275186721,0.05452743141773693,0.049605423576932955,0.048831621888478116,0.049764477401995424
Bandwidth blocking probability,3,all,all,all, ,0.0558638412231417,0.05883767846038006,0.05617328898374472,0.05819332688355706,0.05974712030898315,0.060942639255042515,0.05351285549655206,0.0654241403393579,0.059360076284727906,0.06500837269529453
Bandwidth blocking probability,4,all,all,all, ,0.0686501963188268,0.06962385518524408,0.07367272233878183,0.07228712130441114,0.062233451304998626,0.06370333251642887,0.06886708246375142,0.07162883422794623,0.06949717731882099,0.07326376085478524


General requested bandwidth,0,all,all,all, ,8.731193319139109E15,8.698593345289927E15,8.727844068495014E15,8.703418407214407E15,8.641398780822835E15,8.769707083734548E15,8.689154733981086E15,8.693285854767008E15,8.754728079880661E15,8.683241201412985E15
General requested bandwidth,1,all,all,all, ,8.837868854548017E15,8.683076537685738E15,8.704300005927483E15,8.719625525240379E15,8.699862760764579E15,8.693664391147699E15,8.602141602521383E15,8.673440417607704E15,8.625102749885045E15,8.656136858217904E15
General requested bandwidth,2,all,all,all, ,8.639519228740756E15,8.738048967092439E15,8.78919790668836E15,8.718613471392004E15,8.752395124678569E15,8.737177162152206E15,8.742294117328732E15,8.759875667476573E15,8.712524950336177E15,8.654768419963359E15
General requested bandwidth,3,all,all,all, ,8.705604430691103E15,8.618918372576918E15,8.733152233216068E15,8.682654440216922E15,8.714286526734225E15,8.61991546628001E15,8.694777300999658E15,8.689202234056458E15,8.681404256158921E15,8.680006261293665E15
General requested bandwidth,4,all,all,all, ,8.767033701150459E15,8.855362874193473E15,8.742683261910194E15,8.718708919251557E15,8.692904930390811E15,8.701544664624317E15,8.655551940428123E15,8.676335425636085E15,8.720050837857448E15,8.684555048991084E15


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,4.4593622597398426E-5,0.0,1.6199238821162667E-5,0.0,0.0,0.0,0.0,0.0,2.823979144225884E-5,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,3.676880473490596E-4,4.3256906036746943E-4,5.789936042961153E-4,7.963561272137121E-4,5.236239133061423E-4,5.298782427446363E-4,5.34441427365635E-4,4.5360914258902674E-4,3.5663099100259637E-4,4.832667182148825E-4
Blocking probability by lack of transmitters,4,all,all,all, ,0.0016771983955348175,0.0017592086670276787,0.0012037983276328857,0.0010622414810476555,0.0012106182996591522,0.0018805983530748238,0.0023212257051626103,0.0019801821099088364,0.002344728229432816,0.002397016975220938


Blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,4,all,all,all, ,0.0,0.0,1.7995542505055357E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,2.082072488546159E-4,1.426785476918811E-6,8.080182102775127E-5,0.0,0.0,0.0
Blocking probability by fragmentation,3,all,all,all, ,4.228452654783638E-4,2.500042722315533E-4,1.4130394948465842E-4,2.628596719073925E-4,5.314947341388123E-5,0.0,1.322506956058282E-4,4.513570841183632E-4,2.722915417238715E-4,2.6350820530034275E-5
Blocking probability by fragmentation,4,all,all,all, ,0.0010274256369611039,0.002899922702240155,0.002125810591967241,9.571444672856132E-4,0.0013772986874617716,0.001183291708531229,5.124257497499193E-4,5.682264645787081E-4,0.0021337363738505736,0.0011157876668816818


Blocking probability by QoTN,0,all,all,all, ,1.693605280652867E-4,8.073074419574258E-6,2.6896497648048322E-6,2.5486843861891683E-5,0.0,7.826183721425783E-5,1.6742299508263166E-4,1.1739233330510696E-4,6.987902415417497E-5,2.5951648566936497E-4
Blocking probability by QoTN,1,all,all,all, ,1.2884875215934865E-4,2.891965172966662E-5,1.4616325843025204E-4,1.4804562295776778E-4,3.116140805072787E-4,0.0,2.3825921631891148E-4,1.7311742040817376E-5,4.274605780696738E-5,8.034448156116016E-5
Blocking probability by QoTN,2,all,all,all, ,1.2673980741608062E-4,2.749047147148056E-4,3.864903890865626E-5,1.3098752884580918E-4,1.0607748999183588E-4,1.9116575155162896E-4,1.819073589018838E-4,1.3290466421945688E-4,7.401273204109305E-5,0.0
Blocking probability by QoTN,3,all,all,all, ,1.6368806726271525E-4,4.7012252648866654E-5,3.296590246770071E-4,0.0,8.814078215761035E-5,2.4660519923360808E-5,2.3875819684737E-6,4.0492342132164794E-5,5.676691837137918E-5,2.5884553748865553E-4
Blocking probability by QoTN,4,all,all,all, ,1.3991877905474966E-4,1.1548799806645652E-4,1.904282548585607E-4,1.219615124227104E-4,3.9985011935567675E-4,1.0424149862048619E-4,2.4283018800519714E-4,1.6479402977229122E-4,3.1937365859523783E-4,7.612205381498174E-5


Blocking probability by QoTO,0,all,all,all, ,0.03160653293009604,0.03423376534950247,0.03250623925865612,0.03324134696718964,0.031519676264202184,0.031831121725870874,0.028736967007978415,0.031638341383130666,0.03049102693077387,0.03036081661360995
Blocking probability by QoTO,1,all,all,all, ,0.045635976245532395,0.04202558363790992,0.0440398120067672,0.041998474033737555,0.04553423125930006,0.04061681259775347,0.04161639582140936,0.040640743652774425,0.04241330593703102,0.04558647812785446
Blocking probability by QoTO,2,all,all,all, ,0.054035424217430926,0.04946913678149096,0.050006446652602225,0.053216427212712816,0.047251744594879484,0.050664630214838656,0.0542647222378073,0.049472518912713495,0.048729369364994765,0.049764477401995424
Blocking probability by QoTO,3,all,all,all, ,0.054909619843051566,0.05809021318787743,0.05512333240528695,0.057134111084435946,0.05908220614010551,0.060388100492374544,0.05284377579161211,0.0644786817705184,0.0586734996052774,0.0641695991927112
Blocking probability by QoTO,4,all,all,all, ,0.06554022496505561,0.06375742221375716,0.06949387258223688,0.06987384500104359,0.05893179292120865,0.06037937928495869,0.06564617368631016,0.06846336991096007,0.06454191745362048,0.06873660813275448


Blocking probability by other,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,2,all,all,all, ,0.0,0.0,7.168571900384665E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,3,all,all,all, ,0.0,1.7879687254708586E-5,0.0,0.0,0.0,0.0,0.0,0.0,8.872283526611324E-7,7.031042634977055E-5
Blocking probability by other,4,all,all,all, ,2.6542854222050044E-4,0.0010918136041526358,4.788571570356911E-4,2.7192884261162604E-4,3.138912773133633E-4,1.55821671243641E-4,1.444271345235932E-4,4.522617127263346E-4,1.5742160332188202E-4,9.382260261132642E-4


Bandwidth blocking probabilities per pair,0,all,1,7, ,0.0814705324975336,0.10581861513303395,0.105922564814974,0.1285691525550816,0.0936821388680785,0.045095155245314295,0.10965409648782695,0.07012576196749702,0.05799364797052824,0.12831542800516207
Bandwidth blocking probabilities per pair,0,all,8,4, ,0.04554205987609252,0.08684947757404674,0.06871974199983441,0.04878297514034889,0.050148718423853926,0.13847270483732502,0.0616103490169155,0.02787019401863875,0.03176900852427617,0.07461098958856235
Bandwidth blocking probabilities per pair,0,all,6,10, ,0.007083388734106454,0.005491340843437879,0.012878593979651664,0.0,0.0,0.0,0.0,0.0,0.007073633416315452,0.0
Bandwidth blocking probabilities per pair,0,all,1,8, ,0.1222081766779415,0.14776822542192328,0.17837427407339224,0.1265416774858628,0.20094550567890812,0.1180642698501958,0.14929204655467576,0.13596536624406874,0.17350061280858176,0.21312580052317723
Bandwidth blocking probabilities per pair,0,all,4,7, ,0.11295382759420632,0.0681008183384959,0.13173275919202887,0.10822909221297922,0.11057060612484541,0.15311065868627202,0.15961457288935174,0.100227562170461,0.0848726506816225,0.16012303029085712
Bandwidth blocking probabilities per pair,0,all,2,13, ,0.01043237989146053,0.016625980150426607,0.047007967394947406,0.03192987153985073,0.05848071182989343,0.011850847984864714,0.002001325804614397,0.025861822511277378,0.02882783131512332,0.03444660816102906
Bandwidth blocking probabilities per pair,0,all,7,10, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003540237617554064,0.0,0.0
Bandwidth blocking probabilities per pair,0,all,2,4, ,0.0,0.0,0.0,0.0,0.0,0.010777173992988142,0.0,0.004194280754241231,0.0,5.50578370305546E-4
Bandwidth blocking probabilities per pair,0,all,4,1, ,0.0644188148423669,0.013269120880732923,0.0279155372357034,0.001181211329393447,0.013226924157742438,0.049359328213781146,0.03250184656948652,0.018111625166670312,0.005549933858901359,0.0069302621690242976
Bandwidth blocking probabilities per pair,0,all,4,11, ,0.047930832947034985,0.081015014020138,0.015533955949965879,0.015899184023968917,0.026579418292392867,0.05297197415353972,0.020677479279196578,0.05137395812830186,0.017211599694929282,0.04270676625739519
Bandwidth blocking probabilities per pair,0,all,3,12, ,0.00323858878817372,0.018248176990572962,0.018796304626555144,0.02780890684911431,0.0027742434622870845,0.004741539872098105,0.016927975924489205,0.03232188871832804,0.03621809839873172,0.004760051746600648
Bandwidth blocking probabilities per pair,0,all,4,6, ,0.027643717735654876,0.04811065184926064,0.04561647719350106,0.039885589670542315,0.0910709126165618,4.426550043265759E-4,0.0037093040628470944,0.005635021504916281,0.014586450935259674,0.03463734604826546
Bandwidth blocking probabilities per pair,0,all,10,5, ,0.0631634509505398,0.05602955835703484,0.025514530411445295,0.03766683495171959,0.023316432512820777,0.010992625786786942,0.03861164293768295,0.10546005409082809,0.0966144154708892,0.021379942520481216
Bandwidth blocking probabilities per pair,0,all,14,9, ,0.0,0.0058779210163316725,0.0,0.0013963471790959538,0.0,0.0,0.0,0.0031786657310396305,0.01175689392374855,0.012455828110616398
Bandwidth blocking probabilities per pair,0,all,2,7, ,0.11316564313143879,0.08379444793137006,0.07642357685695843,0.22167883663895568,0.13426060036841594,0.04346787678376627,0.06388431908793027,0.07264741205792005,0.04576292527449782,0.10359118193060339
Bandwidth blocking probabilities per pair,0,all,5,14, ,0.10363138381049979,0.05449223277762636,0.0909208798841671,0.05141847016048901,0.07275504438664804,0.06796162540140493,0.030069249159664885,0.0425127144888648,0.054462172588257564,0.04479772765413554
Bandwidth blocking probabilities per pair,0,all,10,12, ,0.06048910685577449,0.03594818578776322,0.0,0.03719183750350175,0.0624511064467545,0.017689942523927887,0.033933027677957375,0.010526067570067639,0.006411829784929664,0.024042963497688846
Bandwidth blocking probabilities per pair,0,all,6,7, ,0.016009595587158806,0.0,0.009792065226465686,0.0398736506486774,0.02981888398705769,0.0,0.024127774772800297,0.013339630391491459,0.0,0.004705528154101649
Bandwidth blocking probabilities per pair,0,all,7,9, ,0.0,0.0,0.006322735839516273,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bandwidth blocking probabilities per pair,0,all,14,11, ,0.006972431693196608,0.009646645456308741,0.0,0.0,0.005523147252283636,0.030863208277146358,0.009874607137812153,0.01947083703610192,0.0,0.03347327296063914
Bandwidth blocking probabilities per pair,0,all,11,10, ,0.0,0.009772499831132007,0.0,0.013617474327788629,0.009761167777133109,0.015127252428358905,0.0,0.052104987364796004,0.0,0.02363113934381414
Bandwidth blocking probabilities per pair,0,all,8,5, ,0.02065325021550201,0.0364872624577318,0.04454664068427831,0.14147168190291806,0.09013148972649986,0.06145464293332762,0.09067658481882496,0.08244485731468759,0.05185449251516796,0.02142755293014953
Bandwidth blocking probabilities per pair,0,all,2,9, ,0.03453848150240365,0.030173550188876002,0.03263228912433677,0.07171073742440906,0.030209579696911716,0.008419183583284329,0.013962590235645606,0.04405799031460902,0.029507912118095583,0.031072771812240593
Bandwidth blocking probabilities per pair,0,all,2,8, ,0.1105559942560074,0.11715151127334743,0.08464882979890516,0.05760284781989367,0.10627083340457963,0.0923115252497506,0.09374521675666964,0.08365434108702421,0.053469440889666695,0.0345343868263767
Bandwidth blocking probabilities per pair,0,all,4,9, ,0.017095272409633915,0.03232612363992716,6.195343569963275E-4,0.037329537677753946,0.034790143783373056,0.03674368965031174,0.01649038226485436,0.018053372653872253,0.020096286155901127,0.051446109323713074
Bandwidth blocking probabilities per pair,0,all,10,1, ,0.06207852295236231,0.07781080799716887,0.018436491418766975,0.014762161251442337,0.08265503516647289,0.006608692062843334,0.014097797758415222,0.042956327233644204,0.025796301909762412,0.05169069241885237
Bandwidth blocking probabilities per pair,0,all,9,3, ,0.038528543293069935,0.017211198752002495,0.05355466311780409,0.004012667222924586,0.007026310946061382,0.037769834196484345,0.006513236842629097,0.033390157006924034,0.038609359801732517,0.05876319584167835
Bandwidth blocking probabilities per pair,0,all,10,4, ,0.06644175806676209,0.04427166893590852,0.009971381078092239,0.09550548277949662,0.0629339252079158,0.03150101551532457,0.005012940513493049,0.03621563556022953,0.10225827539317422,0.10389114208608409
Bandwidth blocking probabilities per pair,0,all,12,5, ,0.041751016858263025,0.03423030646568318,0.0469848670392562,0.0450078202739967,0.03630421981650118,0.03141040317549939,0.07666914481913302,0.0766387697487617,0.014165246408500145,0.07557341038575958
Bandwidth blocking probabilities per pair,0,all,4,13, ,0.03888731905046204,0.05183349236417346,0.02041009531771117,0.022643769166826613,0.045897272899569574,0.053437791683553754,0.035350093590751835,0.011861727684841174,0.0287234822464778,0.03786272160561096
Bandwidth blocking probabilities per pair,0,all,5,3, ,0.06496053196436427,0.05028412309620983,0.14262499259162142,0.0573069942049615,0.04341557931106628,0.05115256279189101,0.03152606501363915,0.041832574575399906,0.027001873470402643,0.0782821716888853
Bandwidth blocking probabilities per pair,0,all,3,4, ,0.0017253144296241999,0.003707550804286849,0.028504174215548378,0.01311043887885767,0.0,0.017916722077316916,0.0,0.01113169549234052,0.0021483912306702797,7.991784005848184E-4
Bandwidth blocking probabilities per pair,0,all,12,10, ,0.025978485757846035,1.5576528441331832E-4,0.0015381862196491263,0.008307426825608033,0.03425321523961406,0.035418057236262575,0.007219936826960577,0.001745151503257912,0.01519078191785994,0.03315275157131313
Bandwidth blocking probabilities per pair,0,all,10,14, ,0.02194508400336012,0.021743195108718603,0.015581158336096822,0.00992142251741039,0.013797912577078205,0.013331675560674069,0.026701990214963753,0.0017149609610259534,0.014367952743356133,8.162939315527869E-4
Bandwidth blocking probabilities per pair,0,all,1,9, ,0.06123815047527012,0.04139587211761996,0.04416299404267229,0.06766858980683524,0.06823582363463626,0.10950774560976688,0.024809133075196332,0.05048285793019603,0.023782654834508556,0.06751018657923509
Bandwidth blocking probabilities per pair,0,all,3,10, ,0.010061216571233517,0.010511452053966149,0.03752193988034325,0.012653119994506018,0.08914187594968052,0.015258031407809734,0.03330170029076424,0.049395607412712025,0.038369366772808736,0.021361814570204796
Bandwidth blocking probabilities per pair,0,all,11,7, ,0.0097931162883736,0.05357762539773854,0.03607655744435524,0.0017542535605358828,0.042496379294642526,0.02981486550808401,0.007219307203630942,0.04309993172957159,0.008565616835283533,0.006360927847903109
Bandwidth blocking probabilities per pair,0,all,9,7, ,0.0011177986489754933,0.004599569964844355,8.468291933782426E-4,0.0,0.0,0.0,0.0,0.015447720663443843,0.0026642063147532145,0.0
Bandwidth blocking probabilities per pair,0,all,10,13, ,0.014379575507242276,0.03052839481957359,0.00743440653710942,0.006687013829234973,0.007942885094392872,0.022084645624122233,0.0026197693544245315,0.0,0.026800654358682445,0.009180109982102901
Bandwidth blocking probabilities per pair,0,all,1,2, ,0.001441141331799152,0.0,0.0,0.0,0.0,0.0,0.0,2.918342055734259E-4,0.0,0.0
Bandwidth blocking probabilities per pair,0,all,5,1, ,0.042793372324658435,0.10255762424711731,0.03716236635249305,0.06610008331976815,0.0911289377784412,0.02241320559493323,0.03519901555620788,0.06727646084095547,0.08266630840273498,0.03103444645584285
Bandwidth blocking probabilities per pair,0,all,11,6, ,0.005487182907746862,0.0,0.013771138607125427,0.0,0.004723249126171121,0.0,0.001105563867837536,0.017272655484433973,0.0036053492801427214,0.015001737351414452
Bandwidth blocking probabilities per pair,0,all,2,12, ,0.024535888067985824,0.0890709193204642,0.08371237132618348,0.07429072229178989,0.04432795957394277,0.08475155774205538,0.038009131885702,0.037553928792861846,0.07677877571751007,0.0430045211933672
