Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Blocking probability,0,all,all,all, ,0.010190177143195686,0.011335584651539388,0.010851748721290756,0.010861622923948891,0.009795209036870273,0.010219799751170093,0.00971621541560519,0.0104172838043328,0.01054564843888856,0.00986432845547722
Blocking probability,1,all,all,all, ,0.015354385133400478,0.014001619369235933,0.015364259336058613,0.01333017358848273,0.01543337875466556,0.014554574718091514,0.014001619369235933,0.013636273870884926,0.014287971246321859,0.014534826312775244
Blocking probability,2,all,all,all, ,0.017704445366036693,0.016746647708197563,0.016618283073641802,0.017684696960720423,0.015739479037067756,0.016845389734778917,0.018287023322866677,0.01598633410352114,0.0159468372928886,0.017516835515532122
Blocking probability,3,all,all,all, ,0.0185437525919782,0.01970890850563817,0.018909098090329205,0.019629914884373087,0.018800481861089718,0.01974840531627071,0.016973754369334675,0.020311234867784425,0.019165827359440724,0.02177261686118846
Blocking probability,4,all,all,all, ,0.022226830183462686,0.023243873057250626,0.02336236348914825,0.0235993443529435,0.021160416296384068,0.021397397160179316,0.022671169303078775,0.023974564053952645,0.023293244070541303,0.023964689851294508


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,1.974840531627071E-5,0.0,9.874202658135355E-6,0.0,0.0,0.0,0.0,0.0,9.874202658135355E-6,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,1.2836463455575962E-4,1.4811303987203033E-4,1.777356478464364E-4,1.4811303987203033E-4,1.6786144518830104E-4,1.777356478464364E-4,1.5798724253016569E-4,7.899362126508284E-5,1.0861622923948891E-4,1.5798724253016569E-4
Blocking probability by lack of transmitters,4,all,all,all, ,4.44339119616091E-4,6.023263621462567E-4,4.44339119616091E-4,3.0610028240219604E-4,3.752197010091435E-4,6.122005648043921E-4,6.911941860694749E-4,5.924521594881213E-4,5.924521594881213E-4,5.233327408811738E-4


Blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,4,all,all,all, ,0.0,0.0,1.974840531627071E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,9.874202658135355E-6,9.874202658135355E-6,9.874202658135355E-6,0.0,0.0,0.0
Blocking probability by fragmentation,3,all,all,all, ,8.88678239232182E-5,2.9622607974406068E-5,5.9245215948812136E-5,6.911941860694749E-5,2.9622607974406068E-5,0.0,5.9245215948812136E-5,7.899362126508284E-5,5.9245215948812136E-5,1.974840531627071E-5
Blocking probability by fragmentation,4,all,all,all, ,3.1597448506033137E-4,6.319489701206627E-4,4.3446491695795566E-4,2.468550664533839E-4,4.640875249323617E-4,2.5672926911151923E-4,1.4811303987203033E-4,1.4811303987203033E-4,5.727037541718507E-4,2.8635187708592533E-4


