Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Total energy consumption (Joule),0,all,all,all, ,1.0651376834793074E12,1.0266667467824343E12,1.060973595186264E12,1.0409909999455444E12,1.0653533436758213E12,1.0350304637379141E12,1.0643937487031815E12,1.0529214702545144E12,1.0465542233092246E12,1.0396410953862604E12
Total energy consumption (Joule),1,all,all,all, ,1.0180288069771499E12,1.012340575913014E12,1.0062456441225996E12,9.989928322371917E11,1.0131629199847467E12,9.906016591695979E11,1.0266898009760079E12,1.0143096759845991E12,1.0134759663634623E12,1.0518214750588136E12
Total energy consumption (Joule),2,all,all,all, ,9.885345422595171E11,1.0094638386385264E12,1.0235796248715728E12,1.029417363679814E12,1.021560742026495E12,1.0038796346507876E12,9.923502838613787E11,1.0161360039734348E12,1.0244869815152646E12,1.0253112397335466E12
Total energy consumption (Joule),3,all,all,all, ,1.021465280294636E12,9.920917419854346E11,1.0017963163154294E12,1.0049120346305394E12,1.0483205629935461E12,1.0141676881320889E12,1.019247790308894E12,1.001649056331003E12,1.0343237351702374E12,9.969157939178928E11
Total energy consumption (Joule),4,all,all,all, ,9.981379268095757E11,1.0258588706543748E12,9.995029244726622E11,1.005796523260108E12,1.0365216414020918E12,1.0221268001985786E12,1.0120004918666631E12,9.967166794450112E11,1.0256832813211455E12,1.038916678652581E12


Average power consumption (Watt),0,all,all,all, ,764097.3581317215,763024.8108475949,762884.4316703192,762516.8246876345,758459.1482778552,763019.0216420046,762128.7512697874,762309.6696472648,763638.0328603619,762390.6084642826
Average power consumption (Watt),1,all,all,all, ,854836.7216392793,847406.9464034451,849271.4396389554,852849.9938206872,847686.1677374619,852460.5962223946,842658.812164219,847959.2845271217,844492.329100796,842644.5733149254
Average power consumption (Watt),2,all,all,all, ,928977.5273399365,937203.4078300849,936466.6794486523,928089.3602404963,938610.0250877043,935443.7855906916,936593.2972480513,936359.6309966942,928836.3306343437,929784.0103922597
Average power consumption (Watt),3,all,all,all, ,1017353.3299885285,1007705.2028485764,1018072.6026265216,1011365.7353915372,1010375.4414028444,1007061.840510202,1012592.3392982788,1014112.7602443144,1013086.3157755092,1013657.1003950905
Average power consumption (Watt),4,all,all,all, ,1092767.6934374901,1099791.0514866277,1093319.456832077,1084503.364522852,1089852.2720216103,1090524.6682630342,1081438.1981646002,1084846.885140916,1089728.597152642,1087143.3120919648


Energy efficiency (bits/Joule),0,all,all,all, ,2.8572368749804474E7,2.9457129255995195E7,2.8651797254952326E7,2.9097254099305145E7,2.8280278142892715E7,2.952911741516526E7,2.8539062820804365E7,2.877898107180511E7,2.9194695974301536E7,2.9147065273657087E7
Energy efficiency (bits/Joule),1,all,all,all, ,2.9822593418736972E7,2.9579463031713437E7,2.976498974294564E7,3.009795885779871E7,2.949539123857308E7,3.031087153517955E7,2.8900225687619552E7,2.9532265556714408E7,2.9336752688230414E7,2.8273827484770842E7
Energy efficiency (bits/Joule),2,all,all,all, ,2.9757499405279133E7,2.9611936558674183E7,2.936468642847618E7,2.8863504527465537E7,2.9376503182418957E7,2.9738807242129136E7,2.998553824371345E7,2.9495281980993606E7,2.912041065708577E7,2.887576480749904E7
Energy efficiency (bits/Joule),3,all,all,all, ,2.896759577452255E7,2.9435266087852214E7,2.9620089406824186E7,2.9294678337294277E7,2.813746085466568E7,2.873345560541934E7,2.906671180910909E7,2.9186457019842636E7,2.8422311675249998E7,2.930702836046062E7
Energy efficiency (bits/Joule),4,all,all,all, ,2.9449467483030718E7,2.8912111584764786E7,2.916940894698893E7,2.8950637734930612E7,2.831286339303579E7,2.8695087704883747E7,2.8670035069570035E7,2.9093016380104776E7,2.84790787163405E7,2.7888522131229285E7


Total data transmitted (bits),0,all,all,all, ,3.043350666168329E19,3.0242655062802256E19,3.0398800342134702E19,3.0289979640505254E19,3.0128488879612998E19,3.0563536091989815E19,3.037680006031155E19,3.0302007062551876E19,3.055383237013409E19,3.0302486868399686E19
Total data transmitted (bits),1,all,all,all, ,3.03602591990414E19,2.994449064072249E19,2.9950891276192907E19,3.0067645163910803E19,2.9883636713365217E19,3.00259996336254E19,2.967156695938383E19,2.995486270792213E19,2.973209378067022E19,2.9739018930590093E19
Total data transmitted (bits),2,all,all,all, ,2.941631605338546E19,2.9892179148039754E19,3.0057094718931014E19,2.9712592737223946E19,3.0009882389175603E19,2.9854182949178794E19,2.975615738788527E19,2.99712179682365E19,2.9833481614562742E19,2.9606646213031158E19
Total data transmitted (bits),3,all,all,all, ,2.958939333728439E19,2.920248440890209E19,2.9673296456690143E19,2.943857481177758E19,2.9497078804371993E19,2.9140542243394142E19,2.962618178297988E19,2.9234587131570758E19,2.9397871574117224E19,2.92166394453428E19
Total data transmitted (bits),4,all,all,all, ,2.9394630419158295E19,2.965974613858007E19,2.915490954765447E19,2.9118450779956097E19,2.9346895636942655E19,2.93300181772104E19,2.9014089592239354E19,2.8997494681417355E19,2.921051490677932E19,2.897385078510573E19


Total energy consumption by transponders (Joule),0,all,all,all, ,7.853747874099165E11,7.781374004388317E11,8.10961753075155E11,7.851244525299432E11,7.92435399798745E11,7.956891254891527E11,7.931710448011765E11,7.816601682066633E11,7.91622298141373E11,7.803872607127916E11
Total energy consumption by transponders (Joule),1,all,all,all, ,8.114111233454445E11,8.144866202856323E11,7.986249475493853E11,7.979936396924441E11,8.071097882814912E11,7.98100465787824E11,8.070292224245836E11,7.971696051741194E11,8.03837031406427E11,8.111077119006354E11
Total energy consumption by transponders (Joule),2,all,all,all, ,8.215260240696833E11,8.345669715813412E11,8.573029126216414E11,8.537039417238931E11,8.37825022771775E11,8.33722373270218E11,8.233562652989071E11,8.397729875996774E11,8.371276328771011E11,8.442679867863743E11
Total energy consumption by transponders (Joule),3,all,all,all, ,8.708832457463528E11,8.453944181615146E11,8.561864771690015E11,8.599767129050607E11,9.020781074112783E11,8.605521641062202E11,8.613421039589891E11,8.484098032905319E11,8.777183873636246E11,8.541309538585541E11
Total energy consumption by transponders (Joule),4,all,all,all, ,8.723783731239183E11,8.942185924994983E11,8.73176186634863E11,8.807968503302634E11,9.124579371700537E11,8.868009529727288E11,8.836624988476614E11,8.726350894559816E11,8.937969466792802E11,9.002821422889073E11


Total energy consumption by OXCs (Joule),0,all,all,all, ,2.1296096800250726E11,1.8918538132818103E11,1.9031388599460922E11,1.9477060175832092E11,2.0775045701164072E11,1.8219129052706583E11,2.0646000730883887E11,2.0648938896958798E11,1.9405914909110208E11,1.973490708243514E11
Total energy consumption by OXCs (Joule),1,all,all,all, ,1.5728140697303152E11,1.506102864444231E11,1.5804491996901437E11,1.5300450207462338E11,1.5685165904412613E11,1.4653565951809485E11,1.672099127423218E11,1.6529125313480826E11,1.5958124235456653E11,1.8323600711145404E11
Total energy consumption by OXCs (Joule),2,all,all,all, ,1.2713013840673726E11,1.3313490327847346E11,1.2657307346517004E11,1.337564807789395E11,1.3986320980683887E11,1.2952702308055087E11,1.2864153998023764E11,1.342509647079205E11,1.4262158710426672E11,1.3781365198760873E11
Total energy consumption by OXCs (Joule),3,all,all,all, ,1.1462597896911736E11,1.1166886146749948E11,1.1084104694005359E11,1.1032759113544862E11,1.1132260689830232E11,1.1693513027062451E11,1.202008854306226E11,1.1664870546444992E11,1.1921104239281758E11,1.0869060258647668E11
Total energy consumption by OXCs (Joule),4,all,all,all, ,9.573062284077165E10,1.0020714489968799E11,9.616237446964336E10,9.515218680226205E10,9.443970919102274E10,1.0301267189423235E11,9.769338110528639E10,9.445332417777008E10,1.0039444789228874E11,1.0553131053970732E11


Total energy consumption by Amplifiers (Joule),0,all,all,all, ,6.680192806688367E10,5.934396501542158E10,5.969795611649974E10,6.1095945657280334E10,6.516748686543555E10,5.715004772169549E10,6.47626965931661E10,6.477191307826314E10,6.0872776076749565E10,6.190476384911737E10
Total energy consumption by Amplifiers (Joule),1,all,all,all, ,4.933627665867394E10,4.724366918295865E10,4.95757766042E10,4.799469047012412E10,4.9201472659129326E10,4.59655338636791E10,5.2450665809102486E10,5.184881767567155E10,5.0057692602468704E10,5.747775604672414E10
Total energy consumption by Amplifiers (Joule),2,all,all,all, ,3.9878379783096405E10,4.176196377871174E10,3.970363878476137E10,4.1956941176981445E10,4.387250944788112E10,4.063023830001875E10,4.03524785822339E10,4.211205166583699E10,4.473776153389686E10,4.322960095956358E10
Total energy consumption by Amplifiers (Joule),3,all,all,all, ,3.595605557916579E10,3.50284623564205E10,3.476879220637446E10,3.46077305900301E10,3.491984868396544E10,3.668039375524421E10,3.7704800919282265E10,3.659054757602126E10,3.739430541379518E10,3.409423747286203E10
Total energy consumption by Amplifiers (Joule),4,all,all,all, ,3.0028930844885662E10,3.1433133255188503E10,3.0164363368155876E10,2.9847486127582554E10,2.9623995041015396E10,3.2313175331617485E10,3.0644611913715378E10,2.9628265811259624E10,3.1491886749576637E10,3.310322582396645E10


