Metrics,LoadPoint, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Rate of requests by circuit,0, ,1.2858720182394443,1.2858401465670435,1.3217355771604165,1.2846541371260158,1.3107810711568082,1.3041752512132616,1.3055275264060238,1.290474897664898,1.299801817103531,1.2867377201657728
Rate of requests by circuit,1, ,1.3257501761117838,1.3332934404417969,1.325784188777204,1.3140611196423369,1.3276440338202975,1.3198564833841966,1.3366530083760098,1.3234088956573156,1.3350996022207742,1.3339752524523198
Rate of requests by circuit,2, ,1.3748995742080603,1.3825990117051863,1.382457511154579,1.4010712393374045,1.3830120895005489,1.382928132708014,1.3636888623943673,1.3764506732702277,1.3795019909162127,1.3734613996327654
Rate of requests by circuit,3, ,1.433049896909602,1.4195952680799349,1.4189122650409152,1.4194274302493963,1.440858100489712,1.4401071166766417,1.4384198002696695,1.421868363433386,1.434422011347351,1.4262834035348526
Rate of requests by circuit,4, ,1.458644317995444,1.4719578232429538,1.4679914140728776,1.4915266999487204,1.509630719755106,1.4704650250714626,1.477080226520118,1.472608013693567,1.482541714043086,1.4829636051013757


Maximum requests by circuit,0, ,27,28,32,29,29,28,29,31,29,29
Maximum requests by circuit,1, ,29,29,29,31,35,28,31,30,36,37
Maximum requests by circuit,2, ,35,36,46,32,29,38,50,33,36,48
Maximum requests by circuit,3, ,46,39,37,55,41,38,38,37,40,33
Maximum requests by circuit,4, ,51,38,38,45,46,43,40,35,50,45


Virtual hops,0, ,2.099439356756649,2.1019115913948423,2.099545794858997,2.098598438716633,2.1034083883448673,2.100290306168258,2.0960713929604147,2.102924595136651,2.09935532802427,2.097122911992022
Virtual hops,1, ,2.102016666833803,2.0994932703092455,2.098698329288594,2.103338537288339,2.1019345909678973,2.0997895791583168,2.101466111200128,2.096593354889732,2.103118394823044,2.103645217530711
Virtual hops,2, ,2.101476663885566,2.1010464158749924,2.1032723840507677,2.1068323231104813,2.1058487158908505,2.099781054153945,2.101647522681097,2.104791530781195,2.106162012462497,2.103065326633166
Virtual hops,3, ,2.104974043221055,2.1035073228711294,2.1052244889743252,2.1056241564772478,2.105484552681896,2.1048109273324336,2.0993521169202953,2.1073707126802868,2.1053023667864657,2.1055829775207178
Virtual hops,4, ,2.1016935459438715,2.1094015365952283,2.110334856634448,2.105820961935197,2.1086642927035943,2.1022733005741268,2.1071046091050536,2.10480950164903,2.110933629884244,2.1104130626119155


Maximum virtual hops,0, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,1, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,2, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,3, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,4, ,3,3,3,3,3,3,3,3,3,3


