Metrics,LoadPoint,Node, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Tx Utilization,0,all, ,559.6982147441594,559.1045579319469,547.6233287912002,558.5501905721113,548.1448940498054,553.0556016351679,551.9298339159113,555.7127396962695,551.4558425657128,558.6811126251555
Tx Utilization,1,all, ,674.1524675632443,666.7660801390288,672.8366510654265,680.2790548413216,667.0876434227936,676.7813851531489,661.0968560538737,674.3685447400122,664.2796571676837,663.4388490629382
Tx Utilization,2,all, ,775.1392558800877,776.3088650591465,775.2732883069692,759.7972431226178,776.1365404743567,778.5200841282067,786.1224401129609,776.7633844817032,767.6898117976973,771.065880680135
Tx Utilization,3,all, ,871.42975492229,870.8746272488496,879.9101941268243,871.2675316468195,862.3375101210577,860.8559946284338,863.7210340265024,879.6398779548551,867.5083338270434,877.1984221024152
Tx Utilization,4,all, ,968.573799790667,968.104153089638,966.5829433023283,944.1248889152201,941.2365167762703,962.6336078361672,950.2273831388115,958.8123012816715,953.3369176688982,955.6803523115508


Rx Utilization,0,all, ,559.6982147441594,559.1045579319469,547.6233287912002,558.5501905721113,548.1448940498054,553.0556016351679,551.9298339159113,555.7127396962695,551.4558425657128,558.6811126251555
Rx Utilization,1,all, ,674.1524675632443,666.7660801390288,672.8366510654265,680.2790548413216,667.0876434227936,676.7813851531489,661.0968560538737,674.3685447400122,664.2796571676837,663.4388490629382
Rx Utilization,2,all, ,775.1392558800877,776.3088650591465,775.2732883069692,759.7972431226178,776.1365404743567,778.5200841282067,786.1224401129609,776.7633844817032,767.6898117976973,771.065880680135
Rx Utilization,3,all, ,871.42975492229,870.8746272488496,879.9101941268243,871.2675316468195,862.3375101210577,860.8559946284338,863.7210340265024,879.6398779548551,867.5083338270434,877.1984221024152
Rx Utilization,4,all, ,968.573799790667,968.104153089638,966.5829433023283,944.1248889152201,941.2365167762703,962.6336078361672,950.2273831388115,958.8123012816715,953.3369176688982,955.6803523115508


Regenerators Utilization,0,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regenerators Utilization,1,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regenerators Utilization,2,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regenerators Utilization,3,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regenerators Utilization,4,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Tx Utilization Per Node,0,11, ,38.95276181448348,37.89589628137528,37.544038943855284,37.724499871635366,37.055572012559985,37.79351067401307,36.76764026304876,38.1331437486423,37.55281711001837,37.24825720323084
Tx Utilization Per Node,0,12, ,38.133933684854945,37.40737010486403,38.22198194995754,37.630112368426246,34.57444161383968,35.55605584849023,37.34967513873255,37.17953275273022,36.55347868159646,37.26608013902877
Tx Utilization Per Node,0,13, ,26.70965894504019,23.930505361692042,24.870450461125262,25.988111459999605,23.68477595434169,23.946728676659358,23.85087979145684,24.923129332306416,25.912958903568537,25.261725615656534
Tx Utilization Per Node,0,14, ,36.730839109741886,36.78173075024192,36.36594782471315,37.91810336315343,35.20128562118609,36.07600173785967,36.28021999723522,35.90584947765468,37.19025613681695,36.51843513636274
Tx Utilization Per Node,0,1, ,23.463623437407428,23.0491537808322,22.161433339257854,23.6271994786421,23.641625688725636,23.371892094713353,23.874143412919405,22.808391097418884,24.543446491695796,22.750715879692716
Tx Utilization Per Node,0,2, ,32.635049469755316,31.82587831032644,32.17093232221498,33.050694156446866,32.53912159093153,31.76074806959338,31.432104982522663,33.26800560854711,31.16193692359342,31.985741651361653
Tx Utilization Per Node,0,3, ,32.82757667318364,31.268815293165076,30.281493769378123,31.77590497067362,30.813841657286176,31.08929241463752,31.41220846416652,30.78722080691984,30.70540316369453,32.062730809487135
Tx Utilization Per Node,0,4, ,59.164859687580226,59.96234966526453,58.63518770859253,59.65383020321109,59.804668523016765,59.43652862531351,58.589361534056124,59.90920670655844,56.84620929359954,58.13185022809408
Tx Utilization Per Node,0,5, ,39.84241759977882,40.23518375891147,39.96488733534767,40.079546576613936,39.84543910579221,40.10932717183088,39.68272212018879,39.93165076920039,39.21136718210005,39.68924896814582
Tx Utilization Per Node,0,6, ,67.36402235519482,71.9303276260442,69.34631790982878,70.21393447479116,67.72118213954224,68.4328060509114,70.28293540296622,70.99169579556451,70.56363923613168,71.24349783754961
Tx Utilization Per Node,0,7, ,34.00665521259158,33.82795189288465,33.38180579418212,32.59192882674724,32.69063135651796,34.43865157888501,32.45300866954993,31.856201986689573,32.07558702134803,33.73837312637004
Tx Utilization Per Node,0,8, ,42.156357999091576,41.932440705413036,41.11733515018662,42.58565870805933,41.8088354365385,42.75897071311491,41.75051839563955,41.42786894958232,41.66841440053716,44.17353911171673
Tx Utilization Per Node,0,9, ,57.728577917333176,57.51398187096392,54.810563422003675,56.46584513300551,57.19108556984023,57.9623792878725,57.3099907182495,57.625175267097184,56.845814325493215,57.94207792720738
Tx Utilization Per Node,0,10, ,29.981880838122322,31.542972529968203,28.75095286055651,29.244820980705807,31.57238777968679,30.32270869127318,30.894425025179217,30.965667397357663,30.624513695519088,30.668838991251455
Tx Utilization Per Node,1,11, ,49.76471749906195,48.087860655252086,48.97340877224164,48.96865928076308,46.96997254971661,49.36695499338428,47.214773782017105,48.66924383356044,46.63517783438987,46.50331773209313
Tx Utilization Per Node,1,12, ,44.07902324387306,45.41314651341904,43.84078835634023,44.34532061536031,44.8339554081008,44.35853229851689,42.245936765606174,44.269526235756466,43.38959654007939,43.329699626755136
Tx Utilization Per Node,1,13, ,35.40883148685744,30.856626577403876,33.659320259889014,33.945435156111145,32.88431384165729,33.431887750064185,33.44757785808796,33.142010782629306,34.09981831467109,32.69455141497324
Tx Utilization Per Node,1,14, ,46.8732251120722,44.8330568556589,44.55931433536742,48.28245156703596,44.97378399194265,44.82354799849912,45.91805399214014,46.00487785611312,43.81294310484429,43.63360783616723
Tx Utilization Per Node,1,1, ,27.09410115133203,27.96202381657681,27.796680293066334,27.82365661472836,26.743843434642653,27.28822797559097,27.14869561782886,28.428491024349785,27.57640658016865,28.369226059995654
Tx Utilization Per Node,1,2, ,39.88327705037818,39.71005391314652,38.57080790726149,41.19535122538855,40.726050121452694,39.510140806129904,38.25029128897842,38.96852104192586,38.43377372277189,39.86306455753698
Tx Utilization Per Node,1,3, ,37.45347275707486,39.00352509034895,39.821642277386104,38.22078717143591,39.450520370480085,38.15375120958983,37.75694650157,39.58294330232834,39.07419475877323,38.327932144479334
Tx Utilization Per Node,1,4, ,71.27830440191954,69.96509469360349,73.09899875585046,72.34827300195509,69.86833738175642,73.14781681379229,69.35781148172285,71.95884432332089,71.02029148646247,72.04074096016747
Tx Utilization Per Node,1,5, ,43.30209135612299,44.52237494322333,44.94308509587851,44.06513024073306,43.18052017299603,44.36148468511168,43.49867685684381,43.55383415289215,43.694116950056284,45.037798447775344
Tx Utilization Per Node,1,6, ,88.18367004364397,84.23184627841302,87.5852143689397,85.89285502695657,87.03229851689476,86.13760688824378,86.70606473527263,86.56823074036771,86.4738432371586,86.08467128779351
Tx Utilization Per Node,1,7, ,37.38960641428205,37.85808795939728,37.80729506092383,37.02853644568201,38.42366253924995,39.319272468748146,37.23810652289828,37.591533858640915,37.51469281355531,37.43844422062919
Tx Utilization Per Node,1,8, ,47.509745838023576,49.3613859430851,48.66971779528803,50.74429764796493,48.542429448822006,50.30094594861465,48.72790647155242,49.07779884274345,48.77282421944428,48.61861879653218
Tx Utilization Per Node,1,9, ,67.3137626636649,66.53952643324051,64.82967987834982,67.95662262772281,65.55064478543358,67.5918893299366,65.16524478148389,67.37750064182318,64.36989750577641,64.63091217884156
Tx Utilization Per Node,1,10, ,38.6186385449375,38.42147046625985,38.68069790864388,39.46167821948378,37.907310859648085,38.98932598692656,38.42076939787112,39.175188103560636,39.41208009953196,36.866263799198215
Tx Utilization Per Node,2,11, ,57.716946106601895,57.65617038924107,55.97946165847108,57.10157592274424,60.510703635681416,57.442611134150916,58.98729190117898,56.784130181487846,57.38514327468057,58.8308647826688
