Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Bandwidth blocking probability,0,all,all,all, ,0.009591805526017757,0.009202215302973767,0.007502245864087967,0.00917629340547798,0.0077096117277240216,0.00748431863389826,0.007376996288964528,0.007165927640485733,0.008185378250577961,0.008586696548046455
Bandwidth blocking probability,1,all,all,all, ,0.017443330690950748,0.018987686455358286,0.0205027059327736,0.016887361372774082,0.019393725238191818,0.015339511319438951,0.02003469455909591,0.01948514128308923,0.016363382944626217,0.01690590221266932
Bandwidth blocking probability,2,all,all,all, ,0.03852463961601956,0.03296411974955932,0.0337073935639039,0.035235991030433754,0.03359834086513617,0.03513761583599562,0.03675702544395666,0.03332796476607702,0.031430197027073316,0.03416241966285368
Bandwidth blocking probability,3,all,all,all, ,0.058460843611539005,0.05235264469759111,0.05180324439445353,0.0583302911069122,0.05090131669029978,0.05819261065898789,0.05700369393557785,0.05287924449378819,0.06017585960808493,0.05224382781922142
Bandwidth blocking probability,4,all,all,all, ,0.0796815665278298,0.09818492224925006,0.08678028410618117,0.08273664314503669,0.08573774850841127,0.08004271272999897,0.07812655269496724,0.08413932871549937,0.08518878531106777,0.08302502442723235


General requested bandwidth,0,all,all,all, ,8.725566203045574E15,8.739876168679681E15,8.591647117373611E15,8.725977310960039E15,8.754959441737702E15,8.706311253918832E15,8.692912739195383E15,8.716930936047949E15,8.714404715287942E15,8.724229350736984E15
General requested bandwidth,1,all,all,all, ,8.763518662114968E15,8.794191615439184E15,8.812923016921816E15,8.804232149578192E15,8.760428444217934E15,8.693346631784149E15,8.801277828630238E15,8.733544741143431E15,8.724065028376502E15,8.69781720624226E15
General requested bandwidth,2,all,all,all, ,8.636129525531113E15,8.773872580276589E15,8.681740373551125E15,8.693390323856519E15,8.737766482112571E15,8.647090253576061E15,8.73317754214028E15,8.70949760609315E15,8.680064504983862E15,8.745060226007216E15
General requested bandwidth,3,all,all,all, ,8.704612951917145E15,8.730275076456201E15,8.620869346282371E15,8.748264955561578E15,8.716380078334115E15,8.741736267981118E15,8.743191114318165E15,8.707339093684738E15,8.771604787915369E15,8.680278241495567E15
General requested bandwidth,4,all,all,all, ,8.728348000875331E15,8.724481914668735E15,8.763430241143966E15,8.744271440241759E15,8.722263101614326E15,8.710301952694198E15,8.74252554369383E15,8.709748167323783E15,8.793381119272509E15,8.761774166555499E15


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,4,all,all,all, ,0.0,0.0013928259522301238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5022135856409492E-5


Blocking probability by fragmentation,0,all,all,all, ,0.0014090338490596332,4.678154311506818E-4,6.359809919189445E-4,8.326599322340948E-4,7.343910305091906E-4,4.5052023480270087E-4,4.289815935669044E-4,6.182171432049756E-4,4.484550094888718E-4,7.240700188232212E-4
Blocking probability by fragmentation,1,all,all,all, ,0.007489296868282517,0.009305004732278594,0.0069632646018077445,0.007758663996062754,0.008272327316884926,0.006856618224506895,0.009688384022570775,0.008814897895565131,0.007935481095125247,0.008170225504535411
Blocking probability by fragmentation,2,all,all,all, ,0.01923138038500312,0.018024176360974038,0.020630933448852556,0.018939294831694636,0.018739015478228812,0.018732800824174233,0.01998501168165627,0.019294291924109724,0.019281094919123658,0.018144780956666818
Blocking probability by fragmentation,3,all,all,all, ,0.030357489254435824,0.02917759663279565,0.029172768860595652,0.03226497824139308,0.027137518437420495,0.03132279456109987,0.03480043614948208,0.030273927838816696,0.03499368322608587,0.02955905506131032
Blocking probability by fragmentation,4,all,all,all, ,0.04088564371777269,0.042146790493513435,0.04314666930279893,0.041413274209770055,0.045550532592474054,0.0429145775750194,0.0410108496968607,0.043596369693776046,0.04673946580058739,0.04361184150192667


Blocking probability by QoTN,0,all,all,all, ,0.0,0.0,0.0,0.0,1.1091638643441795E-5,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,1,all,all,all, ,7.661144720700221E-5,1.0891993970797533E-5,1.9618227330187867E-4,2.020696659674863E-5,3.493334960580618E-5,1.2383839081955963E-4,0.0,1.8454091766101496E-4,2.620335323696253E-4,6.170040735563359E-7
Blocking probability by QoTN,2,all,all,all, ,2.839139893673408E-4,2.1249865418710988E-4,1.576917528928474E-4,2.5126961060446855E-4,3.8531232269911527E-4,5.086561507345489E-4,2.658032472282757E-4,2.3230111883018262E-4,3.3764852483847863E-4,3.8965612016410615E-4
Blocking probability by QoTN,3,all,all,all, ,6.685039671165292E-4,0.0010070240548045474,8.915612592117937E-4,5.006549063802015E-4,3.500601226626197E-4,9.157520618905219E-4,0.0010526817553166664,6.825207053362539E-4,6.63799904822837E-4,4.5290783006339725E-4
Blocking probability by QoTN,4,all,all,all, ,0.0011516250447022704,0.0010238385952882547,0.0017566759822705963,0.001750857195560143,7.349777828954838E-4,8.993665365777204E-4,9.461080235045555E-4,0.001149493013715976,0.0017444659190084776,0.0011189528996333493


Blocking probability by QoTO,0,all,all,all, ,0.008169995709879321,0.008734399871823083,0.006829655869914155,0.008242691858456335,0.00696412905857139,0.007033798399095558,0.00692031534184906,0.00645593037287221,0.007665954513304541,0.007862626529223236
Blocking probability by QoTO,1,all,all,all, ,0.00936468840781049,0.00920981405866605,0.012882325228034642,0.008449090173388627,0.01021872548001102,0.007984394604675794,0.00915253878501736,0.010215017705608937,0.007317229986179347,0.008338337916578908
Blocking probability by QoTO,2,all,all,all, ,0.015832730320869404,0.01143219410779126,0.010774384550146936,0.012201317892305495,0.01240253416583306,0.012364324366796747,0.013430310276608824,0.010898738424202213,0.009129052867027183,0.013811404784897703
Blocking probability by QoTO,3,all,all,all, ,0.018666499739186427,0.013397277123374794,0.013187551972750821,0.01633425051949477,0.01474316681502782,0.015332928742032534,0.012061446468858926,0.014850682551108831,0.014978425625523883,0.014039026125008968
Blocking probability by QoTO,4,all,all,all, ,0.018937624642845933,0.03342178655378451,0.022696011147995663,0.020014972181068257,0.019895500142370834,0.01675508915879141,0.0179066495213634,0.02105349986062677,0.018880659420263107,0.019657649337875796


Blocking probability by other,0,all,all,all, ,1.2775967078805427E-5,0.0,3.660900225486643E-5,1.0094161478755675E-4,0.0,0.0,2.7699353548565034E-5,9.17801244085472E-5,7.096872778454938E-5,0.0
Blocking probability by other,1,all,all,all, ,5.127339676507512E-4,4.619756704428519E-4,4.6093382962933063E-4,6.59400236725964E-4,8.67739091690088E-4,3.7466009943669994E-4,0.0011937717515077568,2.70684764254146E-4,8.486383309519813E-4,3.967217874814342E-4
Blocking probability by other,2,all,all,all, ,0.0031766149207796872,0.0032952506266069165,0.0021443838120115597,0.003844108695829189,0.0020714788983751723,0.0035318344942901177,0.0030759002384633523,0.0029026332989349007,0.0026824007160839926,0.0018165778011251105
Blocking probability by other,3,all,all,all, ,0.008768350650800139,0.008770746886616148,0.008551362301895184,0.009230407439644112,0.008670571315188898,0.010621135293964967,0.009089129561920312,0.007072113398526426,0.009539950851652327,0.008192838802838718
Blocking probability by other,4,all,all,all, ,0.018706673122508937,0.020199680654433658,0.019180927673116063,0.019557539558638218,0.019556737990670942,0.01947367945961034,0.018262945453238734,0.018339966147380562,0.017824194171208913,0.018621558551940382


Bandwidth blocking probabilities per pair,0,all,1,7, ,0.01614763127696245,0.01034298268155339,0.008745127140269164,0.030994580635825844,0.061560796327579784,0.012428733650779919,0.030993541828843344,0.057423385135437835,0.014097899031372128,0.009518389629422435
Bandwidth blocking probabilities per pair,0,all,8,4, ,0.021306692986256547,0.009968074498736917,0.0,0.0,0.020801464300100322,0.0029508337939674256,0.008226851031946113,0.005182839862803607,0.006476267320073891,0.0
Bandwidth blocking probabilities per pair,0,all,6,10, ,0.0,0.0,0.0,0.01283671314937054,0.030033962294660585,0.0,0.0,0.0,0.0,0.0
Bandwidth blocking probabilities per pair,0,all,1,8, ,0.0111700527536473,0.008346332035941345,0.0,0.006318983342361594,0.008685914953707142,0.0,0.0,0.01626948880039857,0.0,0.0
Bandwidth blocking probabilities per pair,0,all,4,7, ,0.022744963667127093,0.04057958322927265,0.005433098573019153,0.008295723599043025,0.012610122907370956,0.012591765830480318,0.02720389205513251,0.01328473039123336,0.005817642337781453,0.035134992470628
Bandwidth blocking probabilities per pair,0,all,2,13, ,0.020320898611856365,0.0,0.0,0.0032149297660642043,0.03644727019423489,0.01188996413788231,0.0020849265763493614,0.0,0.0,0.0
Bandwidth blocking probabilities per pair,0,all,7,10, ,0.0,1.0463406468059522E-4,0.004867027552440517,0.0,0.0020743674555627855,0.013075611871376236,0.0,0.0,0.01066070521766914,0.07534043360614165
Bandwidth blocking probabilities per pair,0,all,2,4, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010107127783221004,0.0,3.199824097683413E-5
Bandwidth blocking probabilities per pair,0,all,4,1, ,0.0,0.0,0.0,0.0,0.0,0.0,0.00861495579473352,0.011693341562617504,0.00982252667789866,0.0
Bandwidth blocking probabilities per pair,0,all,4,11, ,0.0,0.0,0.017973978735165926,0.0,0.0,0.0,0.0,0.0,0.007202038181942144,0.0
Bandwidth blocking probabilities per pair,0,all,3,12, ,0.0,0.016176097805788846,0.005276533150337018,0.00818564786713979,0.022547958078654645,0.006534560840543218,0.020051206006009733,0.0,0.005170517665868871,0.0013899494034402974
Bandwidth blocking probabilities per pair,0,all,4,6, ,0.009091240699214341,0.018602435223811834,0.0018076779273443909,0.0,0.006366748229132676,0.0,0.0,0.03953647272479357,0.0,0.0
Bandwidth blocking probabilities per pair,0,all,10,5, ,0.0013660284220596173,0.0,0.0015682277833895192,0.0019296562032064025,0.005511927044398892,0.0022321268829250452,0.0,0.003125483723073407,0.011793863003850491,0.0540780590602063
Bandwidth blocking probabilities per pair,0,all,14,9, ,0.0,0.004744879173723463,0.0,9.978208656538398E-4,0.03113593155781948,0.0175117368662421,0.0,0.023091775515754667,0.0,7.159487585481796E-4
Bandwidth blocking probabilities per pair,0,all,2,7, ,0.004322608633467547,0.013599008753071021,0.005678948292671409,0.003579539364491365,0.011888102463469432,0.0,0.0,0.0,0.02504756747776934,0.023412302197552904
Bandwidth blocking probabilities per pair,0,all,5,14, ,0.0,0.00731612287916921,0.0,0.0010310986943844209,0.00805541565490965,0.0,0.0,0.008766704614120813,0.0,0.0
Bandwidth blocking probabilities per pair,0,all,10,12, ,0.022020525832417093,0.0,0.0,0.0048074414759548875,0.0,0.005648872633761831,0.0012279716902037186,0.0,0.001302054064495247,0.0018616847724142438
