Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Blocking probability,0,all,all,all, ,0.0023006892193455377,0.0022908150166874026,0.0019254695183363944,0.002251318206054861,0.0020044631396014772,0.001945217923652665,0.001945217923652665,0.0017674822758062287,0.002162450382131643,0.002132827774157237
Blocking probability,1,all,all,all, ,0.004285403953630744,0.004097794103126173,0.004927227126409543,0.004068171495151767,0.004670497857298023,0.0038015680233821117,0.004433516993502775,0.004196536129707526,0.0038410648340146533,0.004048423089835496
Blocking probability,2,all,all,all, ,0.009301498903963505,0.007790745897268796,0.008215336611568615,0.008699172541817249,0.008215336611568615,0.00859055631257776,0.008531311096628948,0.008057349369038451,0.00750439402018287,0.008452317475363864
Blocking probability,3,all,all,all, ,0.014998913837707606,0.01333017358848273,0.013577028654936114,0.014919920216442522,0.013448664020380354,0.015354385133400478,0.014682939352647273,0.014129984003791694,0.014653316744672868,0.012905582874182909
Blocking probability,4,all,all,all, ,0.021032051661828307,0.027608270632146454,0.023500602326362145,0.022641546695104372,0.0219799751170093,0.021871358887769813,0.02119003890435847,0.02255267887118115,0.02319450204395995,0.023273495665225033


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,4,all,all,all, ,0.0,3.9496810632541423E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.974840531627071E-5


Blocking probability by fragmentation,0,all,all,all, ,2.1723245847897783E-4,9.874202658135356E-5,1.3823883721389497E-4,2.1723245847897783E-4,1.4811303987203033E-4,1.4811303987203033E-4,1.777356478464364E-4,1.4811303987203033E-4,9.874202658135356E-5,2.2710666113711319E-4
Blocking probability by fragmentation,1,all,all,all, ,0.0015897466279597922,0.0017378596678318226,0.0017181112625155519,0.001777356478464364,0.0019847147342852063,0.0015206272093528448,0.001974840531627071,0.0016884886545411458,0.0016489918439086043,0.001747733870489958
Blocking probability by fragmentation,2,all,all,all, ,0.0046803720599561584,0.004206410332365662,0.004581630033374805,0.004522384817425993,0.004423642790844639,0.004413768588186504,0.004433516993502775,0.004186661927049391,0.00414716511641685,0.004275529750972609
Blocking probability by fragmentation,3,all,all,all, ,0.00776112328929439,0.007218042143096945,0.007425400398917787,0.007731500681319984,0.00706005490056678,0.007899362126508285,0.008551059501945218,0.007613010249422359,0.007948733139798962,0.007069929103224915
Blocking probability by fragmentation,4,all,all,all, ,0.01069376147876059,0.011305962043564982,0.011414578272804472,0.01137508146217193,0.011414578272804472,0.011335584651539388,0.010930742342555838,0.011454075083437012,0.012313130714694788,0.011888540000394968


Blocking probability by QoTN,0,all,all,all, ,0.0,0.0,0.0,0.0,9.874202658135355E-6,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,1,all,all,all, ,1.974840531627071E-5,9.874202658135355E-6,1.974840531627071E-5,1.974840531627071E-5,1.974840531627071E-5,1.974840531627071E-5,0.0,9.874202658135355E-6,1.974840531627071E-5,9.874202658135355E-6
Blocking probability by QoTN,2,all,all,all, ,5.9245215948812136E-5,2.9622607974406068E-5,6.911941860694749E-5,3.949681063254142E-5,8.88678239232182E-5,1.0861622923948891E-4,4.937101329067678E-5,3.949681063254142E-5,1.0861622923948891E-4,8.88678239232182E-5
Blocking probability by QoTN,3,all,all,all, ,1.5798724253016569E-4,2.0735825582084247E-4,1.777356478464364E-4,1.5798724253016569E-4,7.899362126508284E-5,1.4811303987203033E-4,2.468550664533839E-4,2.0735825582084247E-4,1.4811303987203033E-4,1.5798724253016569E-4
Blocking probability by QoTN,4,all,all,all, ,3.0610028240219604E-4,3.0610028240219604E-4,3.9496810632541423E-4,4.838359302486324E-4,2.666034717696546E-4,2.9622607974406066E-4,2.8635187708592533E-4,2.9622607974406066E-4,3.554712956928728E-4,3.4559709303473747E-4


Blocking probability by QoTO,0,all,all,all, ,0.002073582558208425,0.002192072990106049,0.001777356478464364,0.002024211544917748,0.0018464758970713115,0.0017971048837806347,0.0017576080731480934,0.0015996208306179277,0.0020439599502340188,0.0019057211130201236
Blocking probability by QoTO,1,all,all,all, ,0.002527795880482651,0.002221695598080455,0.0030116318107312836,0.002113079368840966,0.002438928056559433,0.0021821987874479135,0.0022611924087129966,0.002409305448585027,0.0019945889369433418,0.002162450382131643
Blocking probability by QoTO,2,all,all,all, ,0.003929932657937871,0.002883267176175524,0.0030215060133894187,0.0034362225250311037,0.00318936745857772,0.0032979836878172086,0.003307857890475344,0.0031696190532614493,0.002606789501747734,0.003554712956928728
Blocking probability by QoTO,3,all,all,all, ,0.005035843355649031,0.003722574402117029,0.0040286746845192255,0.004670497857298023,0.004453265398819045,0.004887730315777001,0.0037719454154077057,0.004433516993502775,0.004542133222742263,0.0039101842526216
Blocking probability by QoTO,4,all,all,all, ,0.005322195232734956,0.010851748721290756,0.006763828820822718,0.00612200564804392,0.0056974149337441,0.0055098050832395285,0.0055098050832395285,0.006507099551711199,0.006033137824120702,0.006240496079941545


Blocking probability by other,0,all,all,all, ,9.874202658135355E-6,0.0,9.874202658135355E-6,9.874202658135355E-6,0.0,0.0,9.874202658135355E-6,1.974840531627071E-5,1.974840531627071E-5,0.0
Blocking probability by other,1,all,all,all, ,1.4811303987203033E-4,1.2836463455575962E-4,1.777356478464364E-4,1.5798724253016569E-4,2.2710666113711319E-4,7.899362126508284E-5,1.9748405316270711E-4,8.88678239232182E-5,1.777356478464364E-4,1.2836463455575962E-4
Blocking probability by other,2,all,all,all, ,6.319489701206627E-4,6.714457807532042E-4,5.430811461974445E-4,7.010683887276102E-4,5.134585382230385E-4,7.701878073345577E-4,7.405651993601516E-4,6.615715780950688E-4,6.418231727787981E-4,5.332069435393092E-4
