Metrics,LoadPoint, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Total consumed energy (Joule),0, ,3.576759969671286E11,3.7344656394391437E11,3.553326832360786E11,3.8330607299302765E11,3.6913055526798975E11,3.5672686060470483E11,3.632039960600396E11,3.601740995999552E11,3.593052763421793E11,3.558797560633704E11
Total consumed energy (Joule),1, ,3.17305189395368E11,3.1147520405737384E11,3.2278900959234924E11,3.0168502589740424E11,3.097137463824003E11,3.031978262683781E11,3.1288665441606354E11,3.060994293961513E11,3.10663136532683E11,3.136409240697569E11
Total consumed energy (Joule),2, ,2.75011763082354E11,2.785769103205675E11,2.7682940394566925E11,2.7085856368697028E11,2.8688444179729553E11,2.7454921833162463E11,2.835289327767603E11,2.7978041790016675E11,2.8213796704919293E11,2.795408980501432E11
Total consumed energy (Joule),3, ,2.5625126504307617E11,2.6322010129889688E11,2.7105028504303998E11,2.7365329840485754E11,2.569730415037688E11,2.6449283910639322E11,2.785290803165001E11,2.6027645680325015E11,2.823343576231881E11,2.5596162980647235E11
Total consumed energy (Joule),4, ,2.5191197896147992E11,2.469198652906778E11,2.5139221291658127E11,2.5503160773896713E11,2.5015264331040576E11,2.675297823672398E11,2.5256973647865814E11,2.502049247541104E11,2.504593620779273E11,2.4887011337249625E11


Average power consumption (Watt),0, ,529446.5847528295,516868.5307033391,528297.4929221517,509253.09497250663,523135.7309999381,530373.1972412531,524595.0552298704,527833.0081718563,531464.1280056951,531300.7631178162
Average power consumption (Watt),1, ,563675.5906223016,565562.6200324341,555222.9925699116,579421.4667259684,570127.2310163861,572374.6647689518,565481.3113110589,574056.0517246198,563681.087196202,561704.1264810361
Average power consumption (Watt),2, ,620530.9193851817,616471.4889289845,620131.6363047505,625851.4422699291,604633.460786544,625616.0765333099,609326.728947371,610857.2388736233,606035.8497061097,617868.3596673587
Average power consumption (Watt),3, ,682743.2212377617,667663.8465139758,641642.991768079,639295.9362076366,677283.849087578,664544.226710376,631680.9926765657,672690.8160772412,618942.7689307407,675158.407305612
Average power consumption (Watt),4, ,711558.7861515336,730088.8701741042,720425.8680964097,711698.5571377391,714720.6653970984,670095.4319611737,712331.235718212,718818.0454691772,719484.7636643734,727444.220648537


Energy efficiency (bits/Joule),0, ,8.698022912333263E7,8.347652065133499E7,8.639195642344704E7,8.120210153577268E7,8.472575116626164E7,8.720437130580536E7,8.552666515790705E7,8.650282676509055E7,8.659785566199298E7,8.749455628189212E7
Energy efficiency (bits/Joule),1, ,9.769255084714752E7,9.971245396143995E7,9.627354825889966E7,1.0328648810487376E8,9.98532106773943E7,1.0163655252106847E8,9.923660360050271E7,1.0071280909432514E8,9.944120073637877E7,9.814657326375283E7
Energy efficiency (bits/Joule),2, ,1.0869474220790568E8,1.0964562175233312E8,1.0909522287662514E8,1.1147313177170399E8,1.0596284378881565E8,1.0940008428305915E8,1.0681033004383542E8,1.083321707207685E8,1.0727409160535753E8,1.0877373694874176E8
Energy efficiency (bits/Joule),3, ,1.1513949858007649E8,1.1315093097824624E8,1.0856808077529514E8,1.0837331098640049E8,1.1589440396466193E8,1.1205942144375269E8,1.0656434470948052E8,1.1406658157152028E8,1.0511493392662396E8,1.1570653862861612E8
Energy efficiency (bits/Joule),4, ,1.1479523336481735E8,1.1471061502896515E8,1.1460408361901703E8,1.1322078641268694E8,1.1476180649172594E8,1.0782792280274932E8,1.1487602665521252E8,1.1477350783522809E8,1.1562522936391385E8,1.1621957798192394E8


Total data transmitted (bits),0, ,3.1110740168117277E19,3.117401980723426E19,3.0697885685957816E19,3.112525865845813E19,3.127486357349969E19,3.110814160692695E19,3.10636265550408E19,3.1156077742967394E19,3.111506645927255E19,3.11375413464726E19
Total data transmitted (bits),1, ,3.099835334907076E19,3.1057956944701E19,3.107604329243146E19,3.1159986838770774E19,3.0925911967206887E19,3.0815981793799803E19,3.104980889617438E19,3.0828133396656443E19,3.0892715321339576E19,3.0782781932723536E19
Total data transmitted (bits),2, ,2.98923326923781E19,3.054473853794257E19,3.0200765522256077E19,3.0193452361372115E19,3.03990912916084E19,3.0035707625327743E19,3.0283818886862193E19,3.030921999628882E19,3.0266094122584465E19,3.0406708110921314E19
Total data transmitted (bits),3, ,2.950464216757007E19,2.9783599514158465E19,2.9427409240719536E19,2.965671401048388E19,2.9781737480065618E19,2.9638914526277992E19,2.9681268926462108E19,2.968884569109421E19,2.9677557346777235E19,2.9616434206646133E19
Total data transmitted (bits),4, ,2.8918294412276048E19,2.832432961036287E19,2.8810574190261613E19,2.8874879188297757E19,2.8707969244982526E19,2.884718072053106E19,2.9014207780022333E19,2.8716896891678544E19,2.895942118659989E19,2.892357954846508E19


Total energy consumption by transponders (Joule),0, ,1.3201000257285028E11,1.3209681481124127E11,1.306575123363655E11,1.3187989240299214E11,1.3342811061555533E11,1.3205291189045305E11,1.3193101391053592E11,1.322373196568603E11,1.3347190738138034E11,1.3213064450968488E11
Total energy consumption by transponders (Joule),1, ,1.2926684388423605E11,1.2750764064705165E11,1.2858876535326819E11,1.27761773415579E11,1.2825112854332411E11,1.2625043827108685E11,1.2805886974741727E11,1.2798188653895851E11,1.2656273564189812E11,1.271217063231831E11
Total energy consumption by transponders (Joule),2, ,1.2696929417355273E11,1.2762778648492282E11,1.277125250761538E11,1.2629135731314114E11,1.2839027110864981E11,1.279570441028453E11,1.2809507405147585E11,1.2678583119820454E11,1.2662675998311237E11,1.284118749764538E11
Total energy consumption by transponders (Joule),3, ,1.308773764238585E11,1.3152801837877385E11,1.2994122848452457E11,1.3066607977584598E11,1.3023256939660187E11,1.3154278939719997E11,1.312397759562498E11,1.3103023320001868E11,1.2996006139645265E11,1.2932257459308893E11
Total energy consumption by transponders (Joule),4, ,1.3365235081830565E11,1.3394579436417827E11,1.348291374893448E11,1.3533098815118404E11,1.3323845149116928E11,1.3416721303826474E11,1.3412990042645558E11,1.3393286732362181E11,1.3417692006705383E11,1.345897736416592E11


Total energy consumption by OXCs (Joule),0, ,1.651353001728438E11,1.766121802119272E11,1.6441024660139038E11,1.8398579686093805E11,1.724796598336718E11,1.644093522443802E11,1.6923831803563623E11,1.6679698984938715E11,1.6525777963351538E11,1.6373258540349567E11
Total energy consumption by OXCs (Joule),1, ,1.3760056632960507E11,1.3462169560537646E11,1.4210965064602777E11,1.2727158375241609E11,1.3278865496522627E11,1.2948455131737563E11,1.352511785546735E11,1.303408339600403E11,1.3471890190918562E11,1.3648891625544876E11
