Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Total energy consumption (Joule),0,all,all,all, ,4.6531897458228687E11,4.816773421975638E11,4.570947309217362E11,4.901829655594721E11,4.7497389630079205E11,4.604509931687428E11,4.6991760600437274E11,4.665892300148452E11,4.653540110788523E11,4.615431007516758E11
Total energy consumption (Joule),1,all,all,all, ,4.706590024029863E11,4.6772048395362146E11,4.7678731340936755E11,4.557436967668384E11,4.639270145337091E11,4.556007885776096E11,4.711090619532208E11,4.5347010000801746E11,4.6259782363281885E11,4.664698431922031E11
Total energy consumption (Joule),2,all,all,all, ,4.6567193489041754E11,4.75611240057084E11,4.691690995587973E11,4.594678616643642E11,4.778415827293799E11,4.64213608295746E11,4.767040770624729E11,4.7009539103863135E11,4.7036829772264685E11,4.7275028936296643E11
Total energy consumption (Joule),3,all,all,all, ,4.8413713695853705E11,4.817831696586921E11,4.852293229599274E11,4.9160921746802563E11,4.842366552813293E11,4.911979668031496E11,5.035431502569336E11,4.840835774251014E11,5.052441407292684E11,4.768068337562245E11
Total energy consumption (Joule),4,all,all,all, ,5.0189448224149475E11,5.034632513097639E11,4.980017907317143E11,5.021291169235436E11,4.9172197496494543E11,5.1345194393994446E11,4.9463076614492E11,4.988003672302162E11,4.986902416577581E11,5.014307292508899E11


Average power consumption (Watt),0,all,all,all, ,570848.0843175843,570892.8165220674,569202.772651305,569109.261904814,572560.0568616888,570548.5551625066,570815.5246358316,571823.4026892491,570693.4943802614,571846.065783291
Average power consumption (Watt),1,all,all,all, ,620920.4697836599,619233.2222657496,620191.8819207603,619130.0002733069,620451.2452462032,618614.2190842454,623006.6841415926,618305.1370189637,616094.0750598023,618005.3469867007
Average power consumption (Watt),2,all,all,all, ,670874.0548488317,676636.162846659,673923.3561072763,670925.0988728373,675262.0113380714,675871.2632646995,676287.6270896933,672975.1700514508,671703.015464786,678346.542254071
Average power consumption (Watt),3,all,all,all, ,739258.3705752123,744778.5298695695,736242.0364570856,739106.215638782,738942.7088921965,744002.6967386965,737784.9100313059,739752.4882608386,738258.7286189402,738302.3005883296
