Metrics,LoadPoint,Link,Number of slots,Slot, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Requisitons per number of slots,0,all,2,-, ,0.14145850233572968,0.14159118863915912,0.14880333960445155,0.14458711472001348,0.14205112422945285,0.1470876550932193,0.14454106460682029,0.14352987252771846,0.14313922730151635,0.1458411214953271
Requisitons per number of slots,0,all,3,-, ,0.1428478185870001,0.14276529128927654,0.14469435318563445,0.14222696749178163,0.1444198864113253,0.14875878744876905,0.14648384595985542,0.1447980678671006,0.1447971387057114,0.1441121495327103
Requisitons per number of slots,0,all,4,-, ,0.10757410463695954,0.10903313578590332,0.10795683224290756,0.10642203553332771,0.10983036305477063,0.10786739238000989,0.10772162184881799,0.1071998060407128,0.10637643902984241,0.10744859813084112
Requisitons per number of slots,0,all,5,-, ,0.11826904249069904,0.11682321368668232,0.12118233978228923,0.11968381519672576,0.11980900689179233,0.12160988862229608,0.12076067362207299,0.12129915422560822,0.11901568495957676,0.11726168224299065
Requisitons per number of slots,0,all,6,-, ,0.11126651561349035,0.10848335756084834,0.11204709890583027,0.11081453176364811,0.10873924031745144,0.11012668863723357,0.1105237103387725,0.10949374761047753,0.1128590589024254,0.10816822429906542
Requisitons per number of slots,0,all,7,-, ,0.04839296204089625,0.046367736404636775,0.04623779705912635,0.046856415011285624,0.046125581698980685,0.04446705815353879,0.04571140356612462,0.047370825912214774,0.04812600126671882,0.04571028037383178
Requisitons per number of slots,0,all,8,-, ,0.04284502130595728,0.04272429087927243,0.041305141380956395,0.04163974038380489,0.042180753340980516,0.04089139506875916,0.04273184947180632,0.04298809201876183,0.04304049774598562,0.04234579439252337
Requisitons per number of slots,0,all,9,-, ,0.05536751610767667,0.05440008945544001,0.05512032123101115,0.054395774212581835,0.055871079651959824,0.05389635245021613,0.055079719417539204,0.05497067298277679,0.0553351216422637,0.05402803738317757
Requisitons per number of slots,0,all,10,-, ,0.03374453364662881,0.033527153453352714,0.032675333913645764,0.03251758403341669,0.03329323224127801,0.03215295995817501,0.032737733857635225,0.03364447635654939,0.033819529823777054,0.034037383177570095
Requisitons per number of slots,0,all,11,-, ,0.05257955933499305,0.05414849603041485,0.053669540149196455,0.05390875970516891,0.05270962146434267,0.05272936058181547,0.05361329310779635,0.053124329768088105,0.05280168399090943,0.05345794392523365
Requisitons per number of slots,0,all,12,-, ,0.016186932967821945,0.01605538782660554,0.014573329963777273,0.015781143172899515,0.014884033237277229,0.014302652339118501,0.014561519852796951,0.014724120888855734,0.015079542490965315,0.014878504672897197
Requisitons per number of slots,0,all,13,-, ,0.018200975318656932,0.018608595176860858,0.016492104942951544,0.018263044027984603,0.017756390528681606,0.016814018839916723,0.016924614479325258,0.01795988399742631,0.017706121232442903,0.017345794392523366
Requisitons per number of slots,0,all,14,-, ,0.013026005389428143,0.012812628126281263,0.01175600670167261,0.01284032480121379,0.01322403454289418,0.012790230877671244,0.012469293780297581,0.012821827879782541,0.012648560038746693,0.012682242990654206
Requisitons per number of slots,0,all,15,-, ,0.012336009398864305,0.013259905326325991,0.011905764748827674,0.01269983984715237,0.012449990207872871,0.011212457871593551,0.011824813427608044,0.012159755312899225,0.011763719682575165,0.012261682242990655
Requisitons per number of slots,0,all,16,-, ,0.008969947877329902,0.01014760147601476,0.008854444538043224,0.009824581120695307,0.009018082794766341,0.008850466329950613,0.00909744729738565,0.00933429069648169,0.009127826832085243,0.010205607476635514
Requisitons per number of slots,0,all,17,-, ,0.008270627616623309,0.007668940325766894,0.007347504188545381,0.007848426100231332,0.007675162502681178,0.007552771372289078,0.007603000102743245,0.007804996316638536,0.007423344882828508,0.007981308411214954
Requisitons per number of slots,0,all,18,-, ,0.010508452450884408,0.010827835551082783,0.01008058854912532,0.010517640227398312,0.010165160544255751,0.010026794133298478,0.010321025937999122,0.010434636652710301,0.009668045154800492,0.010177570093457943
Requisitons per number of slots,0,all,19,-, ,0.005436049493225918,0.0054232360505423235,0.00489521616638119,0.005450816217583097,0.005222467802553414,0.0050040611317020344,0.004997057807085548,0.005175355980566771,0.005001676539622219,0.0058317757009345795
Requisitons per number of slots,0,all,20,-, ,0.017333818195380758,0.017266763576726678,0.016623143234212226,0.017120433068285052,0.01722481791306456,0.016571284531289386,0.01678451005482753,0.01656113913781367,0.01734287098096196,0.017355140186915887
Requisitons per number of slots,0,all,21,-, ,0.00417727302395405,0.0043329978754332995,0.004342983367496888,0.004167720303822127,0.004495052644340617,0.004238514466031201,0.003960285065802378,0.0039724354012999,0.004182034946537014,0.0048504672897196266
Requisitons per number of slots,0,all,22,-, ,0.0038788963793859035,0.0043982258004398225,0.0036409925214575204,0.004177085967426222,0.003786289156851225,0.0041264832466647375,0.003960285065802378,0.003916485606915395,0.003818784695056071,0.004252336448598131
