Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Blocking probability,0,all,all,all, ,5.035843355649032E-4,3.1597448506033137E-4,3.357228903766021E-4,3.1597448506033137E-4,2.468550664533839E-4,3.554712956928728E-4,4.44339119616091E-4,5.529553488555799E-4,3.0610028240219604E-4,4.3446491695795566E-4
Blocking probability,1,all,all,all, ,7.50439402018287E-4,5.430811461974445E-4,5.529553488555799E-4,4.0484230898354956E-4,7.109425913857456E-4,4.838359302486324E-4,5.924521594881213E-4,4.838359302486324E-4,6.911941860694749E-4,3.8509390366727885E-4
Blocking probability,2,all,all,all, ,9.281750498647234E-4,8.096846179670991E-4,7.998104153089638E-4,9.18300847206588E-4,9.281750498647234E-4,9.281750498647234E-4,0.0011059106977111598,6.516973754369335E-4,0.0011552817110018366,7.603136046764224E-4
Blocking probability,3,all,all,all, ,0.0012638979402413255,0.0015502498173272509,8.985524418903174E-4,0.0012935205482157315,0.0015403756146691154,0.001412010980113356,0.0012935205482157315,0.0010960364950530245,0.0016884886545411458,0.0020044631396014772
Blocking probability,4,all,all,all, ,0.0040385488871773605,0.003929932657937871,0.003248612674526532,0.0031399964452870433,0.003544838754270593,0.004384145980212098,0.002774650946936035,0.0038213164286983827,0.0040089262792029545,0.0034855935383217803


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,2,all,all,all, ,2.9622607974406068E-5,1.974840531627071E-5,2.9622607974406068E-5,9.874202658135355E-6,3.949681063254142E-5,0.0,4.937101329067678E-5,2.9622607974406068E-5,0.0,4.937101329067678E-5
Blocking probability by fragmentation,3,all,all,all, ,2.5672926911151923E-4,3.1597448506033137E-4,6.911941860694749E-5,2.0735825582084247E-4,2.1723245847897783E-4,2.666034717696546E-4,1.777356478464364E-4,1.9748405316270711E-4,2.666034717696546E-4,3.0610028240219604E-4
Blocking probability by fragmentation,4,all,all,all, ,0.001441633588087762,0.0014613819934040325,0.0011947785216343781,9.380492525228588E-4,0.0012046527242925134,0.0014515077907458972,9.084266445484527E-4,0.0011552817110018366,0.0013922625747970852,0.0010466654817623477


Blocking probability by QoTN,0,all,all,all, ,0.0,9.874202658135355E-6,9.874202658135355E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,2,all,all,all, ,0.0,0.0,0.0,9.874202658135355E-6,0.0,9.874202658135355E-6,9.874202658135355E-6,0.0,0.0,0.0
Blocking probability by QoTN,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,4,all,all,all, ,3.949681063254142E-5,2.9622607974406068E-5,0.0,1.974840531627071E-5,0.0,2.9622607974406068E-5,1.974840531627071E-5,2.9622607974406068E-5,4.937101329067678E-5,9.874202658135355E-6


Blocking probability by QoTO,0,all,all,all, ,5.035843355649032E-4,3.0610028240219604E-4,3.2584868771846676E-4,3.1597448506033137E-4,2.468550664533839E-4,3.554712956928728E-4,4.44339119616091E-4,5.529553488555799E-4,3.0610028240219604E-4,4.3446491695795566E-4
Blocking probability by QoTO,1,all,all,all, ,7.50439402018287E-4,5.430811461974445E-4,5.529553488555799E-4,4.0484230898354956E-4,7.109425913857456E-4,4.838359302486324E-4,5.924521594881213E-4,4.838359302486324E-4,6.911941860694749E-4,3.8509390366727885E-4
Blocking probability by QoTO,2,all,all,all, ,8.985524418903174E-4,7.899362126508285E-4,7.701878073345577E-4,8.985524418903174E-4,8.88678239232182E-4,9.18300847206588E-4,0.0010466654817623477,6.220747674625274E-4,0.0011454075083437013,7.109425913857456E-4
Blocking probability by QoTO,3,all,all,all, ,9.577976578391294E-4,0.0011849043189762426,8.195588206252345E-4,0.001026917076446077,0.0012935205482157315,0.0010960364950530245,0.0010960364950530245,8.985524418903174E-4,0.0013626399668226791,0.0016786144518830105
Blocking probability by QoTO,4,all,all,all, ,0.0022019471927641845,0.0021229535714991014,0.00180697908643877,0.0019353437209945297,0.0019847147342852063,0.0025179216778245155,0.0015502498173272509,0.0023006892193455377,0.0021821987874479135,0.0020340857475758833


Blocking probability by other,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.874202658135355E-6,0.0
