Metrics,LoadPoint, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Total consumed energy (Joule),0, ,3.369849441989248E11,3.037546749362968E11,3.5988812515325336E11,3.075174768885933E11,3.040594726593342E11,3.237234645960829E11,3.2109956496421185E11,3.117394761806115E11,3.366233833797755E11,3.0100132767636896E11
Total consumed energy (Joule),1, ,2.688622428440243E11,2.74998148586647E11,2.6796593840246716E11,2.804146382323303E11,2.67219752141544E11,2.706258133544378E11,2.7153491355672318E11,2.764013269360403E11,2.906449245849361E11,2.7256933243895502E11
Total consumed energy (Joule),2, ,2.4814776553051526E11,2.496290325863945E11,2.4738913252212573E11,2.453236967427765E11,2.6078366861191406E11,2.4659782635087323E11,2.419124687488955E11,2.544470067237197E11,2.422031377691422E11,2.4119549751762485E11
Total consumed energy (Joule),3, ,2.311172455129335E11,2.265472971224374E11,2.36472705491325E11,2.2593079309018103E11,2.3446007935894196E11,2.224310028337745E11,2.363216177035688E11,2.3058606545866348E11,2.381517962608259E11,2.230671646567814E11
Total consumed energy (Joule),4, ,2.122586928937477E11,2.125087380630377E11,2.1548604726065802E11,2.139879076265347E11,2.152714653026277E11,2.181721546371557E11,2.1035654658636038E11,2.136498214405716E11,2.1470555182801886E11,2.1887667451312482E11


Average power consumption (Watt),0, ,416959.5860744057,461705.39522456256,392288.99584137753,453792.1440076074,463715.4937120349,431416.81489912485,436249.5531561083,449374.47594717675,418700.9358823447,456601.63437739096
Average power consumption (Watt),1, ,505512.5576607545,489635.25207984715,507478.4424214324,483761.11188225605,503589.72341896757,497419.6426756024,498582.2951348463,492436.6816202733,459110.15427335375,496790.63450714375
Average power consumption (Watt),2, ,525923.0479225498,525785.0502396593,537319.3062024893,544945.328497556,492815.7646930373,533821.1674375235,542201.8646158609,523073.95199169556,550655.5812202598,546820.2252059317
Average power consumption (Watt),3, ,565959.3693068697,579948.561410672,556803.5486749621,581754.4494321422,563687.6731079756,592956.8740624557,542210.5874983147,565842.5025811961,545089.3284024306,598599.1695351136
Average power consumption (Watt),4, ,621081.9134844313,618039.7747371965,610223.693797762,610767.3359251599,616074.9678086432,591478.5911446422,643850.347056386,617276.9419642655,610900.5787997296,592652.180522992


Energy efficiency (bits/Joule),0, ,9.278463770309494E7,1.0403607749773665E8,8.624297232593523E7,1.021484488409654E8,1.0305568687135677E8,9.727822502703452E7,9.907191406553632E7,1.0016107553026995E8,9.297096349484633E7,1.0350223116122584E8
Energy efficiency (bits/Joule),1, ,1.163175191756003E8,1.1406717188170253E8,1.1729817768006518E8,1.1219926180688734E8,1.1664991066769141E8,1.1539482305343005E8,1.1503475781710364E8,1.140382249059714E8,1.0703832607689941E8,1.1465551199083668E8
Energy efficiency (bits/Joule),2, ,1.2565336541529243E8,1.2467957271705797E8,1.2634221277227269E8,1.2803960547467676E8,1.1941439058473358E8,1.2613878430868097E8,1.291713342354512E8,1.2358811571452388E8,1.2884376994076766E8,1.2895086906610353E8
Energy efficiency (bits/Joule),3, ,1.361350357346395E8,1.3839754897416788E8,1.324801924228012E8,1.3848920980989754E8,1.3309929733708838E8,1.3934118189616245E8,1.3122229644595675E8,1.3524290515770653E8,1.3228707593201296E8,1.3978173764870647E8
Energy efficiency (bits/Joule),4, ,1.4582881552079445E8,1.4536825029298556E8,1.443297001939462E8,1.445062802373354E8,1.445613172891975E8,1.4022360538634425E8,1.474867877098624E8,1.4425803837546024E8,1.446697492367917E8,1.4092162119171897E8


Total data transmitted (bits),0, ,3.1267025958894903E19,3.1601444901972378E19,3.1037821618024743E19,3.1412433255657234E19,3.1335057804650213E19,3.1491244035508994E19,3.1811948506615493E19,3.122416121949302E19,3.1296200287712772E19,3.1154308996995424E19
Total data transmitted (bits),1, ,3.1273389087604703E19,3.136826108198303E19,3.1431916254937997E19,3.1462315409512833E19,3.117116021595375E19,3.1228817845725938E19,3.123595301988582E19,3.152031668544109E19,3.111014621031823E19,3.1251576363788956E19
Total data transmitted (bits),2, ,3.118060185919414E19,3.1123641120644207E19,3.1255690418658374E19,3.1411149344534344E19,3.114132286174283E19,3.110555002906236E19,3.1248156356486726E19,3.1446626110185304E19,3.1206365361659412E19,3.110236901972894E19
Total data transmitted (bits),3, ,3.146315447679465E19,3.1353590648467894E19,3.1327949526231134E19,3.1288977006782628E19,3.1206471816273154E19,3.09937988252068E19,3.1010665374885765E19,3.1185129381514736E19,3.1504404755301155E19,3.1180715888095023E19
Total data transmitted (bits),4, ,3.09534337686873E19,3.089202342419417E19,3.1101036597109297E19,3.092259654688107E19,3.1119926598923633E19,3.0592886118128996E19,3.1024811329762316E19,3.0820704140284207E19,3.106139834270647E19,3.0844455813441745E19


Total energy consumption by transponders (Joule),0, ,1.5413874921550986E11,1.549120181937555E11,1.5233428016191275E11,1.5420333319969766E11,1.5571330776459888E11,1.53959111189169E11,1.5457660797333786E11,1.547925580396878E11,1.547329987897578E11,1.518591975428271E11
Total energy consumption by transponders (Joule),1, ,1.4853408699659885E11,1.47932989630125E11,1.4850349657951285E11,1.4927344850990677E11,1.4717004915305093E11,1.4753782333463736E11,1.4832143517507074E11,1.4941436893717935E11,1.474211097203499E11,1.484404107410545E11
Total energy consumption by transponders (Joule),2, ,1.4140030371954578E11,1.4221617954577274E11,1.432251527511984E11,1.434748868738957E11,1.4106408694734122E11,1.420866236546094E11,1.409716928101687E11,1.443935609690966E11,1.426925911449507E11,1.4140388988673212E11
Total energy consumption by transponders (Joule),3, ,1.387290486554781E11,1.3817038939063754E11,1.403892932758798E11,1.3806797970110138E11,1.403578825489615E11,1.375634647675723E11,1.3771527540409537E11,1.383911680951812E11,1.3930659864163864E11,1.3875913701427185E11
Total energy consumption by transponders (Joule),4, ,1.3493973441551982E11,1.3471766560362776E11,1.3559474866350955E11,1.3472265984098802E11,1.362177480524294E11,1.3472151245991145E11,1.3644020047071112E11,1.3534439268293478E11,1.3519182122882733E11,1.3532233949295592E11


Total energy consumption by OXCs (Joule),0, ,1.1043186033651695E11,8.98950699138106E10,1.2535430242051468E11,9.259567094082036E10,8.959520850078044E10,1.0253094611704277E11,1.0057327105389397E11,9.478972283758775E10,1.0985458871278307E11,9.007593998164526E10
Total energy consumption by OXCs (Joule),1, ,7.267344066032402E10,7.674232372621635E10,7.215058367525073E10,7.92040848818602E10,7.25052661613657E10,7.434027120007906E10,7.441606120080174E10,7.669509344485301E10,8.650151194791472E10,7.49689527086337E10
Total energy consumption by OXCs (Joule),2, ,6.447123931157849E10,6.48731092621545E10,6.29109184755116E10,6.151264754457558E10,7.23058859558347E10,6.312062737101358E10,6.0964231012498955E10,6.646792268348433E10,6.010042914926465E10,6.027017886618389E10
Total energy consumption by OXCs (Joule),3, ,5.579881196341506E10,5.337615219445248E10,5.803057569447438E10,5.3065659571621895E10,5.68340000535528E10,5.12566319013703E10,5.9554325547204666E10,5.568206672447843E10,5.969858470069872E10,5.091870976428826E10
Total energy consumption by OXCs (Joule),4, ,4.669758878388021E10,4.69827269309336E10,4.825118034085144E10,4.787307044473695E10,4.774531437883011E10,5.040088289912579E10,4.4642545673805824E10,4.7293377764512535E10,4.8023144223273865E10,5.0463509269603775E10


Total energy consumption by Amplifiers (Joule),0, ,7.241433464689845E10,5.8947586828728355E10,8.219954257083022E10,6.071847274807863E10,5.875095639395347E10,6.7233407289865326E10,6.594968593698037E10,6.215719530333682E10,7.203579587723497E10,5.9066190151898506E10
Total energy consumption by Amplifiers (Joule),1, ,4.7654715187097404E10,5.032283523030607E10,4.73118581477055E10,5.193710484056444E10,4.754443682712422E10,4.874771881972304E10,4.879741718085308E10,5.029186455400177E10,5.672230291666537E10,4.915996898926877E10
Total energy consumption by Amplifiers (Joule),2, ,4.227622249939632E10,4.253974377846228E10,4.125306129541747E10,4.033616232431161E10,4.741369570874426E10,4.139057532525416E10,3.997654492622859E10,4.358552307113765E10,3.94101174749276E10,3.952142876471079E10
