Metrics,LoadPoint, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Rate of requests by circuit,0, ,2.669813198985493,2.6481805121824977,2.6510656161821085,2.655484135864769,2.6591871084770773,2.709036733316386,2.686445603721615,2.6728471064587405,2.6736710325669337,2.6857654345417665
Rate of requests by circuit,1, ,2.8306226491681787,2.861085946782634,2.87129230355706,2.868567590668982,2.8375024957625934,2.874536150784064,2.8380576733446032,2.8737621655557106,2.8979017970828034,2.8962932565086414
Rate of requests by circuit,2, ,3.0462645779103905,3.0596147130928073,3.0713894876341374,3.063953347089505,3.04440477570033,3.0297694784643103,3.063444998824068,3.053282901075734,3.0707160426960343,3.039561569327442
Rate of requests by circuit,3, ,3.217846752426257,3.216618577019159,3.213436220444575,3.222593045367944,3.154369034418997,3.1853990341531153,3.208668539926953,3.171218540645715,3.1589006648971334,3.1099242205333555
Rate of requests by circuit,4, ,3.3013077528467116,3.273817340242907,3.2523659149800936,3.286046293579372,3.259206778573124,3.2640494668127897,3.282726012847136,3.268057512706375,3.271754919157062,3.3306349874199377


Maximum requests by circuit,0, ,39,37,39,34,47,39,34,45,37,41
Maximum requests by circuit,1, ,41,44,43,36,41,46,40,49,40,44
Maximum requests by circuit,2, ,47,49,47,37,41,37,40,38,48,42
Maximum requests by circuit,3, ,43,53,41,47,48,51,46,50,34,39
Maximum requests by circuit,4, ,49,42,45,36,46,44,48,37,40,56


Virtual hops,0, ,1.6997619118184601,1.6991465992374706,1.706637692611616,1.702761699689852,1.7094786121344407,1.7006460024891839,1.704215195250373,1.7061293445829793,1.7020337208498366,1.6947248839276894
Virtual hops,1, ,1.6569596237079784,1.645718689178909,1.6563358295955264,1.6549445338970494,1.650738127704986,1.657219066436157,1.6680795146916434,1.6504223265003704,1.6489664440140706,1.6631994863436559
Virtual hops,2, ,1.591440996244317,1.591568503439007,1.6044192780133013,1.5934908727923227,1.5906206760229293,1.6025202609211306,1.580939483205156,1.5928286301478145,1.6068586454718903,1.589582695139184
Virtual hops,3, ,1.5375892274533842,1.5334612379718544,1.5664390263186503,1.5388608208180496,1.5594355109871636,1.538034826116621,1.5459596808479084,1.5395945157814617,1.530993145603988,1.5287273302925666
Virtual hops,4, ,1.4805928716601398,1.4748503112732463,1.4976571400267473,1.4896192400649788,1.505286627359659,1.4842011306158882,1.5133326072104007,1.5052880946008902,1.495826228338026,1.501838071362749


Maximum virtual hops,0, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,1, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,2, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,3, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,4, ,3,3,3,3,3,3,3,3,3,3


