Metrics,LoadPoint,Modulation,Bandwidth, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Percentage of cicuits per modulation,0,BPSK,all, ,0.08947720205748162,0.09496875454149106,0.0951962032642667,0.09396662238747963,0.09262030355378634,0.09217633734100017,0.09671566695263048,0.08554006867758018,0.09705836268780575,0.09472070507178372
Percentage of cicuits per modulation,0,QPSK,all, ,0.30589055825172184,0.29813689870658333,0.29408496353744645,0.2953170409128087,0.2944367731088553,0.29806586513329847,0.29200769783672237,0.2984637300148821,0.2906528009099403,0.2958841667783885
Percentage of cicuits per modulation,0,8QAM,all, ,0.3270523960361512,0.3239238482778666,0.32715013311725893,0.3318154660046058,0.33549799807028996,0.3252599175233781,0.3303751536089406,0.34265827402701937,0.33033501819300254,0.32769283678311
Percentage of cicuits per modulation,0,16QAM,all, ,0.13187643486094563,0.13398633919488445,0.13682717907165182,0.13453718581596488,0.1299087720920021,0.13573212522506825,0.13311229103387512,0.12955510130811682,0.13255647955245795,0.13367568796376714
Percentage of cicuits per modulation,0,32QAM,all, ,0.09092441370491994,0.09484086615317541,0.09172357911795347,0.09129826963124525,0.09186344123917427,0.09329732241389324,0.09396229914906444,0.08997573701003526,0.0940116876258567,0.09325180552236283
Percentage of cicuits per modulation,0,64QAM,all, ,0.05477899508877975,0.05414329312599913,0.05501794189142262,0.05306541524789577,0.05567271193589203,0.05546843236336179,0.05382689141876695,0.05380708896236631,0.05538565103093681,0.05477479788058779
Percentage of cicuits per modulation,1,BPSK,all, ,0.10363726361364735,0.10701293087922775,0.10318459180082433,0.10702241322708687,0.10767517868045828,0.09937884496161,0.09758163392227823,0.10422353110185319,0.10752507759974113,0.10332949267701665
Percentage of cicuits per modulation,1,QPSK,all, ,0.3119852577215069,0.31460937218600293,0.3042033748680294,0.299937326528785,0.30517544804798336,0.30924817587867803,0.30757612552048474,0.3059665756835704,0.30100310398964536,0.29977312411655005
Percentage of cicuits per modulation,1,8QAM,all, ,0.3179191440890739,0.3094286160237246,0.322222951249918,0.3191571910347092,0.3141184498796825,0.31840454957317943,0.3144408972179609,0.3211224440932816,0.32659603791900865,0.32513927328447384
Percentage of cicuits per modulation,1,16QAM,all, ,0.12714618829801827,0.1226752632400437,0.12759243905494153,0.12791953920076402,0.12561505584886687,0.12887476751394916,0.1404464766959066,0.12409016903701575,0.11918601167291859,0.12455604784586694
Percentage of cicuits per modulation,1,32QAM,all, ,0.08545392739785665,0.09231711270395851,0.08835020369696572,0.08857850598382427,0.0908067856672533,0.09259502122180362,0.08633383284073612,0.09015107982569555,0.08830191392720604,0.09179564540843599
