Metrics,LoadPoint,Link,Number of slots,Slot, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Requisitons per number of slots,0,all,2,-, ,0.04229951309076964,0.04347977705062857,0.04310414665478492,0.04551016975693498,0.04362016775654505,0.040515429195266135,0.04339914580930801,0.041193190040926905,0.04116042935886278,0.04215593149224072
Requisitons per number of slots,0,all,3,-, ,0.05533217900596144,0.05738214661420343,0.05998935271447915,0.05626279556671674,0.05873789772858562,0.05722797115083098,0.05789257132260476,0.056406189398368715,0.0593327531186539,0.05892739552799809
Requisitons per number of slots,0,all,4,-, ,0.07255993399416638,0.0728188914138919,0.07335632529771893,0.07192195936736978,0.07317397231785937,0.07133897773596738,0.07242656220119262,0.07284062820193693,0.07367565999419785,0.07340283564781092
Requisitons per number of slots,0,all,5,-, ,0.07118868604232276,0.06952928390010288,0.07049776059809969,0.06968907860320259,0.06950574208008874,0.06811028651731066,0.06906543193421456,0.06936734067740684,0.07089062953292719,0.06933526028403098
Requisitons per number of slots,0,all,6,-, ,0.07735349145294179,0.07750919753337557,0.07846586503408289,0.07790723975339717,0.0756175335628625,0.07598457661173245,0.07605426486865514,0.07733274673366253,0.07825355381491152,0.074317748731068
Requisitons per number of slots,0,all,7,-, ,0.06934098753094023,0.06687318737395166,0.06939831263670768,0.06863933465952918,0.0684370450816831,0.06711148275902117,0.06613313552888543,0.07166549925613759,0.06899912967798086,0.06791918462013624
Requisitons per number of slots,0,all,8,-, ,0.06529696814753698,0.06414734651888618,0.06373326235142986,0.0643707626012771,0.06455507544423135,0.06288398778207496,0.0617288958687073,0.06741072203858822,0.06409631563678561,0.0647956596989528
Requisitons per number of slots,0,all,9,-, ,0.056471012050712935,0.05617905694043253,0.05589246241623942,0.05603660764515175,0.05469417935624003,0.05472515475651255,0.05395773088936666,0.05701980352770236,0.05614157238178126,0.05615351891888742
Requisitons per number of slots,0,all,10,-, ,0.06276945603290995,0.0621015128707347,0.0608399782425035,0.06114613479640187,0.060101208494119276,0.06024761042007828,0.06065681121458499,0.061303524807956145,0.060725268349289235,0.0609203909068129
Requisitons per number of slots,0,all,11,-, ,0.05258387272959688,0.05115165323119664,0.050892867476014673,0.05050950279255088,0.05014788455761721,0.05099706165871108,0.05079942744884418,0.05193722611680666,0.04995068175224833,0.05042511407276181
Requisitons per number of slots,0,all,12,-, ,0.04493161191358814,0.04492697187559937,0.04519309778142974,0.04392685430598006,0.045376296878249414,0.045120379080868266,0.04498119505566148,0.045772140760765745,0.043255004351610095,0.04431209608335616
Requisitons per number of slots,0,all,13,-, ,0.038511150105167744,0.03859767402663071,0.03739859039198213,0.037883577016987295,0.0383691106130277,0.038436523698361265,0.03778374024258088,0.03778357945434653,0.03770815201624601,0.03747064411046556
Requisitons per number of slots,0,all,14,-, ,0.0352980140146189,0.03598226169234614,0.03444165403265939,0.03555210151777895,0.03530166139057698,0.03506846451343159,0.03719843997195195,0.036168500755440036,0.03528865680301712,0.034737559804430045
Requisitons per number of slots,0,all,15,-, ,0.030609043264034956,0.03091998581865312,0.031050725056997696,0.03164311025791223,0.030997989694294893,0.03107905647886833,0.03237116150230933,0.03141588565937469,0.03143603133159269,0.031165319549419875
Requisitons per number of slots,0,all,16,-, ,0.026350040091571474,0.025607792766350685,0.026328885391229878,0.026029010050863284,0.02620329505279941,0.027879400253185138,0.026622469735339965,0.02532026605382438,0.026440382941688424,0.026783060704774448
Requisitons per number of slots,0,all,17,-, ,0.022683694932192952,0.023033064623932765,0.022793292210121864,0.023355352824159188,0.023158952792476373,0.023762238249538343,0.02381186942588418,0.022275350657319663,0.023028720626631853,0.02330405999965035
Requisitons per number of slots,0,all,18,-, ,0.025112430711305825,0.025474116135931698,0.024853310495677433,0.025043062700451795,0.025123044573329943,0.02603858169866323,0.026025579360342138,0.02532026605382438,0.025546852335364086,0.025186333412975447
Requisitons per number of slots,0,all,19,-, ,0.017245186106236855,0.01756394683157326,0.017330771812468896,0.017665856643255252,0.01778080735725674,0.01827462457754085,0.01846303625964152,0.017181195621342193,0.01800406150275602,0.01779709908450417
Requisitons per number of slots,0,all,20,-, ,0.01836077766027913,0.0183950667511348,0.018302915273068154,0.018222626911722915,0.019028583312151952,0.019430217297887412,0.019164237573959353,0.01822318187870122,0.01901943719176095,0.018006888071747832
Requisitons per number of slots,0,all,21,-, ,0.013520737220085297,0.014274339317784223,0.013349612878586225,0.014116446181773894,0.014678697691614484,0.014569759474118208,0.014510810669850082,0.013256380718623189,0.013948360893530607,0.0134264951835945
Requisitons per number of slots,0,all,22,-, ,0.013770583245209347,0.013013129369918108,0.01280567546610807,0.01355967591330623,0.013246066039697761,0.013872919642753447,0.01315476845868997,0.012862741465843111,0.013107049608355091,0.013030227096578691
