Metrics,LoadPoint,Node, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Tx Utilization,0,all, ,272.1547386298556,275.88821415170725,272.3707269387997,273.26320674605523,274.17973023678337,269.1679996840255,271.5597685486897,270.190572111302,273.9040030017576,271.05245176452
Tx Utilization,1,all, ,317.36764618757036,316.366095937753,315.7786697474179,313.0809289649861,317.55034855935384,315.88816478069396,316.40311432351837,315.61940873274483,315.1364911033434,311.83597961964574
Tx Utilization,2,all, ,356.5522147836562,356.0218911072931,353.600341647412,355.78314276122205,356.2939253905247,357.69008827537175,354.6146691154689,354.7707506368861,355.85764362027766,359.5971325315481
Tx Utilization,3,all, ,394.54987459762623,396.7872899263385,393.6225586033928,394.1103837115153,402.78683571301616,399.557448111065,395.01807966506703,398.36976914114183,401.0069119418607,405.741147777317
Tx Utilization,4,all, ,438.68829117048796,441.58212374350774,443.71373699073797,442.8204869956751,445.701404111618,443.44706439954973,436.87326460888283,444.6928629263187,442.2862728834647,433.40896972569465


Rx Utilization,0,all, ,272.1547386298556,275.88821415170725,272.3707269387997,273.26320674605523,274.17973023678337,269.1679996840255,271.5597685486897,270.190572111302,273.9040030017576,271.05245176452
Rx Utilization,1,all, ,317.36764618757036,316.366095937753,315.7786697474179,313.0809289649861,317.55034855935384,315.88816478069396,316.40311432351837,315.61940873274483,315.1364911033434,311.83597961964574
Rx Utilization,2,all, ,356.5522147836562,356.0218911072931,353.600341647412,355.78314276122205,356.2939253905247,357.69008827537175,354.6146691154689,354.7707506368861,355.85764362027766,359.5971325315481
Rx Utilization,3,all, ,394.54987459762623,396.7872899263385,393.6225586033928,394.1103837115153,402.78683571301616,399.557448111065,395.01807966506703,398.36976914114183,401.0069119418607,405.741147777317
Rx Utilization,4,all, ,438.68829117048796,441.58212374350774,443.71373699073797,442.8204869956751,445.701404111618,443.44706439954973,436.87326460888283,444.6928629263187,442.2862728834647,433.40896972569465


Regenerators Utilization,0,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regenerators Utilization,1,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regenerators Utilization,2,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regenerators Utilization,3,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regenerators Utilization,4,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Tx Utilization Per Node,0,11, ,19.55501905721113,19.25901020992555,20.33858640914746,19.237849793629163,19.62938167742955,18.989651835614275,19.469626952623575,19.344451685526394,18.976983233603885,19.467000414716512
Tx Utilization Per Node,0,12, ,16.44976005687541,16.189298339159112,17.149189327961768,16.217104093844423,17.713746864940656,15.984823350514446,15.721991824160199,16.40212690325256,16.43284554772202,16.06772715603215
Tx Utilization Per Node,0,13, ,17.63841657286174,19.173410747082173,18.051809941347237,19.140559274838555,18.260145743231234,17.827349566522503,19.451725023204375,19.052343148290774,18.87253391788613,18.6958350613188
Tx Utilization Per Node,0,14, ,21.26243655824792,22.832148429014357,21.146138199340403,21.793767403282185,21.126518158658687,20.94652131840354,21.848845705709262,21.49385824594664,21.477309082291605,20.176580366135436
Tx Utilization Per Node,0,1, ,14.50577640855501,15.547099946679305,15.336769555858364,15.173627979540653,16.523589470150284,14.116772320635109,14.731263700456187,14.718733337283014,15.354789975709462,15.084187451863261
Tx Utilization Per Node,0,2, ,17.25795367024113,17.262930268380828,17.102780575468532,16.207555739874007,16.600223156980075,16.137123052313527,16.5896972569465,16.790153445109308,16.348273001955093,17.306643363548393
Tx Utilization Per Node,0,3, ,17.821257183482434,17.196921223611195,17.428797124632187,17.472065880680134,16.895935778185912,18.117957224954086,17.77393013014199,16.331210379761835,18.38600233031183,17.330252582103995
Tx Utilization Per Node,0,4, ,24.569514386713273,25.381786045776803,24.568003633706578,24.142257637695757,24.990846614135908,25.21029089401031,24.66216403025456,24.90250212295357,24.72335446412702,25.19545984161779
Tx Utilization Per Node,0,5, ,18.98803246637834,19.112190690601732,18.55407113375595,19.965351422872605,19.46790884136106,19.05878112842388,19.631188656515988,18.868771846673383,19.61326697869147,18.360013428915614
Tx Utilization Per Node,0,6, ,24.844570175958292,25.133005509805084,23.6687106266169,24.557102513971998,23.95796551928432,23.873096747437643,22.798753875624545,24.225872385804845,23.64716511641685,25.413817959199793
Tx Utilization Per Node,0,7, ,16.838092699014556,17.43084108458242,16.22756087445939,16.073325828939314,16.39741690858463,17.14223788929044,16.279360941603965,15.879850702055808,17.006714457807533,17.13058633015384
Tx Utilization Per Node,0,8, ,24.190917708395048,23.54379208878883,24.103985228192823,24.76610976163675,24.835071193001166,23.761725615656534,23.917303552738115,24.61375081462172,23.515917214684915,22.682682623378163
Tx Utilization Per Node,0,9, ,22.294784446155973,22.903015581491793,23.558435531330844,23.10574283626597,23.342585461224004,22.374508758417758,23.34155854414756,22.68974267827873,23.758852222683018,24.328978809961097
Tx Utilization Per Node,0,10, ,15.938207239765388,14.922763986808064,15.13588877698126,15.410786578983748,14.438394849615893,15.627159981831467,15.342358354562869,14.877204415743428,15.789995457866777,13.812686375575172
Tx Utilization Per Node,1,11, ,22.404299227837353,22.501086162292395,24.58219286292632,23.47854335762387,22.370351719098682,23.396064142820467,24.030333550565793,22.446896538104546,22.82122756087446,22.570896775085412
