Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Bandwidth blocking probability,0,all,all,all, ,0.0012362831448829083,0.002056373699005651,0.0010475583206737088,0.001624098273681643,5.642874207535955E-4,0.0010114028037527065,0.001250189270553762,9.556720644818019E-4,0.0019656471385876644,0.0010812835569873707
Bandwidth blocking probability,1,all,all,all, ,0.002002278407989795,0.0017928811645089627,0.0017994168471740294,0.0017443330957819284,0.002131496091713717,0.0013295658261449524,0.0011628724700368563,0.0016067826032899863,0.0020100986111891784,0.0019015270209932441
Bandwidth blocking probability,2,all,all,all, ,0.0029442673839327506,0.0021346053720591503,0.0019023335703092434,0.0022408657365866223,0.00284566849868784,0.002275068721286597,0.0027269286958351495,0.0022501528859396624,0.0025538807630610645,0.0038719087095064096
Bandwidth blocking probability,3,all,all,all, ,0.005676719231540878,0.006165414934096334,0.005181607243770805,0.006764751736678267,0.008912458740356113,0.00717238790728355,0.006256920974709258,0.005329997261997384,0.004220871587672651,0.007320467049571569
Bandwidth blocking probability,4,all,all,all, ,0.014736936464292293,0.012051671484176256,0.014702430959227145,0.014992833502101652,0.012278857694168506,0.0156433460500314,0.018294498461692062,0.013832422168266002,0.016273065769391498,0.014851634789299371


General requested bandwidth,0,all,all,all, ,8.665990161059342E15,8.694487401593583E15,8.770024173983464E15,8.765353816252442E15,8.688296101860191E15,8.763264484976147E15,8.842319459732564E15,8.756340878318584E15,8.750894536720501E15,8.747421210266021E15
General requested bandwidth,1,all,all,all, ,8.768715129370632E15,8.640151434603391E15,8.672221319281225E15,8.697388173445594E15,8.688936483236217E15,8.70666210633637E15,8.777222858068307E15,8.758331590819874E15,8.642778678830131E15,8.735183153680469E15
General requested bandwidth,2,all,all,all, ,8.668367745019278E15,8.740660834027796E15,8.710245610739444E15,8.658923585772596E15,8.711725112994507E15,8.680309993422381E15,8.676268195909371E15,8.737377369921028E15,8.826196846772767E15,8.719389630231821E15
General requested bandwidth,3,all,all,all, ,8.737156974556418E15,8.715313929412287E15,8.727569702316523E15,8.811486222081556E15,8.655095296408737E15,8.627103355685265E15,8.709979056094319E15,8.672593698149299E15,8.66509664699125E15,8.705801322121623E15
General requested bandwidth,4,all,all,all, ,8.702762764631924E15,8.738484153687535E15,8.70255505011404E15,8.739975956547519E15,8.676943810040257E15,8.714963401098325E15,8.740999828973327E15,8.746933172044578E15,8.744501037494945E15,8.694829231364958E15


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,4,all,all,all, ,0.0,0.0,0.0,1.719970240564976E-5,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,4,all,all,all, ,6.946709869410341E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,2,all,all,all, ,0.0,5.9271770103675344E-5,8.950058213626E-5,3.247126218825002E-5,1.4969329427679329E-5,3.977864468998414E-8,1.0301097052809241E-4,1.5028305912878643E-5,5.314558868943138E-4,8.371118445024011E-5
Blocking probability by fragmentation,3,all,all,all, ,0.0013373202766829525,0.001271503703799015,0.0012614379431480096,0.0021543649236763092,0.002507772802131951,0.0012257724713694246,0.001542150096150567,0.0010500023224989537,6.071308467406145E-4,0.001855830993911641
Blocking probability by fragmentation,4,all,all,all, ,0.005592008816433351,0.005404258454592564,0.005866920912233049,0.005573737639696344,0.004964855086122776,0.007326366662192431,0.00792360788654083,0.005824395559448335,0.005844654645215851,0.007918365440898877


