Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Total energy consumption (Joule),0,all,all,all, ,8.059148769032241E11,8.172574088272146E11,8.078419861644362E11,8.014626974808546E11,8.013375348704252E11,8.209461511926047E11,8.109463622159073E11,8.156616106732317E11,8.090692482285508E11,8.082098637747954E11
Total energy consumption (Joule),1,all,all,all, ,7.852106994085559E11,7.616826597159994E11,7.798028740169388E11,7.680333657422219E11,7.793192065255587E11,7.769880002884579E11,7.846624072831115E11,7.72004161000191E11,7.649244299499042E11,7.727713176374802E11
Total energy consumption (Joule),2,all,all,all, ,7.53825867461536E11,7.717486526009604E11,7.450801730847408E11,7.497568667953766E11,7.73749207176236E11,7.621865920213695E11,7.410917279434521E11,7.514125212731187E11,7.485674173094938E11,7.521813376930417E11
Total energy consumption (Joule),3,all,all,all, ,7.20773883232292E11,7.423829177681542E11,7.3735420561096E11,7.350554598729319E11,7.277562822775065E11,7.316825992804276E11,7.279654419154536E11,7.099082306112964E11,7.313879741566653E11,7.258207542562528E11
Total energy consumption (Joule),4,all,all,all, ,7.106249211152673E11,7.143129134280627E11,6.953156606418894E11,7.178566060436304E11,6.940325649398583E11,7.09818028604258E11,7.068180166393057E11,7.060888853317004E11,7.060712505653729E11,7.094455020677891E11


Average power consumption (Watt),0,all,all,all, ,485404.19322748843,486993.9780533648,489471.15365814656,486965.5444727393,486181.8282026476,488390.1018440487,492361.8625057783,488443.9243545256,487679.11453585484,487656.4666681769
Average power consumption (Watt),1,all,all,all, ,539729.1221634884,536750.6572859337,538560.02175015,538604.1827730512,537989.9060432881,541837.2591021734,540886.4184882661,541269.6522692292,536548.8140573968,539764.86195541
Average power consumption (Watt),2,all,all,all, ,588015.4226103307,591232.1242669075,587265.6448415656,588993.9685045524,588384.2095033585,587733.363888814,587354.7048406104,588392.6508160849,591273.6018423522,585535.3906200549
Average power consumption (Watt),3,all,all,all, ,638337.7931817375,636646.5868275281,639003.4072877711,638658.7356120225,634472.0316795477,633840.2611096435,635714.2278471127,634313.7175596609,634654.6739699251,637377.993352619
Average power consumption (Watt),4,all,all,all, ,685816.5592715688,688982.4212937341,686260.9802255163,688308.5756075964,683788.1378493195,686779.6017652309,688303.555798887,686123.1889959555,691985.992282524,686433.7084177135


Energy efficiency (bits/Joule),0,all,all,all, ,3.86628866764349E7,3.822025899498677E7,3.9041067391927406E7,3.9308161155756354E7,3.90100486999381E7,3.8389661264819644E7,3.9204261926361024E7,3.8610008445342E7,3.886106929182132E7,3.892140813060993E7
Energy efficiency (bits/Joule),1,all,all,all, ,4.0121928823911466E7,4.076340456929007E7,3.996371390728645E7,4.069612429254644E7,4.005226294351311E7,4.028673503549947E7,4.022272196186473E7,4.077611685507706E7,4.059415520447187E7,4.061597779887256E7
