Metrics,LoadPoint,link, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
External Fragmentation (Vertical),0,all, ,0.18779706605597585,0.19260866131272994,0.19053829392968846,0.19318093097534095,0.19733800742483626,0.19747585704815152,0.19288235847045648,0.20385508550400963,0.1962506742127775,0.19699769028350972
External Fragmentation (Vertical),1,all, ,0.2883650350265364,0.2829320372909006,0.27197647677231246,0.28151227535441437,0.27545787477081807,0.2828021952540094,0.29867390722622766,0.28068232877925814,0.28462599238376984,0.26834882169366675
External Fragmentation (Vertical),2,all, ,0.38187291138725854,0.3806011074587558,0.39414578831745406,0.3897476280680738,0.38930145506629266,0.3705383740069931,0.39301667673755,0.3919918116624618,0.417134925591447,0.38464037026550574
External Fragmentation (Vertical),3,all, ,0.5176581791007289,0.490289721437936,0.5031616845717315,0.5195300064882913,0.48240146767398173,0.4880831803582128,0.5019613764026006,0.5053430126115578,0.505220498979239,0.4985576064662276
External Fragmentation (Vertical),4,all, ,0.5737694044364928,0.5512920288724443,0.5830253366837116,0.5781916537955157,0.5717026760382736,0.5726743705247557,0.5896360335338792,0.5763073736449985,0.5823030738408761,0.5677616486759036


External Fragmentation (Horizontal),0,all, ,0.2496798394398009,0.25813403406623336,0.2522049156770385,0.2543865981585937,0.2638893632792703,0.2669921289869203,0.2580582849832592,0.27224337763288964,0.2632441319014388,0.26539924231538065
External Fragmentation (Horizontal),1,all, ,0.3819285112278515,0.373541960360879,0.3591168511682306,0.37216390160739604,0.36467906629759744,0.37819903080152534,0.40018722777150634,0.37575621244294155,0.3778580909548422,0.35127095392383106
External Fragmentation (Horizontal),2,all, ,0.517199576138079,0.5166960426048125,0.5294189848931137,0.5261648288689923,0.5356904915180724,0.4948400421270634,0.5262435633923616,0.5266706105788478,0.5569463244140084,0.5100403460633212
External Fragmentation (Horizontal),3,all, ,0.7112738321830655,0.6742192664446655,0.687100298433999,0.7018963169893804,0.6651295120458429,0.6600214639041766,0.6912874987409253,0.6774549730525384,0.6851613922527382,0.6817354411804191
External Fragmentation (Horizontal),4,all, ,0.7703408949472191,0.7506618700211553,0.7815098634898531,0.7736037234203793,0.7707035248132564,0.775995536354713,0.7995422790720519,0.7745680194037767,0.7818122534151851,0.7710902669834743


