Metrics,LoadPoint, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Rate of requests by circuit,0, ,2.609873212277814,2.5948431399762644,2.5831992308318945,2.589211350250672,2.6066060096296555,2.6066768862042413,2.582631610480097,2.5952156702948748,2.6023107464748514,2.602047889238351
Rate of requests by circuit,1, ,2.804123301470048,2.7941751683966585,2.8324019522103097,2.8164239836826632,2.8141077815523876,2.8102881885016395,2.8189695700162014,2.807091162280307,2.8143038757223593,2.810385826629643
Rate of requests by circuit,2, ,3.0178520599937806,2.9991069409995874,3.004331996542627,2.9791095107882644,3.052125407867829,3.009292463596628,2.9773586549482722,2.988712905272246,2.9728108420362456,3.0060271382102695
Rate of requests by circuit,3, ,3.1500366112093467,3.1578963819343016,3.161662287425199,3.111856159939485,3.1346582882284553,3.157173961176432,3.141692751448904,3.117153207024872,3.1647818800223564,3.1086405201745233
Rate of requests by circuit,4, ,3.268377581645915,3.2428897539836017,3.2223146179350453,3.2473173717260972,3.212466981561661,3.241459040768223,3.230427067702603,3.254724469115135,3.1954099911752456,3.249527414520714


Maximum requests by circuit,0, ,30,27,34,33,33,27,31,29,25,26
Maximum requests by circuit,1, ,35,34,28,27,28,29,30,28,32,32
Maximum requests by circuit,2, ,30,38,35,34,34,37,40,33,33,39
Maximum requests by circuit,3, ,30,34,32,31,28,31,30,40,33,29
Maximum requests by circuit,4, ,31,31,27,30,31,44,32,32,41,35


Virtual hops,0, ,1.5231665761272162,1.5273639704429605,1.5235969261768831,1.5115716275348432,1.521243185589002,1.5256353274664929,1.5235964600371381,1.5143754506217346,1.5203342783479696,1.520979020979021
Virtual hops,1, ,1.474727315839393,1.4694125550791362,1.4831428486758271,1.4801853516840722,1.4797557650127453,1.4842342342342343,1.4705556982280081,1.4811375737160808,1.4769356926208048,1.4819571080005136
Virtual hops,2, ,1.4407565142636931,1.4454488870446665,1.424934048670599,1.4400541459173188,1.4444685959313528,1.443546474865634,1.4345527491205186,1.4419843104708834,1.4234876851184066,1.4391811073437393
Virtual hops,3, ,1.3971684495679513,1.410249562301552,1.4044186000514252,1.3929563953200874,1.4044709211997664,1.3999940634615955,1.396486229819563,1.3931396590594471,1.3951545943381307,1.3992619634147547
Virtual hops,4, ,1.3770896298865383,1.384821057218118,1.3695096329184175,1.3722269582284252,1.3729750069315165,1.3716970285646322,1.377801134335462,1.3706543815326695,1.3772513257669623,1.3780171217946178


Maximum virtual hops,0, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,1, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,2, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,3, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,4, ,3,3,3,3,3,3,3,3,3,3


