Metrics,LoadPoint,Link,Number of slots,Slot, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Requisitons per number of slots,0,all,2,-, ,0.03556748486145148,0.0351355894942389,0.03566798890358041,0.03525953026492013,0.03627972191388678,0.03631232483025121,0.03529183005476877,0.03593646073790054,0.036940805071809496,0.03469029996104402
Requisitons per number of slots,0,all,3,-, ,0.05465437429493912,0.058535607598701654,0.05703118923543595,0.05781857380851272,0.05594827754084633,0.05670159813065964,0.0548011796350909,0.05870730466763176,0.05773340521861136,0.05605765485001948
Requisitons per number of slots,0,all,4,-, ,0.07923911775002918,0.08064244979244527,0.07922402841513054,0.0800052265377454,0.08121231004913894,0.07803589806657907,0.07880221667692906,0.08095647977881242,0.0781167789332831,0.07885988832619141
Requisitons per number of slots,0,all,5,-, ,0.08052929811594767,0.08062305215378449,0.07895180316818336,0.07958710351811323,0.08023212790403303,0.07863786708782922,0.07921055190070324,0.07948276536640714,0.07898719705876621,0.07976236852356837
Requisitons per number of slots,0,all,6,-, ,0.09310045253562584,0.09062576782319699,0.09032044800497784,0.09207199555744291,0.09048833842898224,0.08908494235984801,0.0922578345270117,0.09071168668570757,0.08778881317839024,0.09085183742371121
Requisitons per number of slots,0,all,7,-, ,0.08104796358968375,0.07878674236056331,0.07908143423815821,0.07911018194884527,0.07811597307420173,0.07880615950237227,0.0802151861814175,0.07969795375405923,0.0773567869878986,0.07607453577457474
Requisitons per number of slots,0,all,8,-, ,0.07274931600990651,0.07182945596089436,0.07248321277643825,0.07309966354163264,0.07124820678597625,0.07068281410808257,0.07289755971092458,0.07124691889354044,0.07058181605596658,0.07182833398259966
Requisitons per number of slots,0,all,9,-, ,0.0612543924482307,0.060934448913085644,0.06143216406108216,0.06117009113775194,0.061050417713384354,0.05946547740027056,0.06217065819749165,0.06078745908160205,0.06118259943227952,0.06001817945721335
Requisitons per number of slots,0,all,10,-, ,0.06626599758820555,0.06480751076568946,0.06599517772419694,0.06604383758533956,0.06545799173011886,0.06549811318312157,0.06656512298668049,0.06493472618907886,0.0668987781667955,0.06493961823139852
Requisitons per number of slots,0,all,11,-, ,0.05345496038692445,0.051649445874122256,0.05453579113842005,0.05318655473164995,0.05366334962642727,0.052824399810994675,0.05432154778494345,0.054631767022705634,0.05461548954523901,0.05481755616153746
Requisitons per number of slots,0,all,12,-, ,0.04380778257543341,0.042396772232926844,0.044878276425293614,0.04439943814719237,0.04517276521716552,0.045328914578654046,0.04386038824253816,0.04301159408949229,0.044975933588396154,0.04440981690689521
Requisitons per number of slots,0,all,13,-, ,0.03715589787476822,0.03583390448602723,0.03725596951077234,0.035952046516185936,0.035877263019869786,0.03755509958379991,0.03613442654827106,0.037325403967291365,0.03731105755802246,0.038008050902480196
Requisitons per number of slots,0,all,14,-, ,0.03336315659807316,0.03307297391664188,0.032641103419667625,0.033678502596935944,0.03270303077512285,0.033406044286796166,0.032439964999837964,0.03202394459877147,0.03402425478567578,0.03385923905986236
Requisitons per number of slots,0,all,15,-, ,0.02805331881070007,0.028818425170375927,0.028259573254517643,0.02792277790481168,0.027743698597236015,0.02846730919847501,0.027935314515344978,0.02925257900022171,0.028249615132284068,0.029301389429944164
Requisitons per number of slots,0,all,16,-, ,0.023735428741847225,0.023555199213749045,0.023534520753934304,0.023780746741580375,0.023128403861008874,0.02327613548833928,0.022918624623262145,0.023253387586890464,0.023715646090588443,0.02371120633683937
Requisitons per number of slots,0,all,17,-, ,0.018723823601872382,0.02024466888230806,0.020254854683570557,0.019351256002351942,0.018707847299306083,0.020628766351873547,0.01928249667822536,0.019836456825384405,0.02017551266978025,0.02022464614985067
Requisitons per number of slots,0,all,18,-, ,0.021920099583770957,0.022533590244280928,0.022704881906095254,0.022062522457779375,0.021752254094370118,0.022881295592680574,0.02267232718669994,0.02164273510961566,0.022578906001338106,0.02280872613946241
Requisitons per number of slots,0,all,19,-, ,0.014347583667224231,0.014153810342820934,0.014538124497679604,0.014105118740404403,0.013605707126768061,0.01447314765070262,0.014369510969958194,0.013908994874603857,0.01443335130465284,0.014355278535255162
Requisitons per number of slots,0,all,20,-, ,0.015423814525226592,0.01562803088104075,0.015853879857924347,0.01522229118348414,0.015293437972645778,0.015599412271106134,0.0159509997731471,0.015271854663067151,0.016044274402561887,0.015673289183222958
Requisitons per number of slots,0,all,21,-, ,0.010956808132674628,0.01052645191325376,0.011083456482849809,0.011152124914252114,0.011216918852602675,0.011456829759277119,0.011141718248695595,0.010615960457503553,0.011711670748104893,0.01101804960394754
