Metrics,LoadPoint,Node, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Tx Utilization,0,all, ,277.6433832967988,279.1182830736418,281.293569919229,279.8002251318206,277.23769180638664,277.54808736694514,283.06682860359024,281.4424728953137,278.5655153346367,277.74905701364617
Tx Utilization,1,all, ,322.6826233781622,323.48170310247446,320.816794043881,322.9481308134368,320.49670201631216,323.70641033236564,324.6622134012678,323.0656831960819,320.52095305804056,322.1013488160831
Tx Utilization,2,all, ,361.2957718664218,362.08170902699607,363.59105989691335,364.22235716965855,356.6365404743567,361.26512234137095,366.49394711377056,362.457570551178,366.9607994154472,359.9575508027727
Tx Utilization,3,all, ,403.2915259592788,399.7344431937121,403.7847720046606,406.65834271382585,400.68259375555425,400.106868495369,401.78074332997613,404.4552797361613,403.04056322451964,407.33009459486146
Tx Utilization,4,all, ,440.9789876967435,444.5975472480597,448.13316349704763,446.60397535399017,448.024636135632,449.1475304619152,445.7475363864368,443.9557240752809,453.70376404605327,445.5956711495547


Rx Utilization,0,all, ,277.6433832967988,279.1182830736418,281.293569919229,279.8002251318206,277.23769180638664,277.54808736694514,283.06682860359024,281.4424728953137,278.5655153346367,277.74905701364617
Rx Utilization,1,all, ,322.6826233781622,323.48170310247446,320.816794043881,322.9481308134368,320.49670201631216,323.70641033236564,324.6622134012678,323.0656831960819,320.52095305804056,322.1013488160831
Rx Utilization,2,all, ,361.2957718664218,362.08170902699607,363.59105989691335,364.22235716965855,356.6365404743567,361.26512234137095,366.49394711377056,362.457570551178,366.9607994154472,359.9575508027727
Rx Utilization,3,all, ,403.2915259592788,399.7344431937121,403.7847720046606,406.65834271382585,400.68259375555425,400.106868495369,401.78074332997613,404.4552797361613,403.04056322451964,407.33009459486146
Rx Utilization,4,all, ,440.9789876967435,444.5975472480597,448.13316349704763,446.60397535399017,448.024636135632,449.1475304619152,445.7475363864368,443.9557240752809,453.70376404605327,445.5956711495547


Regenerators Utilization,0,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regenerators Utilization,1,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regenerators Utilization,2,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regenerators Utilization,3,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regenerators Utilization,4,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Tx Utilization Per Node,0,11, ,21.62047514663191,21.003534964551612,21.814838951754645,21.239755514742185,20.779894148547505,21.049647490965103,21.022730414519028,20.73919268519067,20.735529356004502,21.61676244643245
Tx Utilization Per Node,0,12, ,16.614896222130064,17.501342891561507,16.529425123921243,16.727264648379645,16.344135711041332,16.46850129352055,17.12899658352588,17.216037679957342,16.08975650216245,16.921184114382765
Tx Utilization Per Node,0,13, ,17.13126765013725,18.550249817327252,18.504275529750974,17.818719513399294,18.805458459229417,18.04718881450323,18.55173094772597,18.146997254971662,18.196624997531448,17.780476726504336
Tx Utilization Per Node,0,14, ,21.66464245512175,22.723018741236647,21.279578174062443,21.536356814187254,20.72351245136955,22.23972589213421,21.7177459170172,22.23920255939333,21.456790489168,21.4180144953295
Tx Utilization Per Node,0,1, ,15.309714240575074,16.503880561644646,17.105071390485218,16.28459426901278,16.10802377708,16.89297351738847,16.587396567727158,15.342634832237296,16.75525801291546,17.008768291960426
Tx Utilization Per Node,0,2, ,17.25364851788218,16.889981633983055,15.845448979994865,17.351916582735946,15.985396054268618,15.405444635345695,16.887799435195607,17.001352765764164,16.28971898019235,16.08118569425519
