Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Bandwidth blocking probability,0,all,all,all, ,0.010706113995199626,0.01003570376976054,0.010337190032855794,0.010221855488807541,0.009355636565021676,0.012011616164812925,0.010751827346385327,0.011171446997957904,0.01101350055795201,0.010704693736764003
Bandwidth blocking probability,1,all,all,all, ,0.012112509848991712,0.010362379659694922,0.011720909898233177,0.010007438770627772,0.011265608180572281,0.011750494831294624,0.00891280839283958,0.01172156754351407,0.00915423192074418,0.009223509420262623
Bandwidth blocking probability,2,all,all,all, ,0.012058503359018305,0.0157572159113694,0.012174614147990336,0.013985613896236185,0.01544328953556395,0.013092942363155986,0.011667069229356385,0.01514901937925977,0.013306786486672577,0.01643463704013569
Bandwidth blocking probability,3,all,all,all, ,0.029926375257866695,0.023470107670623453,0.02649456749428584,0.020933955642526595,0.02612420722365438,0.025378465465200555,0.02763935803603017,0.027862689887424005,0.027288327290900947,0.02233744659339576
Bandwidth blocking probability,4,all,all,all, ,0.04469613448776007,0.03545678787734334,0.042039846244147035,0.0463438406024836,0.03750053916549178,0.03827032316068231,0.04624858385510829,0.034420475231238534,0.04181413645647881,0.041533971304358444


General requested bandwidth,0,all,all,all, ,8.759140742372812E15,8.762393328469171E15,8.843065638831386E15,8.806349407778035E15,8.750937288389193E15,8.774455299942857E15,8.851268782202933E15,8.700672431838514E15,8.739093821333139E15,8.771189748883426E15
General requested bandwidth,1,all,all,all, ,8.814183375319887E15,8.820566787765197E15,8.838186341552841E15,8.855084640732376E15,8.860316795382348E15,8.698958276548183E15,8.774586572437891E15,8.764135336162304E15,8.864398307136975E15,8.837894496877628E15
General requested bandwidth,2,all,all,all, ,8.838364982235464E15,8.782683145607914E15,8.838426235306401E15,8.786251171505877E15,8.721592425009208E15,8.828497792229618E15,8.752933281019145E15,8.83597894997792E15,8.847255592090522E15,8.817091438820185E15
General requested bandwidth,3,all,all,all, ,8.803056343830365E15,8.775865120200004E15,8.847620316411563E15,8.737579409992207E15,8.782646397599524E15,8.755572869036909E15,8.759800321701531E15,8.855476104171068E15,8.782781825929089E15,8.923769873786837E15
General requested bandwidth,4,all,all,all, ,8.85731012044889E15,8.815126560522881E15,8.801444700480071E15,8.766774929527796E15,8.946904980083387E15,8.744551820896562E15,8.694747371705469E15,8.890525969089276E15,8.798457029422015E15,8.877891638431963E15


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.371548647942035E-5,0.0,0.0
Blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,1,all,all,all, ,0.0,1.94063892372171E-5,3.0761205858256916E-4,0.0,0.0,6.666076919551036E-5,1.3102186612184153E-4,0.0,1.541277042435578E-5,3.614200273576944E-5
Blocking probability by fragmentation,2,all,all,all, ,0.0028224290001245276,0.0029124294964965537,0.002005359288513073,0.0029624750620656707,0.002498315923895494,0.003266256745589415,0.0018549354063487058,0.0029433160468716802,0.0027497367597786237,0.003351837994079089
Blocking probability by fragmentation,3,all,all,all, ,0.011781725472916423,0.010132518974757027,0.008041819610128278,0.008675279459539921,0.011531681867787032,0.007864314904236419,0.010907592830179993,0.007967624760925378,0.007431538143657594,0.010154594937480853
Blocking probability by fragmentation,4,all,all,all, ,0.01979651585994597,0.014597374185386138,0.015559190305263423,0.017703089804971175,0.015505544774706264,0.01643840837121691,0.017075766626772154,0.013923215106229991,0.015994694012637787,0.015953673285793554


Blocking probability by QoTN,0,all,all,all, ,0.005276717952156193,0.0056895274119747935,0.005989291348986963,0.005912884156099356,0.005786096119713176,0.006362537439174992,0.0062538158993767495,0.004897275535051916,0.005960785482386812,0.005446785579894271
Blocking probability by QoTN,1,all,all,all, ,0.0038347041703560114,0.0036632094783547436,0.0031766951796557814,0.004169392780510999,0.0033570613011882897,0.003161763812609212,0.0028362926026727535,0.00395550871377179,0.0037309001491219506,0.0032068515402498225
Blocking probability by QoTN,2,all,all,all, ,0.002818696376354317,0.0025877754898554883,0.0027951866099270722,0.0036915622309866506,0.0031094449211687475,0.003094433674515901,0.0033282343180488414,0.002891710797045282,0.0023013581980382003,0.0037551873115003755
Blocking probability by QoTN,3,all,all,all, ,0.002578589324683905,0.0020995282238336576,0.0038934925595019644,0.0016817682456480346,0.0029518491463504364,0.0031330543184174982,0.0022703997469172388,0.002080429437122418,0.004542490498489694,0.0021347597052844567
Blocking probability by QoTN,4,all,all,all, ,0.00170269272156202,0.0019983050333784442,0.003008240088506953,0.0017609771093762474,0.002292001693887669,0.0015578492274036621,0.0024828087097369263,0.001877774832311754,0.0019886187606335563,0.0021042436348794936


Blocking probability by QoTO,0,all,all,all, ,0.005429396043043431,0.004346176357785746,0.004347898683868818,0.004308971332708182,0.003569540445308494,0.005649078725637929,0.004498011447008574,0.006274171462905982,0.005052715075565193,0.0052579081568697355
