Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Blocking probability,0,all,all,all, ,0.0038075051028418905,0.004101899827288429,0.004003768252472915,0.003905636677657403,0.00333647354372743,0.004180405087140839,0.004023394567436018,0.003905636677657403,0.003836944575286544,0.0037584393154341342
Blocking probability,1,all,all,all, ,0.004141152457214634,0.00349348406343225,0.004278536661956351,0.0035032972209138014,0.0035131103783953527,0.0034542314335060447,0.00333647354372743,0.004033207724917569,0.0029635735594284816,0.003051891976762443
Blocking probability,2,all,all,all, ,0.004033207724917569,0.005887894488930758,0.003640681425655519,0.004229470874548595,0.005083215575443555,0.0038173182603234417,0.0038860103626943004,0.0049360182132202855,0.0041705919296592875,0.004739755063589261
Blocking probability,3,all,all,all, ,0.008822028575914586,0.006859397079604333,0.007752394410425498,0.006584628670120898,0.007801460197833255,0.008596325953838907,0.007968283875019626,0.008733710158580625,0.007978097032501177,0.006820144449678128
Blocking probability,4,all,all,all, ,0.014935625686921025,0.012452896844088554,0.013453838907206783,0.01668236771863715,0.011707096875490658,0.011550086355785838,0.015504788820850997,0.011893546867640131,0.012364578426754593,0.013022059978018528


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.813157481551263E-6,0.0,0.0
Blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,1,all,all,all, ,0.0,9.813157481551263E-6,3.925262992620505E-5,0.0,0.0,1.9626314963102526E-5,2.9439472444653793E-5,0.0,9.813157481551263E-6,9.813157481551263E-6
Blocking probability by fragmentation,2,all,all,all, ,6.869210237085884E-4,7.556131260794474E-4,4.906578740775632E-4,6.574815512639347E-4,5.691631339299733E-4,6.182289213377296E-4,5.102841890406657E-4,6.378552363008322E-4,6.280420788192808E-4,6.476683937823834E-4
Blocking probability by fragmentation,3,all,all,all, ,0.0027182446223897,0.0023649709530538547,0.001933192023865599,0.002119642016015073,0.002943947244465379,0.0021294551734966243,0.0026986183074265975,0.002119642016015073,0.0019233788663840477,0.0025121683152771234
Blocking probability by fragmentation,4,all,all,all, ,0.00551499450463181,0.004386481394253415,0.004445360339142722,0.005161720835295965,0.004406107709216517,0.004357041921808761,0.004926205055738734,0.004062647197362223,0.004121526142251531,0.004141152457214634


Blocking probability by QoTN,0,all,all,all, ,0.0019430051813471502,0.0022472130632752393,0.0022668393782383418,0.0020902025435704194,0.001893939393939394,0.0019037525514209452,0.002080389386088868,0.0020509499136442144,0.002080389386088868,0.0019626314963102527
Blocking probability by QoTN,1,all,all,all, ,0.0011088867954152928,0.0011775788977861517,0.001118699952896844,0.0013247762600094206,0.0010892604804521903,9.224368032658188E-4,0.001040194693044434,0.0012560841576385617,9.715025906735751E-4,9.813157481551264E-4
