Metrics,LoadPoint, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Total consumed energy (Joule),0, ,9.951850936657174E11,9.63460307314674E11,9.090825843678547E11,8.709308392875303E11,8.989956722713396E11,9.925096817731665E11,9.381927159022139E11,9.544824827642686E11,9.389959590635059E11,9.057504084467E11
Total consumed energy (Joule),1, ,5.918792716352052E11,5.914989659156141E11,5.923722005612056E11,6.273488591818015E11,6.037814066903564E11,6.072608447379093E11,6.053337424575532E11,5.968023005205802E11,6.059604893688772E11,6.407701360616481E11
Total consumed energy (Joule),2, ,4.760189189622094E11,4.6037036719634686E11,4.841887542266189E11,4.829140351075949E11,4.982572086254716E11,4.7872986057608734E11,4.8710353818906055E11,4.909894862705372E11,4.8013728310561316E11,5.177030393120162E11
Total consumed energy (Joule),3, ,4.0537086573346497E11,4.0958794304844275E11,4.099497639347142E11,4.5782406394781305E11,4.09405068197268E11,4.185932708255363E11,4.128590756925849E11,4.0647261007136084E11,4.1289388221343976E11,4.1621338701212445E11
Total consumed energy (Joule),4, ,3.610607161896036E11,3.6373386919858594E11,3.7291155380872473E11,3.5640698650519354E11,3.6180516058989105E11,3.8393022832310016E11,3.6610020140854816E11,3.682176703898056E11,3.855719505483874E11,3.76599362676184E11


Average power consumption (Watt),0, ,527383.6626563587,532787.7355944376,540008.9887206418,545624.942355037,539621.1262043414,527719.127741347,534554.2997851213,532967.2092370918,533695.2510400807,538652.6332941351
Average power consumption (Watt),1, ,628489.3386879046,628932.0810715292,632451.1075452765,612789.7918186643,621780.109799877,616888.501505522,622026.499628925,627352.5221467051,620757.0397425696,605220.7317973468
Average power consumption (Watt),2, ,709306.1266992273,725470.7087960399,701690.7605296155,698320.2798689512,687584.4832362515,706110.9949048958,693236.0239436071,689847.8271284595,706034.2534608316,674379.2192170912
Average power consumption (Watt),3, ,804935.656615424,787949.0187327822,800012.6910008412,724104.6158647517,788128.025302313,781150.85679597,781174.2225701057,799311.3496813129,777160.9227040799,793640.6444142766
Average power consumption (Watt),4, ,889513.648757814,894438.4808793067,850946.9523293267,886398.8195493969,897384.6447140687,825362.6721533482,856135.0394778317,873035.3601786442,820806.8690441296,848915.3170037061


Energy efficiency (bits/Joule),0, ,3.1346240993421145E7,3.241238203989448E7,3.465686398751957E7,3.602903287012018E7,3.471500595704525E7,3.1444142311250325E7,3.359860373264948E7,3.2449525843167994E7,3.313565367735206E7,3.448882646342218E7
Energy efficiency (bits/Joule),1, ,5.296133666913147E7,5.312772265727211E7,5.308240510107808E7,5.030579726459325E7,5.223380420028308E7,5.096371457568931E7,5.171852667889853E7,5.2246885321141385E7,5.2181134136380516E7,4.919542806907E7
Energy efficiency (bits/Joule),2, ,6.603610455400395E7,6.759655976365852E7,6.491468095449874E7,6.4583196864725865E7,6.204194925348173E7,6.55201753414602E7,6.393491626990247E7,6.38051159894015E7,6.545273297688912E7,6.030458834097854E7
