Metrics,LoadPoint, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Rate of requests by circuit,0, ,1.0388940524260872,1.0359390024166357,1.0315640012410376,1.0303313269082468,1.0378752517956586,1.0276525874079476,1.0154241155603494,1.0195691051265265,1.0372504086884866,1.0315949423481012
Rate of requests by circuit,1, ,1.2193109013298722,1.201346368003818,1.1888955867514526,1.211516629952138,1.2157666999322152,1.2353740632388142,1.2105144776337355,1.2277047938380938,1.195512625039312,1.2152061406541537
Rate of requests by circuit,2, ,1.3640625193078237,1.378075841241133,1.37432977248241,1.3579162282886192,1.374936927058525,1.3750621397023532,1.3490547370548551,1.393110693706056,1.3851617232088818,1.3840489331542256
Rate of requests by circuit,3, ,1.5271472457308186,1.5176262758200694,1.5026619072578662,1.5218057444058983,1.5580317864815618,1.5417323305380666,1.5382768999599403,1.5304066936081726,1.5682847774827622,1.528397576276981
Rate of requests by circuit,4, ,1.6428461869654725,1.6656927933074102,1.6755969303277543,1.6873299020858519,1.7050326603664956,1.6677546600666986,1.7067524309376172,1.7047039997704696,1.7121406812469984,1.6877417078373418


Maximum requests by circuit,0, ,31,29,27,30,36,25,25,30,29,27
Maximum requests by circuit,1, ,42,35,32,36,41,35,36,38,37,33
Maximum requests by circuit,2, ,40,36,41,44,35,40,39,47,42,37
Maximum requests by circuit,3, ,34,52,42,43,39,43,41,34,42,42
Maximum requests by circuit,4, ,47,40,36,42,46,37,43,48,38,43


Virtual hops,0, ,1.4879132353520628,1.4829533137575626,1.4647572318120912,1.467923078438713,1.4679315505494073,1.461784820355151,1.4468145900250262,1.4575985656020334,1.461704412242767,1.4744535613321381
Virtual hops,1, ,1.7688161447350268,1.7485327135935715,1.7729924705325817,1.762848730144662,1.7658795028853917,1.766690956357334,1.7482572565082115,1.7746445567674618,1.7439715753626897,1.7405529908556692
Virtual hops,2, ,1.8815780398648183,1.8939133696596384,1.8730068056690927,1.8658855064894109,1.9050953780600872,1.8835541545584396,1.8684537179335619,1.8679697438881273,1.8857497610343026,1.8998826672976996
Virtual hops,3, ,1.9691797435770506,1.9488760436737316,1.9584825048954646,1.9470429602995072,1.9586386968519123,1.9717306093360256,1.953606615755945,1.9762508167184747,1.961717660325845,1.9659022418954837
Virtual hops,4, ,1.9929668665697038,2.024077110349282,1.9761471357663654,2.00523931180392,2.0116571178917892,1.97345299671389,1.9947171165424027,1.9979541572319548,1.9932435117841103,1.999990057368981


Maximum virtual hops,0, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,1, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,2, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,3, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,4, ,3,3,3,3,3,3,3,3,3,3


