Metrics,LoadPoint,Link,Number of slots,Slot, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Requisitons per number of slots,0,all,2,-, ,0.21920295836497508,0.2248123140534201,0.23215830957571693,0.2278164135447554,0.22553185793922198,0.23140523644674488,0.23852145626914223,0.23814145989632834,0.2293225249205165,0.23056419961218358
Requisitons per number of slots,0,all,3,-, ,0.15328688876415625,0.15326967803494637,0.1536743250041925,0.1561770001539481,0.154334165389583,0.1589217893993883,0.16112405180200065,0.1593159558620318,0.15398627439118656,0.15417369111953674
Requisitons per number of slots,0,all,4,-, ,0.09423845214118269,0.09269333474691387,0.09148415227234613,0.09453082643355801,0.09205709735058121,0.09839680032265653,0.09639871513653372,0.09369544262670793,0.09019109650272562,0.09319588728002079
Requisitons per number of slots,0,all,5,-, ,0.11346782447914947,0.10958341339941823,0.10752976689585779,0.11080916459729186,0.11283619645450348,0.11233152959365442,0.11271077669045793,0.1105336595822127,0.10914614883076902,0.10978803366406567
Requisitons per number of slots,0,all,6,-, ,0.09367715521510879,0.09177229868073179,0.08900218011068255,0.09245587378933207,0.09474064605933252,0.09263603670218129,0.0933834964313121,0.09388418164782647,0.0890282510939485,0.09250288196920124
Requisitons per number of slots,0,all,7,-, ,0.044183973321887275,0.042453799108119035,0.040603722958242494,0.042429434876607254,0.04344538208781428,0.04148153127415723,0.038668142584531384,0.042088801709436276,0.041284372836468984,0.04204676453145511
Requisitons per number of slots,0,all,8,-, ,0.03746161719549642,0.03772272176096795,0.036243501593157805,0.03742946834358538,0.039369867964049815,0.03685678755083521,0.03420643382477776,0.034525759506043016,0.035779341681622334,0.03656269365833505
Requisitons per number of slots,0,all,9,-, ,0.05284775646316902,0.052565317359873305,0.05348985410028509,0.05183365573188935,0.05358397633658794,0.0525661277854334,0.05218908952618962,0.05290759202712449,0.05338334240756051,0.05410772234475682
Requisitons per number of slots,0,all,10,-, ,0.029781754548155976,0.029830966690299967,0.029783665939963105,0.027476389046927396,0.029070662321236174,0.02836688737270191,0.027109804214515153,0.02660546129838965,0.029783630094170312,0.029186185205669315
Requisitons per number of slots,0,all,11,-, ,0.047049889391488096,0.04792700623521538,0.04890155961764213,0.0457560525029953,0.047105983443642134,0.04863375121836454,0.045302981942642935,0.046281504249998315,0.04930330100219798,0.04884354738756989
