Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Bandwidth blocking probability,0,all,all,all, ,0.02062225263992109,0.01925039729680062,0.021257798227165847,0.020043901982780905,0.021215857180151957,0.022143234012850323,0.02179536069509642,0.018560309521450886,0.021698329348830855,0.02004393540442458
Bandwidth blocking probability,1,all,all,all, ,0.03291837753025012,0.030518534725185818,0.029282805208432468,0.029461729502190517,0.028209903748627977,0.029884257588563987,0.030401770255525748,0.029127274264771644,0.025975920844455665,0.03534901471284012
Bandwidth blocking probability,2,all,all,all, ,0.03988321148665781,0.03737297984930581,0.04012493335215443,0.03806783604894649,0.035551542069536916,0.040250124934017244,0.03961093484120925,0.045176865786893734,0.04300745864145616,0.04078384624901024
Bandwidth blocking probability,3,all,all,all, ,0.045621346265979,0.04479784048001993,0.045610983376968436,0.04274010200536677,0.04771331753012212,0.04494137470327474,0.04579453307071714,0.04313057564655983,0.04407774856639146,0.04363544329258085
Bandwidth blocking probability,4,all,all,all, ,0.05902611355165724,0.06350494273931558,0.05846173415351767,0.06336719163086253,0.057612786130533694,0.05860733908452366,0.060291443429813824,0.06148046569396531,0.06010426142643262,0.06286850862205685


General requested bandwidth,0,all,all,all, ,8.781667314734919E15,8.769804379829763E15,8.737400917259971E15,8.81150729529601E15,8.777348019988359E15,8.825569992248516E15,8.845518328706955E15,8.755473719271686E15,8.873536419046445E15,8.784884178938149E15
General requested bandwidth,1,all,all,all, ,8.789865575836756E15,8.852983886660859E15,8.836333527778477E15,8.756419237735756E15,8.834389577751966E15,8.738457294652955E15,8.782335952239116E15,8.81810541549297E15,8.732319433595753E15,8.872445977547104E15
General requested bandwidth,2,all,all,all, ,8.762021913450439E15,8.862542647672608E15,8.843410834892857E15,8.820212658619341E15,8.819054971776711E15,8.769197545687295E15,8.808086075051258E15,8.851388415630809E15,8.799244853710767E15,8.723710403208671E15
General requested bandwidth,3,all,all,all, ,8.804224687990158E15,8.820364353489696E15,8.824489107150204E15,8.723565229619379E15,8.848731089955388E15,8.867593659974211E15,8.800029677947691E15,8.850405269319798E15,8.815155352525198E15,8.841670377183831E15
General requested bandwidth,4,all,all,all, ,8.770548970666936E15,8.827164150889433E15,8.795800762004715E15,8.688954421500964E15,8.782638554150388E15,8.87092986025188E15,8.899747520517238E15,8.74120389028668E15,8.786322250436975E15,8.719930081164279E15


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,2,all,all,all, ,2.0425611805135018E-4,4.9485194864499006E-5,3.445608817398999E-4,7.369361566480137E-5,0.0,0.0,0.0,0.0,0.0,4.6380236841809565E-5
Blocking probability by fragmentation,3,all,all,all, ,0.0012189943590782653,0.001222171636931326,0.002384532644603334,0.0019627607622997667,0.0029780152555500413,0.0025934207849134133,0.0026676655193393402,0.0024131587576845972,0.0014939270135790389,0.002044821296114574
Blocking probability by fragmentation,4,all,all,all, ,0.010536354074569177,0.010117930088668922,0.010549078767366568,0.01038751108609974,0.012958208426599721,0.010911751478026975,0.010229665137556795,0.010567453193815555,0.012454373374523691,0.008876445776676909


Blocking probability by QoTN,0,all,all,all, ,0.008018319245845324,0.007704361568368724,0.00839391868951396,0.007288974924669924,0.00794513186244645,0.008235138463405718,0.007450524845146772,0.006709071661276004,0.00859921254652945,0.006907548875105583
Blocking probability by QoTN,1,all,all,all, ,0.007701540869431814,0.006914928639879697,0.006521406373860251,0.007663866841208751,0.008553777039180654,0.007949026227251835,0.007657852060067322,0.006905978171075638,0.007022633864141138,0.008549549775530595
Blocking probability by QoTN,2,all,all,all, ,0.008375201888040286,0.006649035726929926,0.006728799782116323,0.008701336731687687,0.006305439170548354,0.009646059234210424,0.006800383143733756,0.00916099165273177,0.008118938006301632,0.00851607716196233
