Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Blocking probability,0,all,all,all, ,0.00954820222954938,0.009106610142879572,0.010009420631182289,0.009440257497252316,0.009410818024807662,0.010176244308368661,0.010205683780813315,0.009116423300361123,0.009577641701994034,0.010009420631182289
Blocking probability,1,all,all,all, ,0.013895430993876589,0.012688412623645784,0.012570654733867169,0.013090752080389387,0.01297299419061077,0.012786544198461296,0.012914115245721463,0.012776731040979745,0.011383262678599466,0.014160386245878474
Blocking probability,2,all,all,all, ,0.016289841419375096,0.01583843617522374,0.01615245721463338,0.016407599309153715,0.01537721777359083,0.016289841419375096,0.01708470717538075,0.018301538703093107,0.017349662427382635,0.016113204584707174
Blocking probability,3,all,all,all, ,0.018576307112576542,0.017653870309310725,0.018929580781912387,0.018262286073166902,0.018674438687392055,0.01762443083686607,0.019214162348877375,0.017516486104569007,0.018370230805463968,0.017869759773904852
Blocking probability,4,all,all,all, ,0.02275671219971738,0.026034306798555503,0.022658580624901867,0.025661406814256556,0.022560449050086355,0.023109985869053228,0.023865598995132672,0.024729156853509186,0.023021667451719265,0.025720285759145863


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
