Metrics,LoadPoint, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Total consumed energy (Joule),0, ,1.2958727866747344E12,1.254565620655302E12,1.315245164154546E12,1.328683421710852E12,1.3934108291319402E12,1.287922457250244E12,1.2906496903422363E12,1.2685842845915967E12,1.366468217256488E12,1.213244611190785E12
Total consumed energy (Joule),1, ,8.55814777320023E11,8.989931015077888E11,8.402193184298668E11,8.062234245768119E11,8.085069949369333E11,8.954795355198457E11,8.318204633885895E11,8.893303022779178E11,8.327161058921263E11,8.408387931571077E11
Total consumed energy (Joule),2, ,6.743239880477994E11,6.980867492486664E11,6.631599714650292E11,6.808849265073384E11,6.704005403978738E11,6.65242760694777E11,6.327334379495099E11,6.377873611934031E11,6.767717588461399E11,6.772868607020197E11
Total consumed energy (Joule),3, ,5.661544500391312E11,5.594181322106038E11,5.4122972304581433E11,5.49429878414548E11,5.971172638381282E11,5.990257304980107E11,5.586510205964872E11,5.69267464034313E11,5.876531906826432E11,5.620271011352089E11
Total consumed energy (Joule),4, ,4.9287714002615155E11,5.002706959384747E11,5.038229273837768E11,4.921346728170024E11,4.7873466453759326E11,4.9740764662097125E11,4.768666994061114E11,5.091712229377638E11,4.9893358474090076E11,4.851754458952369E11


Average power consumption (Watt),0, ,746571.2477559609,752464.4188895611,742115.0742792551,743395.2134135249,733617.2083240865,748549.2541621843,748774.9500100745,747840.9101950567,738363.1425557022,760046.9741566229
Average power consumption (Watt),1, ,848139.9290068864,830788.7001953478,857309.1117117757,872009.5510244182,871603.5966675038,833159.939214005,858915.7818894068,837202.8964956598,857932.712745307,860573.6347644344
Average power consumption (Watt),2, ,942159.0539209071,935081.4303488622,961179.0950638873,942377.4151508481,953659.0771576635,954203.8130310262,984869.512663001,978125.5858378346,939085.0589350793,940977.7235155174
Average power consumption (Watt),3, ,1052477.2056554814,1064415.498068489,1095734.1848215205,1070969.2526301523,1009489.4721900012,1012573.082070275,1071410.0109877782,1055547.5010956237,1024520.5068807607,1065530.6614640427
Average power consumption (Watt),4, ,1171484.5762873734,1154195.728073934,1133941.0718792232,1157217.2588171978,1197215.6880320197,1164157.0148759705,1214380.5384572714,1132299.2533809466,1153791.5678569926,1175108.868793946


Energy efficiency (bits/Joule),0, ,2.3892816261251062E7,2.4680682517441303E7,2.3407032909565322E7,2.3395795112931296E7,2.219594104057615E7,2.4122970925237272E7,2.413499005299604E7,2.4385206625261668E7,2.2870333475270458E7,2.554446285163739E7
Energy efficiency (bits/Joule),1, ,3.575757707802866E7,3.4369667124204755E7,3.675146541177507E7,3.794777353925724E7,3.822678154506153E7,3.4080437060621E7,3.685316238487811E7,3.465588529601925E7,3.67709494341011E7,3.664403898307643E7
Energy efficiency (bits/Joule),2, ,4.491198913627408E7,4.399562504896507E7,4.608066190247305E7,4.485927843027636E7,4.5674017903372005E7,4.554495334064999E7,4.812940261847509E7,4.770467305593726E7,4.479342068322302E7,4.447823799597576E7
Energy efficiency (bits/Joule),3, ,5.3429290850817926E7,5.4218535537428916E7,5.6019066287788905E7,5.471597043362114E7,5.080325996674153E7,5.089707664603839E7,5.4111296723199666E7,5.355524042634782E7,5.1621895066242985E7,5.416304045391573E7
Energy efficiency (bits/Joule),4, ,6.027929634308889E7,5.948728236648842E7,5.917495446484673E7,5.9532678415165104E7,6.223891605523442E7,6.0440771189595155E7,6.313589953824819E7,5.80033687005896E7,5.958632077804491E7,6.063413996505972E7


Total data transmitted (bits),0, ,3.0962050389974823E19,3.096353578069021E19,3.07859868415121E19,3.1085605104295584E19,3.092806460871287E19,3.1068515990207775E19,3.1149817438312292E19,3.0934689901325836E19,3.1251583812014203E19,3.099168190051225E19
Total data transmitted (bits),1, ,3.0601862864536654E19,3.0898093645779116E19,3.0879291219580473E19,3.05943839378853E19,3.090662027310832E19,3.0518333949358227E19,3.065521461232424E19,3.082052894601765E19,3.061976182272095E19,3.081172951493199E19
Total data transmitted (bits),2, ,3.028523162553178E19,3.071276287159522E19,3.0558850432333685E19,3.054400649717095E19,3.061988628456275E19,3.0298450496048804E19,3.0453082385243886E19,3.042543754494026E19,3.0314922100519903E19,3.0124526181851714E19
Total data transmitted (bits),3, ,3.024923077762561E19,3.0330831881542726E19,3.03191837322251E19,3.0062588982678462E19,3.0335503585397817E19,3.048865851810639E19,3.0229331140214845E19,3.048725590325494E19,3.0335771344762286E19,3.0441096614983303E19
Total data transmitted (bits),4, ,2.9710287184370508E19,2.9759744148971713E19,2.981369878628077E19,2.92980952137671E19,2.9795926598886076E19,3.006370175737313E19,3.0107408026840244E19,2.9533646175789216E19,2.9729616627311165E19,2.9418195894022054E19


Total energy consumption by transponders (Joule),0, ,2.553506623161968E11,2.5510054552541125E11,2.5282655357744754E11,2.5725795433199542E11,2.548142338590181E11,2.565167188431302E11,2.573714491802559E11,2.517028531612991E11,2.5706419868472556E11,2.563411047575678E11
