Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Total energy consumption (Joule),0,all,all,all, ,1.7119288468425476E12,1.6801380329280781E12,1.7329123766483472E12,1.7419610424463398E12,1.8077436323579976E12,1.7071509308317332E12,1.701516400234516E12,1.6937957432370076E12,1.7826212616053933E12,1.6254523142229253E12
Total energy consumption (Joule),1,all,all,all, ,1.3751551338832993E12,1.4204291077575835E12,1.349323026383912E12,1.3113284825658179E12,1.3300251038087898E12,1.407163651041794E12,1.3399992813335146E12,1.4146559684920112E12,1.3595911970076833E12,1.3526278099631738E12
Total energy consumption (Joule),2,all,all,all, ,1.2457192466265884E12,1.2588541211151694E12,1.235347757050417E12,1.246342646909274E12,1.2401696390861602E12,1.2428581502919993E12,1.210640139372326E12,1.2227820931970708E12,1.2528381504403857E12,1.2638300283113977E12
Total energy consumption (Joule),3,all,all,all, ,1.212107715560986E12,1.154614604348464E12,1.1458815928584004E12,1.17185531362716E12,1.2265697596718376E12,1.2403798343010193E12,1.19359266631071E12,1.2197194353342625E12,1.2248137836465583E12,1.1688218537021528E12
Total energy consumption (Joule),4,all,all,all, ,1.1422946696905486E12,1.1630394473181921E12,1.1822995448273484E12,1.1458747095373118E12,1.1644914612445857E12,1.1441224058713555E12,1.1661045539911438E12,1.1654638483255479E12,1.172171990192774E12,1.1272868723901958E12


Average power consumption (Watt),0,all,all,all, ,804198.4263421783,802535.0714434326,802373.4382063856,805006.2987038105,802683.8783333312,804270.0656591135,804244.8065096098,802194.2484744322,803308.3369843508,803182.6637790243
Average power consumption (Watt),1,all,all,all, ,948061.0877113501,949271.3868536173,948407.1082783745,951228.768152315,952320.1604273296,946815.2601012556,949270.778127042,950141.7595220278,949524.003046731,947365.7145673459
Average power consumption (Watt),2,all,all,all, ,1086161.417708013,1090555.3317315376,1090201.7338700388,1088210.041766625,1090188.1003831006,1085527.3454480867,1089428.601122501,1088795.0664417031,1084685.9624172116,1082400.6759631762
Average power consumption (Watt),3,all,all,all, ,1222762.5611991514,1225465.552869503,1225718.0627780703,1219488.5530918648,1220865.0852759192,1227362.594905425,1225429.6818023475,1227008.3788203772,1222883.5491643867,1226337.2826410749
Average power consumption (Watt),4,all,all,all, ,1353673.746901447,1350428.1904094415,1342686.3955608795,1338343.3789057748,1349994.0841343992,1357642.9099766994,1352600.5863216775,1350279.2128894897,1351982.605673267,1335550.5604798163


Energy efficiency (bits/Joule),0,all,all,all, ,1.8086061489693746E7,1.842916187471108E7,1.7765460767875496E7,1.7845178133628186E7,1.7108656368696872E7,1.8199044635772787E7,1.8307092093863443E7,1.8263530313405234E7,1.7531252703599893E7,1.9066497140107334E7
Energy efficiency (bits/Joule),1,all,all,all, ,2.225338953440117E7,2.175264747605575E7,2.2885025020535473E7,2.333083155337451E7,2.3237621744582944E7,2.1687835616535414E7,2.2877038099466275E7,2.178658955425861E7,2.2521300439508446E7,2.277916311344424E7
Energy efficiency (bits/Joule),2,all,all,all, ,2.431144233144369E7,2.439739629591711E7,2.4737042875520043E7,2.450690953480176E7,2.469007893720534E7,2.437804385716136E7,2.515452890983173E7,2.4882141891193625E7,2.4196997904209647E7,2.38359000079315E7
