Metrics,LoadPoint, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Rate of requests by circuit,0, ,0.8946852913979468,0.8965115521516303,0.8988349240189363,0.8899527257458519,0.9001215232252542,0.8953278179223167,0.8913950921241308,0.8988911997265874,0.8891815719616433,0.8924543978911821
Rate of requests by circuit,1, ,0.9605948960344151,0.9622692029425944,0.9544046375992401,0.94958292309003,0.9556381509663812,0.9637782809633263,0.9576068333267347,0.9619319782759951,0.9608406325437603,0.9546109698360594
Rate of requests by circuit,2, ,1.0073366321446673,1.0075802309054345,1.0020532406405138,1.0070187494193312,0.9996736057250623,1.0083482538253745,1.0078287938503796,1.0106781740332462,1.0100455084796576,1.0105170389380238
Rate of requests by circuit,3, ,1.0486890833764755,1.0354833911286327,1.0389081171515202,1.046951801012309,1.0525125956089532,1.049274621475608,1.045882737752028,1.0472820745479805,1.0550763514901589,1.040635847353309
Rate of requests by circuit,4, ,1.067622052629541,1.0863711417599913,1.0872091094691665,1.0741961081843758,1.0853790303751012,1.0712114711362064,1.0822350218168744,1.0610443960124145,1.069868744742262,1.0904010764712586


Maximum requests by circuit,0, ,29,28,28,27,25,25,25,27,26,31
Maximum requests by circuit,1, ,30,30,32,30,32,32,32,29,33,32
Maximum requests by circuit,2, ,33,31,31,34,32,31,33,35,32,39
Maximum requests by circuit,3, ,49,32,42,38,42,44,43,48,41,37
Maximum requests by circuit,4, ,51,39,45,53,42,36,59,49,41,42


Virtual hops,0, ,2.239896562998484,2.2435133100934874,2.2414357083382894,2.244595906560203,2.2360196146416365,2.244460527228925,2.2434664498730963,2.2378707600891308,2.244719007609385,2.239710955156417
Virtual hops,1, ,2.2863028421304037,2.287890986075081,2.2844081373045926,2.2862583275330617,2.285776779145374,2.2871641434975793,2.2863462838509565,2.2854018806783167,2.2901711268164853,2.285663093140622
Virtual hops,2, ,2.297434260404613,2.2995612723103003,2.2969538590436676,2.2990162822252374,2.3015039317500023,2.302701408563106,2.3003005101684253,2.2946350923139978,2.294040105456579,2.3023079531627135
Virtual hops,3, ,2.3069762326144123,2.3033914389890615,2.298824706176544,2.3009305998420677,2.2994870051299485,2.3021436848203938,2.304684529646009,2.306035817377321,2.3015934900831736,2.304057632165303
Virtual hops,4, ,2.3002359793141536,2.3020825986639935,2.300256036949646,2.3000735227467293,2.3061693690075797,2.30291615184482,2.298677014637285,2.3044554455445545,2.307378613471544,2.3004441848050523


Maximum virtual hops,0, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,1, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,2, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,3, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,4, ,3,3,3,3,3,3,3,3,3,3


