Metrics,LoadPoint,Modulation,Bandwidth, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Percentage of cicuits per modulation,0,BPSK,all, ,0.027535110029857347,0.026776609973470585,0.026595909342178,0.02641079735538941,0.02729991360786833,0.026220007774126294,0.027836577766975276,0.027570153428125098,0.026196729271037937,0.026873083102088507
Percentage of cicuits per modulation,0,QPSK,all, ,0.21694128054849054,0.21924066725228547,0.21986954118297403,0.21930583385560568,0.218651839709368,0.2204362344959186,0.21850763417813818,0.22038421199368055,0.22126635916223433,0.2206938672544047
Percentage of cicuits per modulation,0,8QAM,all, ,0.6645847616941281,0.6620523437258597,0.6615013819789939,0.6640347083072197,0.6614491726292006,0.6615693134033005,0.6625229246304439,0.6612676960113998,0.6618481163514378,0.6613292262481688
Percentage of cicuits per modulation,0,16QAM,all, ,0.05004091562534557,0.051160717044596786,0.051144278606965174,0.04954672645581576,0.05165363400748732,0.05058040920173858,0.05053803831451488,0.049967030875916606,0.04985544349054313,0.050360476386473174
Percentage of cicuits per modulation,0,32QAM,all, ,0.04089793210217848,0.04076966200378739,0.04088888888888889,0.04070193402596944,0.0409454400460758,0.041194035124916074,0.04059482510992775,0.04081090769087795,0.04083335172474675,0.040743347008864755
Percentage of cicuits per modulation,0,64QAM,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percentage of cicuits per modulation,1,BPSK,all, ,0.02226806995551609,0.02140868076824495,0.021477917377231755,0.02153273401789248,0.021160638168310802,0.02204779847973193,0.02161501702329343,0.021812314062527184,0.021350462246609542,0.02081264698197021
Percentage of cicuits per modulation,1,QPSK,all, ,0.21235190166531734,0.2148296819542372,0.21290850241882156,0.21696697676239188,0.21564712841658404,0.2126854157702822,0.21581970527743838,0.21209050261834758,0.21501293770398014,0.21388816305199895
Percentage of cicuits per modulation,1,8QAM,all, ,0.6717853629660582,0.67237072467168,0.6752471026346013,0.6711811037320217,0.6717426100875132,0.6742766992190047,0.6707308058561868,0.6756380591172428,0.6707191803086845,0.6731425833986586
Percentage of cicuits per modulation,1,16QAM,all, ,0.052087958005797706,0.0490818334658343,0.04971200361953155,0.049015130757755654,0.04943716617081615,0.049484769069628974,0.049921949395379576,0.04939195184328189,0.050545897425895346,0.05054873268879018
