Metrics,LoadPoint,Link,Number of slots,Slot, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Requisitons per number of slots,0,all,2,-, ,0.19177002219794934,0.19033362787896374,0.191525237183297,0.19272554672667183,0.19015855369385107,0.1912464989073513,0.19053337732321565,0.19048206683179225,0.18949066281078183,0.1932449519982729
Requisitons per number of slots,0,all,3,-, ,0.14459937986681232,0.14336019413634385,0.14513636663805057,0.14620543562337387,0.14283067312528125,0.14397900003957279,0.14405806664467172,0.1454838738111398,0.14431000610905767,0.14204017253305487
Requisitons per number of slots,0,all,4,-, ,0.11220094429371763,0.11299122078173289,0.11360584648572497,0.11143731101891569,0.11240371635035337,0.11506008468577006,0.11355988122731772,0.11317420162363705,0.11516232952872356,0.11397931894382983
Requisitons per number of slots,0,all,5,-, ,0.09696628025791904,0.09794741261446614,0.0988047282572806,0.09830971802264257,0.09829976089008885,0.09897594414080878,0.09975145716485208,0.09766503010163156,0.09919527449006948,0.09863374616140388
Requisitons per number of slots,0,all,6,-, ,0.07963514322962545,0.079540508816586,0.08006339562834312,0.08031696083257155,0.08114737464376152,0.07977434715889355,0.08117452985813263,0.07940131689129036,0.07804211294285174,0.08154345709363751
Requisitons per number of slots,0,all,7,-, ,0.06358567351397061,0.06258874835691897,0.06297739329503181,0.06517210463399198,0.064767022243398,0.06412990427781858,0.06495546024414385,0.06373789103473808,0.06347266965820042,0.06482325935912517
Requisitons per number of slots,0,all,8,-, ,0.053336739367886965,0.05279400709547235,0.054357348830042486,0.053745341396526265,0.05574966692254074,0.0529439957085508,0.05576597382602001,0.05235392114518418,0.05480132377566134,0.05418753937727727
Requisitons per number of slots,0,all,9,-, ,0.043669180085268315,0.04252007965920631,0.04295934315085078,0.04279762323324661,0.044177982477037504,0.04217140294333616,0.043954690421203126,0.041617819460726846,0.04345781453955725,0.041912843491018675
Requisitons per number of slots,0,all,10,-, ,0.03775853564004087,0.03818102686519921,0.038446807105593346,0.03772150341044934,0.03868992473772907,0.03854389721627409,0.03888705597712526,0.038920572239508504,0.03786297251803051,0.038013666944235164
Requisitons per number of slots,0,all,11,-, ,0.03595275007927839,0.03501576038932778,0.03466508177595809,0.035269144223331696,0.03579590072085903,0.03481526102651816,0.03516551193225558,0.03546086787895883,0.03597312014626578,0.03499125438932727
Requisitons per number of slots,0,all,12,-, ,0.026448151932630986,0.026447559887281345,0.025116115256774308,0.024879579495112863,0.026063862639738127,0.02571351938407151,0.026151985043440008,0.025033274863595096,0.025851422443535166,0.02504725273272797
Requisitons per number of slots,0,all,13,-, ,0.01990328036362355,0.019690595201983567,0.019221202315701423,0.01908269460656775,0.01956554346771134,0.01919720000527637,0.018568129330254042,0.019246533684739397,0.01911827399343386,0.01890109309118786
Requisitons per number of slots,0,all,14,-, ,0.01597900003523484,0.016630837608641178,0.015404257192542209,0.015404155825891287,0.014787756866689606,0.01571039753065792,0.01477180248542835,0.016086523459880653,0.015382519305061728,0.01523542655229082
Requisitons per number of slots,0,all,15,-, ,0.014314153835312357,0.014050266190118213,0.013669682361487155,0.01387033260670839,0.013005461588007446,0.013195326893228216,0.012845045639502914,0.014041551710460207,0.013743182247693721,0.013693379330399038
Requisitons per number of slots,0,all,16,-, ,0.010834713364574892,0.01026513502938862,0.010323801976710912,0.009813831657408059,0.010014381887644811,0.009453499773555703,0.009101506653469702,0.010304189547726291,0.010416163072284657,0.010499138656480344
Requisitons per number of slots,0,all,17,-, ,0.008504809555688666,0.008748444843033555,0.008254639107178234,0.008200900077350397,0.00816591227930861,0.008055261202397232,0.007922577807104366,0.008911493270103748,0.008526310700519929,0.008534129910869671
Requisitons per number of slots,0,all,18,-, ,0.008526831330819915,0.009174876576588458,0.008791740958418632,0.008517333520849449,0.008368846890247668,0.00865764700192148,0.007416694160343121,0.0093566272069388,0.008842751097652627,0.008538535760075076
Requisitons per number of slots,0,all,19,-, ,0.005774109439413692,0.0053633681952266025,0.005754033766977041,0.005348604176921454,0.005333650970115672,0.0053467235928575515,0.004693720444297811,0.006002697247221219,0.005410251789865996,0.0053222658401293555
Requisitons per number of slots,0,all,20,-, ,0.008632535851449914,0.00841872958513028,0.008148979726606352,0.007959180085788622,0.007945331180461809,0.008776365371170783,0.0077334213130979875,0.008514839266983402,0.008152735231682716,0.0080406747998643
Requisitons per number of slots,0,all,21,-, ,0.003783340967548712,0.0037499615332199114,0.003706883268396839,0.0038411504113634765,0.0034763581178255997,0.0037242392131170607,0.0035719784449576597,0.003918060097488739,0.003502819396038342,0.0037934361658537876
Requisitons per number of slots,0,all,22,-, ,0.003087452873401219,0.0034554159028263192,0.0034911620330625812,0.003348920610364953,0.0035645905573643204,0.003332908292258243,0.003123281645221599,0.003697696762421881,0.003603904522900176,0.0034145331341889494
Requisitons per number of slots,0,all,23,-, ,0.002607378175539974,0.002963041117690762,0.002892425543155253,0.0030193024400534422,0.0025587407466229036,0.0031086624836762244,0.002595403057296822,0.0031732320249627586,0.0029094936514145325,0.002665538769270083
Requisitons per number of slots,0,all,24,-, ,0.002131707832704979,0.0024311005016068124,0.002412555856391292,0.0022018493776808945,0.00218375287858334,0.0023963522681803994,0.002256680963378423,0.0024239966857354405,0.0022897978736963315,0.002026690634486344
Requisitons per number of slots,0,all,25,-, ,0.001704485395158733,0.002255252364058399,0.001813819366483964,0.002091976654243724,0.0017999417665899044,0.002198488319431559,0.001961948751787089,0.0021375243501485248,0.0018766673552175308,0.0019253561027620268
Requisitons per number of slots,0,all,26,-, ,0.0016340157147387336,0.0019035560889615727,0.001734574831055053,0.0017755432107446733,0.0018131766325207126,0.0016092934498239011,0.0017991861871769492,0.0018819028814709693,0.0016041770132421515,0.0016918460948755567
Requisitons per number of slots,0,all,27,-, ,9.9978859095874E-4,0.0012880876075421267,0.0010742037024807942,0.001164650868434006,0.0011337868480725624,0.0011915806691319049,0.0012449136698559331,0.0011899620093610344,0.0012218115333734745,0.001061809658502628
Requisitons per number of slots,0,all,28,-, ,0.0012508368274549875,0.0014903129657228018,0.001276717515243567,0.0011866254131214402,0.00131466334912694,0.0012399474121593992,0.0013548883756735952,0.0011943692760623716,0.001182256483731887,0.0012997255155945033
Requisitons per number of slots,0,all,29,-, ,7.311229343574927E-4,0.001094654656238872,7.61628034955645E-4,7.11975247872864E-4,8.426197975947837E-4,9.233650941612547E-4,8.006158583525789E-4,7.139772056166207E-4,7.823109818002822E-4,7.269651188918408E-4
