Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Bandwidth blocking probability,0,all,all,all, ,0.015165410157416619,0.01544430852315404,0.016784828571819097,0.014012092939716034,0.01655390754289182,0.014447478700872976,0.01529813132490764,0.014771766161318733,0.016270199184600227,0.014317071590390605
Bandwidth blocking probability,1,all,all,all, ,0.03180503533902605,0.027731760682446562,0.0299724685153663,0.03189331843572288,0.029947210101213248,0.026508705582566894,0.02971982690931282,0.027104275723552923,0.029747454179101955,0.03044289840695496
Bandwidth blocking probability,2,all,all,all, ,0.07189032436804994,0.07257997975364236,0.07390945992581895,0.06737982483298831,0.07071687218836645,0.06719713860435632,0.06956417544600879,0.07349071564982676,0.071126304529786,0.06968023319839804
Bandwidth blocking probability,3,all,all,all, ,0.10030602566974786,0.10591204924040383,0.10440490225188058,0.10680519369808553,0.10792676421851015,0.10362817989943728,0.10153654372763869,0.10533450162561435,0.10460282512180749,0.10325947158211377
Bandwidth blocking probability,4,all,all,all, ,0.13887346919577986,0.13694791682220359,0.13497222778883222,0.14361253217363115,0.13234981138586155,0.13279996970665345,0.1318847933118357,0.13539353367990137,0.13270964020972564,0.13666140186890913


General requested bandwidth,0,all,all,all, ,8.757399399344954E15,8.789270150425012E15,8.881050561341654E15,8.767179402395026E15,8.8573072078986E15,8.816032447982137E15,8.885027106006367E15,8.844654527005825E15,8.790019304091887E15,8.813347230228451E15
General requested bandwidth,1,all,all,all, ,8.874697615699738E15,8.8563886053755E15,8.770338316800379E15,8.810295494939497E15,8.871715255440012E15,8.782043257102965E15,8.777206783073761E15,8.818903738626743E15,8.783542314244586E15,8.789935150441552E15
General requested bandwidth,2,all,all,all, ,8.844421175138951E15,8.875625148403641E15,8.83352546696383E15,8.782181387136314E15,8.802058554479397E15,8.86093975791336E15,8.738395588260557E15,8.849076716066481E15,8.842904403395119E15,8.815506614984066E15
General requested bandwidth,3,all,all,all, ,8.816954529238833E15,8.788917971984039E15,8.772116764168784E15,8.87545951744298E15,8.804627467802347E15,8.83574703923404E15,8.833136137760619E15,8.753179975932384E15,8.828338032438496E15,8.816580579697281E15
General requested bandwidth,4,all,all,all, ,8.884680706825408E15,8.861733538784118E15,8.831838258849356E15,8.836517270542684E15,8.743113822227823E15,8.761756449160645E15,8.779063807388205E15,8.836653825449279E15,8.700440053935298E15,8.787813515076199E15


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
