Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Blocking probability,0,all,all,all, ,0.005897707646412309,0.005986026063746271,0.005681818181818182,0.005564060292039567,0.006476683937823834,0.0054364892447794,0.0054364892447794,0.0052205997801852725,0.005995839221227822,0.005711257654262836
Blocking probability,1,all,all,all, ,0.009528575914586277,0.008596325953838907,0.009332312764955253,0.009067357512953367,0.009243994347621291,0.008419689119170985,0.009332312764955253,0.008527633851468049,0.008635578583765112,0.009371565394881457
Blocking probability,2,all,all,all, ,0.019439864970953055,0.019704820222954937,0.020686135971110065,0.019596875490657875,0.01955762286073167,0.019057151829172555,0.019842204427696655,0.020077720207253884,0.019901083372585962,0.019940336002512167
Blocking probability,3,all,all,all, ,0.029135264562725704,0.03230491442926676,0.03080350133458942,0.03168668550792903,0.03142173025592715,0.030146019783325484,0.02959648296435861,0.03113714868896216,0.03027359083058565,0.029792746113989636
Blocking probability,4,all,all,all, ,0.04285405872193437,0.043639111320458474,0.04168629298162977,0.04367836395038468,0.04207881928089182,0.041274140367404615,0.04238302716281991,0.0427068613597111,0.0415390956194065,0.04404145077720207


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,1,all,all,all, ,0.002894881457057623,0.0019233788663840477,0.0027280577798712512,0.002502355157795572,0.002423849897943162,0.00202151044119956,0.0023551577955723034,0.002345344638090752,0.002865441984612969,0.0022472130632752393
Blocking probability by fragmentation,2,all,all,all, ,0.011873920552677029,0.011972052127492541,0.012551028418904066,0.012354765269273042,0.012060370544826504,0.012089810017271158,0.0120211179149003,0.012354765269273042,0.012521588946459413,0.012286073166902183
Blocking probability by fragmentation,3,all,all,all, ,0.016280028261893547,0.017958078191238812,0.017408541372271942,0.018105275553462082,0.01762443083686607,0.0178599466164233,0.017114146647825405,0.017899199246349504,0.017958078191238812,0.016957136128120585
Blocking probability by fragmentation,4,all,all,all, ,0.018105275553462082,0.018831449207096874,0.019076778144135657,0.019302480766211338,0.019145470246506514,0.018380043962945517,0.018409483435390173,0.018448736065316378,0.01800714397864657,0.01886088867954153


Blocking probability by QoTN,0,all,all,all, ,0.002335531480609201,0.002119642016015073,0.002227586748312137,0.001982257811273355,0.002423849897943162,0.002158894645941278,0.0020509499136442144,0.0018743130789762915,0.0022177735908305856,0.0020411367561626627
Blocking probability by QoTN,1,all,all,all, ,0.0012560841576385617,0.001226644685193908,0.001187392055267703,0.0013444025749725231,0.0013247762600094206,0.0014327209923064846,0.0015308525671219972,0.0012168315277123567,0.0012168315277123567,0.0013247762600094206
