Metrics,LoadPoint, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Total consumed energy (Joule),0, ,9.35230782501653E11,9.306627472755594E11,9.841364140621902E11,9.55123569447588E11,1.0060161067163712E12,9.664612654183389E11,9.541957779876497E11,9.56009267146009E11,9.913421888708221E11,9.446053191450225E11
Total consumed energy (Joule),1, ,5.808388257485212E11,6.307618083201309E11,6.770150623183385E11,6.392406831535255E11,6.04583094382738E11,6.27817574074966E11,6.260436917021969E11,6.127551786368213E11,6.080525133847887E11,6.38169503155157E11
Total consumed energy (Joule),2, ,4.9068121051985126E11,4.614923224455655E11,4.695111178922476E11,4.7585577248630475E11,4.6693739054268665E11,4.6895190948895026E11,4.44183735917461E11,4.452815671865461E11,5.001936941390049E11,4.6566972518209393E11
Total consumed energy (Joule),3, ,3.911732874783831E11,3.8669791993334686E11,3.9812262978900183E11,4.094946374139045E11,3.917685906866456E11,4.141125932183488E11,4.1572899191828033E11,3.9916968605457E11,3.904140138493539E11,4.062542724407141E11
Total consumed energy (Joule),4, ,3.4230309015381396E11,3.7656547675943567E11,3.428482890622658E11,3.583678727056114E11,3.8286656657918964E11,3.492781875203551E11,3.8739797515367883E11,3.5201417227456964E11,3.521023381978343E11,3.4315717335540125E11


Average power consumption (Watt),0, ,561069.3310902027,560828.8805312583,555431.9089794107,558711.5743375006,552687.2121806622,558236.2568424159,559620.7091470939,559499.0328996051,553762.5677034943,558477.0341988942
Average power consumption (Watt),1, ,633369.3498495579,615967.186959745,602810.3830408426,611461.6114709658,625091.5082581848,615363.8421171595,615769.4992401558,620094.4890974567,622906.1468631134,612954.737969695
Average power consumption (Watt),2, ,670322.5420244825,689417.2266185848,682669.5683072126,681060.1752315384,684401.1357690911,683900.0317132836,698934.0915161776,700693.3723176522,663360.7390453137,690120.4030411317
Average power consumption (Watt),3, ,752270.5198222346,760708.7186807778,747385.4315798008,739455.7151736099,752418.0909116153,733110.9405607437,730379.8105245403,741514.7426142464,756507.192394931,739481.25194799
Average power consumption (Watt),4, ,845861.6967686199,781077.8033594445,837551.6327295627,807035.0255772431,769936.8444324112,822818.2964457707,773253.8321589842,818041.2369797877,812860.7753106148,836737.1766278656


