Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Total energy consumption (Joule),0,all,all,all, ,9.390975891300327E11,9.350294210696099E11,9.893339273966135E11,9.588316334866394E11,1.0119604813425922E12,9.688007127068523E11,9.586758548001537E11,9.594933886054043E11,9.960855326773328E11,9.517897307709309E11
Total energy consumption (Joule),1,all,all,all, ,6.254873922331024E11,6.736616982182195E11,7.20883939727241E11,6.820300246217391E11,6.477055030209591E11,6.693509638721934E11,6.691973455295621E11,6.555605009034186E11,6.472963010956422E11,6.806547333520786E11
Total energy consumption (Joule),2,all,all,all, ,5.871624165512737E11,5.634430586237548E11,5.662135673132083E11,5.733236890070474E11,5.649456592231942E11,5.64440434627196E11,5.407808795861996E11,5.4461630292238214E11,5.95714124000998E11,5.589018826081252E11
Total energy consumption (Joule),3,all,all,all, ,5.4147319723603156E11,5.330231195641809E11,5.440180228328517E11,5.564912320633179E11,5.391157745038025E11,5.632756331110469E11,5.609752194660697E11,5.463781467477487E11,5.37884734347275E11,5.50945661493777E11
Total energy consumption (Joule),4,all,all,all, ,5.2962793167627856E11,5.628696331852104E11,5.4114814810477637E11,5.526058069541321E11,5.723300289623469E11,5.3881477465036017E11,5.730511796848447E11,5.444817054827495E11,5.360705061367117E11,5.346429403578816E11


Average power consumption (Watt),0,all,all,all, ,591746.4094748494,592356.9654140809,593318.5303194149,591706.4849188353,592160.4064145053,591940.1120169414,592506.6467447146,592474.5121366569,592118.8039756011,592172.9351256487
Average power consumption (Watt),1,all,all,all, ,679134.7309777653,679376.6420670439,679632.973141735,677925.5888457522,678331.9487029321,677206.4566927887,678421.9667507558,678956.3513210273,678491.1241567425,679359.9766910535
Average power consumption (Watt),2,all,all,all, ,760909.0921571709,760726.5596078474,758594.8034152561,762921.3114425687,759222.7593761957,760676.2750701603,759262.944672507,762316.6444357655,759163.5888839687,761686.191728514
Average power consumption (Watt),3,all,all,all, ,846317.5250574225,845534.0098319277,845747.8018488708,851714.9363005146,845871.957215778,848176.9808145546,850193.237002164,843901.782977861,847262.5069425631,846909.7388439298
Average power consumption (Watt),4,all,all,all, ,943283.303796424,938277.2715845067,938598.3994666453,934978.8631882656,938900.2997949028,937826.3394475348,941818.2076978685,938339.481171618,937507.7107318735,939421.3176341724


Energy efficiency (bits/Joule),0,all,all,all, ,3.3062084072340395E7,3.3317340310282286E7,3.1774045415783364E7,3.245574848013765E7,3.098783358247007E7,3.22865026984497E7,3.2854452214000758E7,3.2694766283272076E7,3.1251547341892395E7,3.2857884734483298E7
Energy efficiency (bits/Joule),1,all,all,all, ,4.9453874760668516E7,4.601542193033546E7,4.248518932384538E7,4.502074726662273E7,4.783302834469786E7,4.598077126939053E7,4.581437625993558E7,4.711623934305227E7,4.739732854686075E7,4.507489196535273E7
Energy efficiency (bits/Joule),2,all,all,all, ,5.032838187840211E7,5.259299299875099E7,5.201274118774953E7,5.142920643676441E7,5.212284710243682E7,5.271740653849996E7,5.412517306157108E7,5.41950472083313E7,4.9638219842993826E7,5.282584498028054E7
Energy efficiency (bits/Joule),3,all,all,all, ,5.273985720551113E7,5.3072813043091424E7,5.198826507223857E7,5.128391966656468E7,5.244836525181604E7,5.0618935178049386E7,5.093005732730353E7,5.159833975738678E7,5.290636885939506E7,5.166075068671247E7
Energy efficiency (bits/Joule),4,all,all,all, ,5.200443885307169E7,4.891593666647812E7,5.0823840830310374E7,4.929904318082446E7,4.7716300566062994E7,5.0766060873211086E7,4.7877852140771635E7,5.051560164510983E7,5.0674132812733114E7,5.10858535687271E7


Total data transmitted (bits),0,all,all,all, ,3.104852344394932E19,3.115269342190242E19,3.143514114047532E19,3.11195983312419E19,3.1358462987880554E19,3.127918682506978E19,3.149677006024798E19,3.1370412090798445E19,3.1129214181039768E19,3.127379726513614E19
Total data transmitted (bits),1,all,all,all, ,3.093277515987299E19,3.0998827281817686E19,3.0626890659831374E19,3.0705501366743794E19,3.0981715685018325E19,3.077727356875341E19,3.0658858980241478E19,3.0887545464416702E19,3.0680115450197852E19,3.0680438571550913E19
Total data transmitted (bits),2,all,all,all, ,2.9550934324837913E19,2.9633156837393977E19,2.9450319733654295E19,2.9485582357030756E19,2.9446576216875926E19,2.9755835859009503E19,2.926985869599168E19,2.951550624730536E19,2.9570188650738024E19,2.9524464209843778E19
Total data transmitted (bits),3,all,all,all, ,2.855721910283987E19,2.828903637227514E19,2.8282553175109427E19,2.8539051640282796E19,2.827574105419113E19,2.851241275982281E19,2.857050008660361E19,2.8192205251901673E19,2.8457528159214653E19,2.8462266460355895E19
Total data transmitted (bits),4,all,all,all, ,2.754300338773786E19,2.7533295328371524E19,2.750322734489438E19,2.7242937539006104E19,2.7309471684950884E19,2.7353503649285698E19,2.7436459650045755E19,2.750482093721659E19,2.716490802496079E19,2.7312690962676433E19


Total energy consumption by transponders (Joule),0,all,all,all, ,1.612350812752661E11,1.6063442694553976E11,1.6248712302389993E11,1.6107124084231793E11,1.6253341660565292E11,1.6088326092543384E11,1.6298514057628943E11,1.6211706018839163E11,1.606738005752774E11,1.624832933727769E11
Total energy consumption by transponders (Joule),1,all,all,all, ,1.9753134022618488E11,1.9579321479540234E11,1.967790837561883E11,1.9416937792832214E11,1.9635599163371277E11,1.9324669991376044E11,1.9475106403908157E11,1.9442379240137262E11,1.917641357363851E11,1.947980103437487E11
Total energy consumption by transponders (Joule),2,all,all,all, ,2.45563739279235E11,2.5106327048191605E11,2.4526465081339328E11,2.4726901298232642E11,2.4656365884006308E11,2.4445054146418488E11,2.4421102454652084E11,2.4805991413286212E11,2.4383862765667307E11,2.440156207386524E11
Total energy consumption by transponders (Joule),3,all,all,all, ,2.9881457706599146E11,2.958016353290015E11,2.954342284917943E11,2.9806498208740515E11,2.9613553155360236E11,2.996732612743078E11,2.9535438962788477E11,2.951673278805491E11,2.970534434693057E11,2.945732135408739E11
Total energy consumption by transponders (Joule),4,all,all,all, ,3.407800849639638E11,3.3788814654105615E11,3.501228114907442E11,3.453831385734347E11,3.402739671543722E11,3.4072224353830884E11,3.3925584422500574E11,3.436716164459917E11,3.3393001402031757E11,3.432593960490192E11


Total energy consumption by OXCs (Joule),0,all,all,all, ,6.191762893064149E11,6.164161584822506E11,6.581676465784259E11,6.350149476099508E11,6.761414680220791E11,6.430999370820848E11,6.333674896189873E11,6.34709233604302E11,6.649853040899786E11,6.282856238715946E11
Total energy consumption by OXCs (Joule),1,all,all,all, ,3.4065177019348047E11,3.8038192013937274E11,4.1718593793984314E11,3.8833565298233545E11,3.5927289568402374E11,3.789776065872359E11,3.776578573746494E11,3.6706347606430804E11,3.626022760561215E11,3.8674053556909576E11
Total energy consumption by OXCs (Joule),2,all,all,all, ,2.7191155157817572E11,2.4865340098394427E11,2.5547440218364816E11,2.595385718856188E11,2.5343114443560175E11,2.5471102240246027E11,2.3606874030994525E11,2.3605802121406403E11,2.8009186960970074E11,2.506485467664561E11
Total energy consumption by OXCs (Joule),3,all,all,all, ,1.9315555446869907E11,1.8882761011014386E11,1.9787197584093167E11,2.0570654184213895E11,1.9341156526439236E11,2.0982671975844318E11,2.1143340644514676E11,1.999630797077315E11,1.917010056776464E11,2.040717214172746E11
Total energy consumption by OXCs (Joule),4,all,all,all, ,1.5032233561855838E11,1.790846076990476E11,1.5205561123440704E11,1.6494864011634558E11,1.847159489118208E11,1.576810774587121E11,1.8610040566989203E11,1.5984424564692508E11,1.6090324262108548E11,1.523407435155574E11


Total energy consumption by Amplifiers (Joule),0,all,all,all, ,1.5868621854835162E11,1.5797883564181946E11,1.6867915779428778E11,1.6274544503437064E11,1.7328559671486008E11,1.6481751469933365E11,1.6232322460487695E11,1.626670948127108E11,1.704264280120766E11,1.6102081352655954E11
Total energy consumption by Amplifiers (Joule),1,all,all,all, ,8.730428181343709E10,9.748656328344447E10,1.0691891803120946E11,9.952499371108151E10,9.207661570322258E10,9.712665737119707E10,9.678842411583112E10,9.407323243773792E10,9.292988930313565E10,9.911618743923415E10
Total energy consumption by Amplifiers (Joule),2,all,all,all, ,6.968712569386295E10,6.372638715789451E10,6.547451431616676E10,6.651610413910222E10,6.495085594752944E10,6.527887076055084E10,6.050111472973345E10,6.0498367575456024E10,7.178362673462422E10,6.423771510301679E10
Total energy consumption by Amplifiers (Joule),3,all,all,all, ,4.950306570134106E10,4.839387412503552E10,5.07118185001257E10,5.2719708133773834E10,4.956867768580777E10,5.377565207829588E10,5.418742339303821E10,5.124773915946815E10,4.9130285200322876E10,5.230072653562844E10
Total energy consumption by Amplifiers (Joule),4,all,all,all, ,3.852551109375641E10,4.58968789451067E10,3.896972537962513E10,4.2274028264351746E10,4.734011289615393E10,4.041145365333923E10,4.769492978994702E10,4.096584338983273E10,4.123724949530862E10,3.904280079330498E10


