Metrics,LoadPoint, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Rate of requests by circuit,0, ,1.0094498309335083,1.0106888896442838,1.0114180458801447,1.00966677358222,1.012564687683892,1.0123009545230133,1.00966851742428,1.0132865866315959,1.0087748498483904,1.0141030610229256
Rate of requests by circuit,1, ,1.1352009443856148,1.1244562692458748,1.1261586297262258,1.1285509948834158,1.1282039594646929,1.1261761634580105,1.127436900859222,1.1288910293288987,1.1210405285200757,1.1278814612797512
Rate of requests by circuit,2, ,1.2808946087377975,1.2959422858205245,1.2847839479993066,1.2757346454279004,1.2882575221548693,1.2637674270046477,1.2884693309108888,1.2880769529033664,1.2799628436138049,1.275850620503726
Rate of requests by circuit,3, ,1.3868630286294994,1.3758939407025614,1.3809001577443885,1.3713689005865564,1.3824159071848308,1.3793279823099385,1.3754211322711838,1.3763334663974562,1.3728631095484354,1.3803406634452993
Rate of requests by circuit,4, ,1.4089071328718155,1.4084128790306525,1.4177683950712354,1.4198126096451222,1.4105534553389478,1.4209867073277251,1.3932830024430083,1.4244494174955311,1.4101267439214566,1.4112750590800442


Maximum requests by circuit,0, ,9,10,10,10,9,9,10,9,9,10
Maximum requests by circuit,1, ,12,14,13,11,12,11,11,12,13,12
Maximum requests by circuit,2, ,15,13,12,14,14,13,14,13,15,12
Maximum requests by circuit,3, ,16,15,17,16,17,16,17,17,17,15
Maximum requests by circuit,4, ,19,20,19,20,17,19,17,19,16,19


Virtual hops,0, ,1.0658322063512433,1.061553497739254,1.0633999506538367,1.0640239991316103,1.0650803998261624,1.0618944252590035,1.0665811544153923,1.063656631022373,1.064723129930005,1.0666982491462862
Virtual hops,1, ,1.1029098510893365,1.0995268638397275,1.1062969896882708,1.0979104773222421,1.101077633168915,1.0971735645151712,1.1007102314938635,1.098817241549958,1.0985310421286032,1.101476983427275
Virtual hops,2, ,1.1647568627843439,1.1679947145030831,1.1630826886849173,1.1673856686718649,1.165036882825715,1.16245173165803,1.16451412666947,1.1661559414368403,1.1607393167527735,1.168285405318808
Virtual hops,3, ,1.2360539748319603,1.243743154991279,1.2410975548018022,1.2458474790980492,1.2407955259265264,1.2413287194430953,1.2355998705606344,1.2400259290395115,1.235086370030055,1.238924626775094
Virtual hops,4, ,1.3188943682910075,1.3134921042100618,1.317911853854346,1.3195489107569802,1.317222586461236,1.3152674568568445,1.321617051800994,1.3141606527800558,1.3108292123557659,1.3230988749281432


Maximum virtual hops,0, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,1, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,2, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,3, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,4, ,3,3,3,3,3,3,3,3,3,3


