Metrics,LoadPoint,Link,Number of slots,Slot, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Requisitons per number of slots,0,all,2,-, ,0.3210650898473838,0.3211329862491793,0.3165571228122,0.3192763303564839,0.3171356677389325,0.31735951265056345,0.31537385413982255,0.31801360318207406,0.32253365295961645,0.31701974931438776
Requisitons per number of slots,0,all,3,-, ,0.19614452948707323,0.19765302064934945,0.1977143490141053,0.19914753856373163,0.1983998967675334,0.1978886454606802,0.1968854692044325,0.19710770877746708,0.19885672137193436,0.19711582706005779
Requisitons per number of slots,0,all,4,-, ,0.0778186105201109,0.0772154356892518,0.07540063510818994,0.07561443648977784,0.07682523296433871,0.07690174436340443,0.07676803004086441,0.07615567060734424,0.07567766918679697,0.0766781395520053
Requisitons per number of slots,0,all,5,-, ,0.1279139380877382,0.1256161051979397,0.13087105826748394,0.12628238246365045,0.1260081295567456,0.12774434491620215,0.1292659131907374,0.12867650451747464,0.12719896736123917,0.128379746369476
Requisitons per number of slots,0,all,6,-, ,0.0977406905952677,0.09743940668953846,0.09872793737537848,0.09821758063325707,0.09585871899569558,0.09844976288859925,0.09757758715900305,0.0979539854370276,0.09766734279918864,0.09691520494745173
Requisitons per number of slots,0,all,7,-, ,0.010536689600545256,0.009571015082440192,0.01075437560002954,0.010867960735109603,0.010526024720488879,0.010787875426384536,0.010243713875492397,0.010825327390016334,0.009496588604093675,0.010914579153705988
Requisitons per number of slots,0,all,8,-, ,0.011522201652344506,0.012169522558928786,0.011806735100804962,0.011818215366447709,0.011963905505424314,0.011416474851400944,0.011615064609947354,0.011591313897579298,0.01142356629172045,0.011660009939077138
Requisitons per number of slots,0,all,9,-, ,0.05146767612574028,0.052497248911123645,0.050337862787091056,0.050760203705070485,0.051597798936336904,0.051415735322665634,0.05187203180797408,0.05073968456121893,0.05148441821869814,0.051480738436619974
Requisitons per number of slots,0,all,10,-, ,0.007497259908080278,0.007555091132708828,0.007772690347832509,0.0072791349915122885,0.00827703169789756,0.008097839651681966,0.00846740050804403,0.007438375001153594,0.007772450673059192,0.008558649757965065
Requisitons per number of slots,0,all,11,-, ,0.04925718180394757,0.05053680910679773,0.05089173620855181,0.05153516864713263,0.05145032398403584,0.05124009724802869,0.05209292051687958,0.05131186725361536,0.0493730407523511,0.05033958513555797
Requisitons per number of slots,0,all,12,-, ,0.0017683954574341687,0.001692266434866237,0.0018185510671294587,0.001965089674514724,0.001944825933470362,0.0017378925279865406,0.0018867577219011155,0.0016980905709829545,0.0016411580306103632,0.0019510040308479506
Requisitons per number of slots,0,all,13,-, ,0.005645970913578883,0.005594651328382915,0.005215641385422052,0.005858365931065024,0.006055690228862692,0.005555709624042079,0.005678680558112137,0.00625709460394806,0.005209293748847502,0.005926634886160755
Requisitons per number of slots,0,all,14,-, ,0.003122323229532204,0.0028851755610834204,0.003249390739236393,0.00295224739833198,0.003290534873217627,0.002921138504488015,0.003331738025991238,0.0029624297461170023,0.003199336160796607,0.0029357088954740387
Requisitons per number of slots,0,all,15,-, ,0.0032881103036666573,0.003347543439462174,0.003286315634000443,0.0032290205919256036,0.0034011410874434296,0.002837941521765255,0.003009608658837389,0.0032946648578310585,0.0031901161718605937,0.003570705490419834
Requisitons per number of slots,0,all,16,-, ,0.002606541221113905,0.0022840973191910413,0.0022154936858429955,0.002490958742342608,0.0022489930225913194,0.002412712498960038,0.0028163310385450795,0.002491763337855422,0.002692236769315877,0.0025491892289852937
Requisitons per number of slots,0,all,17,-, ,0.0018144474224715168,0.0020344186648665144,0.0018924008566575585,0.0018174773045981252,0.0018618712728010103,0.0018210895107093005,0.0018499429370835328,0.0019749531640780014,0.0018071178314586023,0.001785352745209917
Requisitons per number of slots,0,all,18,-, ,0.002680224365173662,0.003014638567029471,0.002612436304556532,0.0024079267842645213,0.002682200694975713,0.002958114941253686,0.0027887199499318925,0.0028055409433631424,0.0025262769684676377,0.0030829544827078465
Requisitons per number of slots,0,all,19,-, ,7.644626196199792E-4,8.415095386493309E-4,7.384978952809985E-4,7.657391689423574E-4,8.387637912123363E-4,8.689462639932703E-4,7.731104811692375E-4,7.844440137692996E-4,9.127789046653144E-4,8.742706742007326E-4
Requisitons per number of slots,0,all,20,-, ,0.018586573089073712,0.018577941353258305,0.018970164685030648,0.01851612665141339,0.01957729991796706,0.019042864934320603,0.019309354636822148,0.01893740136770121,0.01896551724137931,0.018893449411937935
Requisitons per number of slots,0,all,21,-, ,9.947224448067199E-4,9.80219902162957E-4,9.60047263865298E-4,0.0010240608162964057,0.0011244965112956597,0.0010076079018645368,8.099252659868203E-4,0.0010705353599675148,9.588788493453807E-4,0.001049124809040879
Requisitons per number of slots,0,all,22,-, ,9.855120517992502E-4,0.0010911881929738577,0.0012185215272136475,0.0012362535980515168,0.0012258855410026454,0.0011924900856928923,0.0010952398483230865,0.0013012541875467205,0.0010602987276415268,0.0012607903406894774
Requisitons per number of slots,0,all,23,-, ,5.618339734556473E-4,4.808625935139034E-4,5.631046451517614E-4,4.4283710974979705E-4,4.2399048786557656E-4,3.6976436765671076E-4,4.6018481021978426E-4,6.921564827376173E-4,5.163193804167435E-4,6.99416539360586E-4
Requisitons per number of slots,0,all,24,-, ,0.0012249822699934606,0.0010357040475684073,9.41584816483273E-4,0.0010056092700568308,0.001327274570709631,0.001127781321352968,0.0010124065824835254,0.0010982216192770196,0.0010787387055135535,0.0010859362058493309
Requisitons per number of slots,0,all,25,-, ,0.0010868263748814162,0.001007961974865682,8.954286980282106E-4,0.0010794154550151302,0.0012166683564838285,9.891196834817012E-4,0.0010308139748923168,0.001033620347554842,9.865388161534206E-4,0.0011043419042535568
Requisitons per number of slots,0,all,26,-, ,6.170963315004651E-4,5.086046662166286E-4,6.092607636068237E-4,4.889659753487342E-4,6.359857317983649E-4,4.3447313199663514E-4,4.233700254022015E-4,4.5220890205524333E-4,3.0425963488843813E-4,6.441994441479082E-4
Requisitons per number of slots,0,all,27,-, ,2.0262864616433184E-4,1.6645243621635117E-4,2.400118159663245E-4,2.7677319359362313E-4,2.7651553556450644E-4,1.8488218382835538E-4,2.3009240510989213E-4,2.491763337855422E-4,2.0283975659229209E-4,3.128968728718411E-4
Requisitons per number of slots,0,all,28,-, ,9.763016587917806E-4,9.89467259730532E-4,0.0010154346060113728,9.779319506974685E-4,0.0011613652493709273,9.244109191417769E-4,9.66388101461547E-4,9.59790322729496E-4,0.0010234187718974738,0.001049124809040879
Requisitons per number of slots,0,all,29,-, ,2.855221832315585E-4,1.4795772108120104E-4,2.30780592275312E-4,2.4909587423426084E-4,3.3181864267740777E-4,2.2185862059402646E-4,2.7611088613187056E-4,1.8457506206336462E-4,2.489397012723585E-4,2.3927407925493732E-4
Requisitons per number of slots,0,all,30,-, ,6.723586895452829E-4,8.322621810817559E-4,9.508160401742855E-4,9.68706177577681E-4,8.848497138064207E-4,8.042374996533459E-4,8.651474432131944E-4,8.582740385946455E-4,7.007191591370091E-4,7.270250869669249E-4
Requisitons per number of slots,0,all,31,-, ,1.0131432308216592E-4,6.473150297302545E-5,8.308101321911233E-5,1.3838659679681157E-4,1.1060621422580259E-4,1.1092931029701323E-4,1.288517468615396E-4,8.305877792851408E-5,6.453992255209293E-5,1.472455872338076E-4
Requisitons per number of slots,0,all,32,-, ,2.0262864616433184E-4,2.0344186648665145E-4,2.6770548703936194E-4,2.859989667134106E-4,1.8434369037633765E-4,2.8656738493395087E-4,1.9327762029230938E-4,1.6611755585702815E-4,2.489397012723585E-4,2.208683808507114E-4
Requisitons per number of slots,0,all,33,-, ,1.6578707413445333E-4,1.2021564837847586E-4,2.2154936858429953E-4,1.7528968927596133E-4,1.6590932133870388E-4,1.20173419488431E-4,1.9327762029230938E-4,1.4766004965069169E-4,1.3829983404019914E-4,1.472455872338076E-4
Requisitons per number of slots,0,all,34,-, ,1.8420786014939258E-4,2.681733694596769E-4,2.2154936858429953E-4,2.583216473540483E-4,3.0416708912095713E-4,2.40346838976862E-4,1.9327762029230938E-4,2.491763337855422E-4,2.5815969020837173E-4,2.3007123005282435E-4
Requisitons per number of slots,0,all,35,-, ,8.289353706722666E-5,1.1096829081090079E-4,1.476995790561997E-4,1.1070927743744926E-4,1.1060621422580259E-4,1.3866163787126654E-4,1.0124065824835254E-4,8.305877792851408E-5,1.1985985616817259E-4,1.0123134122324272E-4
