Metrics,LoadPoint,Node, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Tx Utilization,0,all, ,317.85528536661957,319.47682132202857,320.7043786308683,317.6776475898885,317.3911622703721,317.4762521588946,318.690169178835,318.410356806406,319.873164939551,318.08622821479037
Tx Utilization,1,all, ,496.33417726487676,501.0727154969383,500.73265033757264,497.6937313550008,494.50157991835454,494.9893232846601,498.4761049615324,497.10240029832,500.7232100800754,500.2785562882713
Tx Utilization,2,all, ,619.4923555503219,615.2201778144135,616.5142585178207,621.5178893860889,613.7819025749725,621.3131967341812,616.6469520332862,618.8519390799183,616.7573500549537,622.502875255142
Tx Utilization,3,all, ,736.3351487674674,737.6878532736694,735.1906009577642,743.9072362223269,736.2263699167844,740.2774768409483,745.4937784581567,735.048153163762,744.1070615481237,740.7714613754122
Tx Utilization,4,all, ,886.0956880986026,878.8400259067357,874.4800400376826,868.1447342596954,881.0112949442613,876.7477920395667,887.4857512953367,874.773109985869,884.5403026377767,875.2612556916314


Rx Utilization,0,all, ,317.85528536661957,319.47682132202857,320.7043786308683,317.6776475898885,317.3911622703721,317.4762521588946,318.690169178835,318.410356806406,319.873164939551,318.08622821479037
Rx Utilization,1,all, ,496.33417726487676,501.0727154969383,500.73265033757264,497.6937313550008,494.50157991835454,494.9893232846601,498.4761049615324,497.10240029832,500.7232100800754,500.2785562882713
Rx Utilization,2,all, ,619.4923555503219,615.2201778144135,616.5142585178207,621.5178893860889,613.7819025749725,621.3131967341812,616.6469520332862,618.8519390799183,616.7573500549537,622.502875255142
Rx Utilization,3,all, ,736.3351487674674,737.6878532736694,735.1906009577642,743.9072362223269,736.2263699167844,740.2774768409483,745.4937784581567,735.048153163762,744.1070615481237,740.7714613754122
Rx Utilization,4,all, ,886.0956880986026,878.8400259067357,874.4800400376826,868.1447342596954,881.0112949442613,876.7477920395667,887.4857512953367,874.773109985869,884.5403026377767,875.2612556916314


Regenerators Utilization,0,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regenerators Utilization,1,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regenerators Utilization,2,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regenerators Utilization,3,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regenerators Utilization,4,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Tx Utilization Per Node,0,11, ,17.442651907677813,16.86501020568378,16.47621290626472,16.56712199717381,17.28112733553148,17.15397825404302,17.33440296749882,16.64386088867954,16.851939079918356,16.880838828701524
Tx Utilization Per Node,0,12, ,17.565816847228763,17.339476369916785,18.175066729470874,17.13934683623803,17.119013973936255,17.50960708117444,17.59671848013817,17.583578662270373,17.75785052598524,17.55567004239284
Tx Utilization Per Node,0,13, ,19.60336198775318,19.312342989480296,19.073716439001412,19.635038860103627,18.946214083843618,19.242110221384834,19.034512874862617,18.969726409169414,19.134577641701995,18.54257929031245
Tx Utilization Per Node,0,14, ,20.572352410111478,20.223151201130477,20.03238341968912,19.871928481708274,19.575286544198462,19.497016800125607,19.469598838122153,19.274532893703878,20.22412270372115,20.934143900141308
Tx Utilization Per Node,0,15, ,16.387639346836238,16.124313078976293,16.586640367404616,16.33316650965615,17.03011658031088,17.03454231433506,16.488970010990737,16.496123802794788,16.45800949913644,16.344490893389857
Tx Utilization Per Node,0,16, ,18.724181582666038,19.325247291568534,19.313363557858377,19.365373292510597,18.791911995603705,19.18508596325954,19.417167137698225,18.43806916313393,18.771353430679856,19.367532187156538
Tx Utilization Per Node,0,17, ,17.992070968754906,18.477743758831842,18.22507457999686,17.316503768252474,17.795533050714397,17.9080310880829,17.817593028732926,17.192023865598994,17.500549536818966,17.13397903909562
Tx Utilization Per Node,0,1, ,20.65993484063432,20.223582980059664,20.152467027790863,20.881241168158265,20.672407363793376,20.257310802323754,20.37741403674046,21.150779164704034,21.398679149002984,20.463652064688333
Tx Utilization Per Node,0,2, ,18.082185193907993,19.032795572303343,18.240461610927934,18.290469461453917,18.464338985712043,18.27815394881457,18.35380357983985,18.48203210865128,17.971649788035798,18.438235986811115
Tx Utilization Per Node,0,3, ,18.207832862301775,18.524699717381065,18.63923889150573,18.379209844559586,18.459285209609043,18.553305071439787,18.72442691160308,19.030970325011776,18.33066415449835,18.40099505416863
Tx Utilization Per Node,0,4, ,18.951395430993877,18.991158345109124,19.121859789605903,19.96165999371958,19.762374391584235,19.693476212906265,19.573922515308524,19.513954309938764,19.32611084942691,19.56236261579526
Tx Utilization Per Node,0,5, ,19.428108808290155,19.790783482493328,19.747880357983984,19.68972758674831,19.444761736536346,19.36082980059664,19.280960511854293,19.46836238027948,20.078004788820852,19.41985594284817
Tx Utilization Per Node,0,6, ,19.385225310095777,19.593568456586592,19.525121683152772,19.19725427853666,19.781362851311037,18.66965967969854,19.14916980687706,19.139572538860104,19.874126628984143,19.667520411367562
Tx Utilization Per Node,0,7, ,19.21419178834982,19.319290704977234,19.320880436489244,18.776260009420632,18.870593892290785,18.58001648610457,19.63145705762286,19.72368111163448,19.455791725545613,18.90131888836552
Tx Utilization Per Node,0,8, ,18.329584707175382,18.3194673418119,18.54889896373057,18.262815983670905,17.697607552205998,18.076532815198618,18.622340634322498,18.4181386402889,18.452602449364107,18.177500392526298
Tx Utilization Per Node,0,9, ,17.954241246663525,18.64000431778929,19.256692573402418,18.854804521902967,18.24419061077092,18.44706782854451,18.711228214790392,18.67833451091223,18.813922907834826,19.30135225310096
Tx Utilization Per Node,0,10, ,19.35451012717852,19.37418550792903,20.26841929659287,19.15572499607474,19.45503611241953,20.029527790861987,19.106482571832313,20.20661603077406,19.473210080075365,18.994200423928405
Tx Utilization Per Node,1,11, ,26.060262600094205,25.277682917255458,25.523257183231276,25.60665920866698,25.682534542314336,24.97602645627257,25.89169218087612,26.11494151358141,24.348533914272256,25.07453093107238
Tx Utilization Per Node,1,12, ,25.90036701208981,25.565198618307427,25.552392447794002,26.371320065944417,26.02953760401947,26.548761579525827,26.713985712042707,26.7901063746271,26.642752001884126,25.794276966556758
Tx Utilization Per Node,1,13, ,28.511658031088082,30.877590673575128,30.057181268645,29.457067436018214,29.11323402417962,28.648679149002984,30.449491678442456,29.681268644999214,30.953780028261892,29.90791333019312
Tx Utilization Per Node,1,14, ,32.24301303187313,32.232090987596166,33.911171298477,31.857758282304914,31.694300518134714,34.00823323912702,31.8565414507772,31.616727508243052,32.93714672633067,34.37258596325954
Tx Utilization Per Node,1,15, ,25.924055974250276,25.928314884597267,25.034522688020097,25.7319143507615,24.552088239912074,25.421406421730257,25.410710080075365,25.8663840477312,25.94825522059978,25.147167922750825
