Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Bandwidth blocking probability,0,all,all,all, ,0.00551676380444336,0.005128801090907918,0.005329218659207344,0.004731221166151173,0.005422658619227609,0.004978527430356687,0.005796257664352497,0.0046181932760956486,0.00490892988371987,0.004940611627558044
Bandwidth blocking probability,1,all,all,all, ,0.0052054771900264295,0.003642387349030054,0.004251682782747992,0.00434645865522835,0.004250423123842376,0.0038365135276391795,0.004124032107858146,0.0043630930393073,0.00551467900041018,0.004336005676414022
Bandwidth blocking probability,2,all,all,all, ,0.004533275064837415,0.006154184220894354,0.005079186109415497,0.005860037412641396,0.0044096010545089095,0.0047043821765821,0.004193377162174401,0.005378002913326161,0.005501809795650434,0.005423830100910798
Bandwidth blocking probability,3,all,all,all, ,0.008649834122907261,0.013137655743106682,0.010574206629783174,0.015072383454371703,0.011013344648983377,0.009554409094550782,0.012793465899716378,0.009914946879497165,0.010526210208236908,0.010795468253956015
Bandwidth blocking probability,4,all,all,all, ,0.02649772591031014,0.026945946242859852,0.028684746806114294,0.031500743147052784,0.028715732576591164,0.030454381917476157,0.025676304206689173,0.02675282681607959,0.022222057529569877,0.02763423013592957


General requested bandwidth,0,all,all,all, ,8.89795661931591E15,8.876958474520695E15,8.823327991662229E15,8.783483461437393E15,8.751423988129433E15,8.813659219130594E15,8.802574835649025E15,8.775942245387856E15,8.809517161310884E15,8.735555792638155E15
General requested bandwidth,1,all,all,all, ,8.789102870841864E15,8.83651795351345E15,8.777262830889386E15,8.856736430312211E15,8.775778534282956E15,8.819568903188604E15,8.73953485788881E15,8.747559027305933E15,8.780177037665309E15,8.835284455183899E15
General requested bandwidth,2,all,all,all, ,8.816768412604974E15,8.840032950099801E15,8.771055507708941E15,8.85891883577493E15,8.833940839127317E15,8.816856706013418E15,8.834022680225801E15,8.772957451444964E15,8.743105161612123E15,8.793466426575186E15
General requested bandwidth,3,all,all,all, ,8.802655989907618E15,8.796924504411898E15,8.732358693665228E15,8.832899192492167E15,8.816872181345709E15,8.823010638182039E15,8.820758697285379E15,8.825235611844515E15,8.791739889053863E15,8.750072880029029E15
