Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Blocking probability,0,all,all,all, ,0.002119642016015073,0.0020607630711257656,0.0021392683309781756,0.0020018841262364577,0.0020411367561626627,0.001972444653791804,0.0019920709687549065,0.0018841262364578427,0.0021000157010519706,0.0018448736065316375
Blocking probability,1,all,all,all, ,0.0018743130789762915,0.0012757104726016644,0.0015112262521588947,0.0015406657246035485,0.0015897315120113047,0.0013345894174909719,0.0014229078348249333,0.0015112262521588947,0.0014817867797142408,0.0014817867797142408
Blocking probability,2,all,all,all, ,0.0015897315120113047,0.0020509499136442144,0.001933192023865599,0.0020018841262364577,0.0015112262521588947,0.0016878630868268174,0.0015112262521588947,0.0017565551891976763,0.0019920709687549065,0.0019920709687549065
Blocking probability,3,all,all,all, ,0.002826189354686764,0.0037584393154341342,0.003385539331135186,0.004582744543884441,0.00325796828387502,0.00325796828387502,0.0037682524729156855,0.0031009577641701994,0.0030126393468362382,0.003238341968911917
Blocking probability,4,all,all,all, ,0.007654262835609986,0.008341183859318575,0.009243994347621291,0.008743523316062176,0.008763149631025278,0.009587454859475585,0.007173418119013974,0.00808604176479824,0.005946773433820066,0.00760519704820223


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,2,all,all,all, ,3.925262992620505E-5,1.9626314963102526E-5,0.0,0.0,0.0,9.813157481551263E-6,0.0,0.0,9.813157481551263E-6,9.813157481551263E-6
Blocking probability by fragmentation,3,all,all,all, ,6.672947087454859E-4,8.046789134872036E-4,6.967341811901398E-4,0.0013444025749725231,9.715025906735751E-4,4.612184016329094E-4,8.439315434134087E-4,7.948657560056524E-4,6.280420788192808E-4,7.261736536347935E-4
Blocking probability by fragmentation,4,all,all,all, ,0.0034149788035798398,0.003385539331135186,0.00357198932328466,0.0037584393154341342,0.0036701208981001726,0.0031009577641701994,0.0031500235515779557,0.00325796828387502,0.0026299262050557388,0.003238341968911917


Blocking probability by QoTN,0,all,all,all, ,0.0017369288742345736,0.0018154341340869838,0.0019430051813471502,0.001825247291568535,0.0018350604490500863,0.001668236771863715,0.001825247291568535,0.001668236771863715,0.0016976762443083686,0.0016584236143821636
Blocking probability by QoTN,1,all,all,all, ,9.715025906735751E-4,8.14492070968755E-4,0.0010009420631182289,8.341183859318574E-4,9.518762757104726E-4,8.733710158580625E-4,7.850525985241011E-4,8.439315434134087E-4,0.0010009420631182289,9.322499607473701E-4
Blocking probability by QoTN,2,all,all,all, ,6.672947087454859E-4,7.163604961532423E-4,6.182289213377296E-4,8.243052284503062E-4,5.986026063746271E-4,7.654262835609986E-4,7.359868111163448E-4,7.359868111163448E-4,7.261736536347935E-4,7.850525985241011E-4
Blocking probability by QoTN,3,all,all,all, ,4.8084471659601193E-4,6.967341811901398E-4,6.182289213377296E-4,6.378552363008322E-4,5.986026063746271E-4,7.45799968597896E-4,5.691631339299733E-4,6.574815512639347E-4,3.9252629926205055E-4,6.574815512639347E-4
Blocking probability by QoTN,4,all,all,all, ,3.6308682681739676E-4,7.06547338671691E-4,6.084157638561784E-4,4.612184016329094E-4,5.299105040037683E-4,9.322499607473701E-4,3.72899984298948E-4,5.691631339299733E-4,4.710315591144607E-4,5.299105040037683E-4


Blocking probability by QoTO,0,all,all,all, ,3.827131417804993E-4,2.453289370387816E-4,1.9626314963102528E-4,1.7663683466792276E-4,2.0607630711257655E-4,3.042078819280892E-4,1.6682367718637148E-4,2.158894645941278E-4,4.023394567436018E-4,1.86449992149474E-4
Blocking probability by QoTO,1,all,all,all, ,9.028104883027163E-4,4.612184016329094E-4,5.102841890406657E-4,7.06547338671691E-4,6.378552363008322E-4,4.612184016329094E-4,6.378552363008322E-4,6.672947087454859E-4,4.8084471659601193E-4,5.495368189668708E-4
Blocking probability by QoTO,2,all,all,all, ,8.831841733396138E-4,0.0013051499450463181,0.0013149631025278694,0.0011775788977861517,9.126236457842675E-4,9.126236457842675E-4,7.752394410425499E-4,0.0010205683780813313,0.0012560841576385617,0.0011972052127492542
Blocking probability by QoTO,3,all,all,all, ,0.0016191709844559584,0.002119642016015073,0.0019920709687549065,0.0023944104254985084,0.0015112262521588947,0.002011697283718009,0.0022472130632752393,0.0015799183545297535,0.0019233788663840477,0.0017761815041607788
Blocking probability by QoTO,4,all,all,all, ,0.002423849897943162,0.00263973936253729,0.0032285288114303656,0.002757497252315905,0.003346286701208981,0.004219657717067044,0.0024042235829800597,0.0029243209295022766,0.0018841262364578427,0.0022570262207567905


Blocking probability by other,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,2,all,all,all, ,0.0,9.813157481551263E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,3,all,all,all, ,5.8878944889307586E-5,1.373842047417177E-4,7.85052598524101E-5,2.0607630711257655E-4,1.7663683466792276E-4,3.925262992620505E-5,1.079447322970639E-4,6.869210237085885E-5,6.869210237085885E-5,7.85052598524101E-5
Blocking probability by other,4,all,all,all, ,0.001452347307269587,0.0016093578269744072,0.0018350604490500863,0.0017663683466792276,0.0012168315277123567,0.0013345894174909719,0.0012462710001570104,0.0013345894174909719,9.616894331920239E-4,0.0015799183545297535


Blocking probability per pair,0,all,16,9, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,2,10, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,16,10, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,1,17, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,3,9, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,4,1, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,3,6, ,0.0,0.0,0.0,0.002770083102493075,0.0027472527472527475,0.0,0.0,0.005865102639296188,0.0026455026455026454,0.0
Blocking probability per pair,0,all,3,13, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,15,6, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,5,1, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,16,1, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,5,8, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,6,7, ,0.005141388174807198,0.0,0.005208333333333333,0.0111731843575419,0.0,0.0,0.002577319587628866,0.002570694087403599,0.005291005291005291,0.0
Blocking probability per pair,0,all,14,11, ,0.0025974025974025974,0.005291005291005291,0.008595988538681949,0.005494505494505495,0.009925558312655087,0.010582010582010581,0.0025,0.007731958762886598,0.005063291139240506,0.002688172043010753
Blocking probability per pair,0,all,2,5, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,3,16, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0028089887640449437,0.0,0.0,0.0
Blocking probability per pair,0,all,15,2, ,0.0,0.0,0.0,0.002544529262086514,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,16,4, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,16,15, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,12,8, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00273224043715847,0.0,0.0
Blocking probability per pair,0,all,14,2, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,14,16, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,2,14, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,14,12, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,1,9, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,3,4, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
