Metrics,LoadPoint, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Total consumed energy (Joule),0, ,7.184898107376375E11,6.652414851420996E11,6.628806674412609E11,6.658672917676348E11,6.390319829153522E11,6.509063628338286E11,6.880468372501212E11,6.39915240852326E11,6.562319850760326E11,6.712766458583027E11
Total consumed energy (Joule),1, ,4.563508188075621E11,4.3420264853463965E11,4.31417994665606E11,4.319724984062645E11,4.3730624015846375E11,4.627982543600084E11,4.442209285813776E11,4.5067562316678033E11,4.3009111573032587E11,4.4461874987640674E11
Total consumed energy (Joule),2, ,3.5018834501590045E11,3.665084435541164E11,3.476548171886775E11,3.556382371575024E11,3.634795383319499E11,3.6935693946167084E11,3.4559395457362683E11,3.517456706755201E11,3.34577416518494E11,3.640613564332341E11
Total consumed energy (Joule),3, ,3.0545664880359686E11,3.1435743586894305E11,3.055649500482734E11,3.070401447268511E11,3.059080529996379E11,3.1597656280870526E11,3.008646872255386E11,3.11698535892398E11,3.0983155096648535E11,2.910316316926228E11
Total consumed energy (Joule),4, ,2.7327330285554352E11,2.813224403538573E11,2.6791266945505264E11,2.944214657537165E11,2.718053426439787E11,2.8183142821032587E11,2.740865554945647E11,2.7120226211914426E11,2.666492756380396E11,2.7612806639260016E11


Average power consumption (Watt),0, ,371692.86997209897,381957.51740054163,380287.12905130524,379905.0951152776,387350.49741003045,383603.17217753193,376295.32117504266,386421.5935717912,383042.3608807586,377930.0687416663
Average power consumption (Watt),1, ,442242.80696977687,457108.0509278662,455398.59849845764,458497.9795017885,451204.54935739527,439189.1341576896,447258.33515267586,444786.2431970303,457567.4853338133,447177.37377110886
Average power consumption (Watt),2, ,519001.55943983706,499105.3981979221,515982.38726855256,513679.4104683047,503488.70783116616,497641.2901826502,524023.2145614629,513243.6402023937,532904.8674397699,496706.73566493974
Average power consumption (Watt),3, ,566181.4929345682,550795.9012930832,564141.6025966244,565741.4848413494,571075.3723881572,556090.6207040618,577032.3955033133,561751.9539867482,565883.2450171222,598490.5458483829
Average power consumption (Watt),4, ,633008.2405521938,616208.1251350404,645457.3815311795,581460.7601485995,632216.4223736818,613455.184172364,631263.7975341026,643450.1063667608,652667.1383371624,626336.4188087038


Energy efficiency (bits/Joule),0, ,4.433734038175606E7,4.779189191121242E7,4.766273195585942E7,4.726307641169114E7,4.903398523079103E7,4.8503456768123396E7,4.578989180964396E7,4.914320785768743E7,4.809058292040959E7,4.661659047412029E7
Energy efficiency (bits/Joule),1, ,6.897339443593642E7,7.299724002901287E7,7.293112778353426E7,7.3490020051913E7,7.193704789754754E7,6.834217011418816E7,7.053376334149286E7,6.957068853188924E7,7.308759631937766E7,7.122755981542341E7
Energy efficiency (bits/Joule),2, ,9.022709899986194E7,8.62961486643954E7,9.036382903569648E7,8.915019688903849E7,8.710793517768843E7,8.553071692369805E7,9.163679349552828E7,8.930542115340768E7,9.355684690760429E7,8.64820701645105E7
Energy efficiency (bits/Joule),3, ,1.028474981172001E8,9.941827096547261E7,1.0179202600818327E8,1.0200346565013014E8,1.0261635101665238E8,9.95623310372004E7,1.0419460830428214E8,1.0091751583091678E8,1.0107784754360206E8,1.0706809464144303E8
Energy efficiency (bits/Joule),4, ,1.1299305457558583E8,1.0924181772069418E8,1.1516918474916475E8,1.039931991122115E8,1.127686450713606E8,1.0906185593139692E8,1.1275520339352567E8,1.136525719062652E8,1.1615445554905145E8,1.1175068549806526E8


Total data transmitted (bits),0, ,3.185592729949812E19,3.179314915276565E19,3.1594703570974007E19,3.1470936690859557E19,3.1334284812274487E19,3.1571208629807047E19,3.1505590237650756E19,3.144748769250797E19,3.1558578693323936E19,3.1292628494817575E19
Total data transmitted (bits),1, ,3.1476065026776535E19,3.1695594956316205E19,3.1463800897073414E19,3.174566756975133E19,3.1458519944175833E19,3.162863702802102E19,3.1332573847897092E19,3.1353813408251167E19,3.1434325847048794E19,3.1669108601880543E19
Total data transmitted (bits),2, ,3.159647847434746E19,3.16282671317022E19,3.1415420463873966E19,3.17052188638619E19,3.1661952063435612E19,3.159136383289965E19,3.1669121848566424E19,3.141279525856516E19,3.13020081359625E19,3.1484779771245814E19
Total data transmitted (bits),3, ,3.1415452112714183E19,3.1252872739229757E19,3.1104075342503068E19,3.131915885585634E19,3.139116814543154E19,3.145936314635706E19,3.134847823805535E19,3.1455841930394657E19,3.131710627278818E19,3.1160202285719327E19
Total data transmitted (bits),4, ,3.087798522360702E19,3.073217474987694E19,3.0855283725110866E19,3.0617830111035396E19,3.065112021311839E19,3.0737058620414394E19,3.0904685312220504E19,3.0822834596637827E19,3.097250143428544E19,3.0857500704628343E19


Total energy consumption by transponders (Joule),0, ,1.8060762120072278E11,1.806061861291926E11,1.7784407158707266E11,1.7815540006203976E11,1.7997218886583066E11,1.7874862885576376E11,1.7925519898214627E11,1.7911590178410757E11,1.795141835582495E11,1.77033252898192E11
Total energy consumption by transponders (Joule),1, ,1.6921403141359335E11,1.6988608544632825E11,1.678107468798874E11,1.6981067266138995E11,1.6761739380308725E11,1.6958006601571695E11,1.6785063903750354E11,1.6873120420048615E11,1.6854028946081723E11,1.679508757904221E11
Total energy consumption by transponders (Joule),2, ,1.624366762361453E11,1.6217356785131995E11,1.6017084134402832E11,1.62989098697337E11,1.6259754284108197E11,1.6282813246319543E11,1.6208114230226547E11,1.610433557212126E11,1.598754807532695E11,1.601106028653468E11
Total energy consumption by transponders (Joule),3, ,1.5533452691023993E11,1.555452517195402E11,1.548465796797764E11,1.5602242203739505E11,1.5685246604320786E11,1.5786629247933157E11,1.5577992505311777E11,1.5730079151095865E11,1.5747905046202948E11,1.5572045193121964E11
Total energy consumption by transponders (Joule),4, ,1.531468583936994E11,1.5428616955539993E11,1.5241413843551868E11,1.535250843028147E11,1.5217454539239105E11,1.5399419537382117E11,1.532696716025378E11,1.5392084323278622E11,1.5296525038118704E11,1.5345374402037097E11


Total energy consumption by OXCs (Joule),0, ,3.5385867036810706E11,3.1882892919321576E11,3.190929319236266E11,3.208529393215872E11,3.0200347120931384E11,3.106202644362255E11,3.347207550540259E11,3.031478725286675E11,3.136202139935476E11,3.251498437262928E11
Total energy consumption by OXCs (Joule),1, ,1.888998070162419E11,1.7388697634926407E11,1.7342033630293164E11,1.7246943082317618E11,1.7742126145984238E11,1.9290060216454645E11,1.8181680875404752E11,1.854838831882789E11,1.7206747019656662E11,1.8201258186652963E11
Total energy consumption by OXCs (Joule),2, ,1.235169283649178E11,1.344265878895799E11,1.2334082016143657E11,1.267388459948195E11,1.3215502801178842E11,1.358699180950957E11,1.2072829517141078E11,1.2545808156233218E11,1.149318492100233E11,1.3417388395075894E11
Total energy consumption by OXCs (Joule),3, ,9.876143043843529E10,1.0447839585419875E11,9.91536867665352E10,9.935062285463931E10,9.805978490708058E10,1.0401662505029788E11,9.544748279768077E10,1.0157425101152089E11,1.0022873838261197E11,8.901769771839932E10
Total energy consumption by OXCs (Joule),4, ,7.902805621787103E10,8.35738508314732E10,7.598347260991446E10,9.269205630849681E10,7.870198283934576E10,8.410078287591179E10,7.948227831982417E10,7.715638805914346E10,7.478975657126346E10,8.070423867411781E10


Total energy consumption by Amplifiers (Joule),0, ,1.8402351916881503E11,1.6580636981969913E11,1.6594366393056253E11,1.6685895238399973E11,1.5705632284019858E11,1.615374695418381E11,1.7407088321393582E11,1.576514665395489E11,1.630975875242297E11,1.690935492338227E11
Total energy consumption by Amplifiers (Joule),1, ,9.823698037772714E10,9.042958673904622E10,9.018691148278633E10,8.969239492170065E10,9.226758489553635E10,1.0031758617974713E11,9.455348078982501E10,9.646053577801813E10,8.948335607294398E10,9.465529221945749E10
Total energy consumption by Amplifiers (Joule),2, ,6.423474041483675E10,6.990828781321884E10,6.414315568321148E10,6.591029246534894E10,6.87269674790897E10,7.065888890338116E10,6.278451709995788E10,6.524423339196985E10,5.9770086555196915E10,6.977686961713104E10
Total energy consumption by Amplifiers (Joule),3, ,5.136069145492753E10,5.433378829520124E10,5.156468360195654E10,5.166709983481816E10,5.099580204935028E10,5.4093645279079575E10,4.96372793747361E10,5.282349336991565E10,5.212376212184384E10,4.629348204300023E10
Total energy consumption by Amplifiers (Joule),4, ,4.1098388243972244E10,4.3462419966984406E10,3.951505840961407E10,4.820432514240606E10,4.0928814412246086E10,4.373644996059607E10,4.13346055722016E10,4.0125030827217354E10,3.889426868559052E10,4.197008369810947E10


