Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Total energy consumption (Joule),0,all,all,all, ,1.2380302430913179E12,1.186610871524979E12,1.1635119174056882E12,1.171749905626249E12,1.1555586854821667E12,1.1498431236847578E12,1.1811384769871965E12,1.156538418424661E12,1.1649646498882466E12,1.174888283953149E12
Total energy consumption (Joule),1,all,all,all, ,1.0391775902311836E12,1.0092734775086859E12,9.977738080479767E11,1.0234402690187031E12,1.0335308027595735E12,1.0445941703455496E12,1.0165356324505637E12,1.0277196510957983E12,1.007600690716089E12,1.0162016876383971E12
Total energy consumption (Joule),2,all,all,all, ,9.564055518792385E11,9.818513751012788E11,9.381214758271732E11,9.475177233239275E11,9.767408233008179E11,9.720040698020079E11,9.561080777213931E11,9.513738659359963E11,9.244867108823336E11,9.600967452718939E11
Total energy consumption (Joule),3,all,all,all, ,9.162665393128447E11,9.204967021250726E11,9.028268739254375E11,9.041828658341858E11,9.061358755034614E11,9.334075852636138E11,8.972424305498903E11,9.141491779443293E11,9.086059817187252E11,8.999010439330203E11
Total energy consumption (Joule),4,all,all,all, ,8.81198330659343E11,8.7950862946704E11,8.552603722222474E11,8.846011810183417E11,8.565113340660812E11,8.80762280604313E11,8.882759531721792E11,8.6840881446052E11,8.89064260556767E11,8.829837813077352E11


Average power consumption (Watt),0,all,all,all, ,422872.0609885624,421789.3060831213,420907.1465459742,421098.08171772154,421079.998492863,421468.1030940185,420877.4280998553,421377.5967140425,421455.992046518,421814.18039756163
Average power consumption (Watt),1,all,all,all, ,512504.0167148167,512400.56745435647,513661.26020446164,513823.04233711,512513.3891177705,514152.8735986624,511329.75977914076,511188.5190209419,511241.35492962325,514575.9779353349
Average power consumption (Watt),2,all,all,all, ,600353.5777052017,599457.7144719214,597059.2801467159,599797.2016241413,600798.4873824541,598440.2294595038,600799.9048121808,597213.0761565198,595723.7127483885,595685.8756126936
Average power consumption (Watt),3,all,all,all, ,677308.9039977384,677578.3481259627,675117.2249164545,680295.9001058942,682235.7750969161,681964.7391530816,678885.7547484832,680346.2446474549,679244.0490195175,678476.5843481312
Average power consumption (Watt),4,all,all,all, ,759047.3089455726,762141.6255454702,759645.5530335734,761690.3869884444,756766.6169275392,761794.218610523,760628.7791008209,762160.0495890531,761575.1805837472,757919.4919915562


Energy efficiency (bits/Joule),0,all,all,all, ,2.5731138215133574E7,2.6793239397770327E7,2.715460245686311E7,2.6858066332883313E7,2.7116134564122107E7,2.745697041578573E7,2.6673917454635825E7,2.7191044578824356E7,2.7089730745350346E7,2.663455659760876E7
Energy efficiency (bits/Joule),1,all,all,all, ,3.028939935066741E7,3.140436726282984E7,3.1534001637734428E7,3.1018583625002142E7,3.0437912310092915E7,3.0278397032943744E7,3.0822897739810277E7,3.0508138454704452E7,3.119720553655915E7,3.1164196032264028E7
Energy efficiency (bits/Joule),2,all,all,all, ,3.3036694958810758E7,3.221288672986756E7,3.348758265679179E7,3.3461346509317853E7,3.2415919666832972E7,3.2501267036191158E7,3.312295187803518E7,3.3018349970818367E7,3.3858797284482054E7,3.279334080268078E7
Energy efficiency (bits/Joule),3,all,all,all, ,3.428636839262322E7,3.3952183280047506E7,3.445187138400566E7,3.4638080458383545E7,3.464289296347546E7,3.37037791882442E7,3.49386934575117E7,3.440996577946962E7,3.4467202398941435E7,3.462625418183044E7
Energy efficiency (bits/Joule),4,all,all,all, ,3.504090299456542E7,3.494243685647503E7,3.6077064631135315E7,3.461201586435656E7,3.578600655242889E7,3.4898245868709244E7,3.479176172883528E7,3.549346124012553E7,3.483719097524992E7,3.4946848807264745E7


Total data transmitted (bits),0,all,all,all, ,3.185592729949812E19,3.179314915276565E19,3.1594703570974007E19,3.1470936690859557E19,3.1334284812274487E19,3.1571208629807047E19,3.1505590237650756E19,3.144748769250797E19,3.1558578693323936E19,3.1292628494817575E19
Total data transmitted (bits),1,all,all,all, ,3.1476065026776535E19,3.1695594956316205E19,3.1463800897073414E19,3.174566756975133E19,3.1458519944175833E19,3.162863702802102E19,3.1332573847897092E19,3.1353813408251167E19,3.1434325847048794E19,3.1669108601880543E19
Total data transmitted (bits),2,all,all,all, ,3.159647847434746E19,3.16282671317022E19,3.1415420463873966E19,3.17052188638619E19,3.1661952063435612E19,3.159136383289965E19,3.1669121848566424E19,3.141279525856516E19,3.13020081359625E19,3.1484779771245814E19
Total data transmitted (bits),3,all,all,all, ,3.1415452112714183E19,3.1252872739229757E19,3.1104075342503068E19,3.131915885585634E19,3.139116814543154E19,3.145936314635706E19,3.134847823805535E19,3.1455841930394657E19,3.131710627278818E19,3.1160202285719327E19
Total data transmitted (bits),4,all,all,all, ,3.087798522360702E19,3.073217474987694E19,3.0855283725110866E19,3.0617830111035396E19,3.065112021311839E19,3.0737058620414394E19,3.0904685312220504E19,3.0822834596637827E19,3.097250143428544E19,3.0857500704628343E19


Total energy consumption by transponders (Joule),0,all,all,all, ,7.001480535543959E11,7.019755725120681E11,6.784753215515059E11,6.840380139206646E11,6.964988914326514E11,6.776853897066925E11,6.72346838719235E11,6.957390793564446E11,6.882468483704626E11,6.806448909930321E11
Total energy consumption by transponders (Joule),1,all,all,all, ,7.520408028372161E11,7.449569144203779E11,7.341665602622589E11,7.612784432738237E11,7.638419564041956E11,7.513759820012576E11,7.401653429066941E11,7.457752321295023E11,7.460498644465796E11,7.395338135524069E11
Total energy consumption by transponders (Joule),2,all,all,all, ,7.686538830994839E11,7.775164993984797E11,7.506374999825247E11,7.548685848637582E11,7.758588278099397E11,7.654752628035332E11,7.725952654500234E11,7.606715509816926E11,7.497847751171129E11,7.561459917040029E11
Total energy consumption by transponders (Joule),3,all,all,all, ,7.661444174194828E11,7.616845179756722E11,7.521085035569457E11,7.531651431447269E11,7.570802885470303E11,7.752973149342367E11,7.521576683774731E11,7.597514335628925E11,7.562534812142694E11,7.645898641716198E11
Total energy consumption by transponders (Joule),4,all,all,all, ,7.610718861974977E11,7.524723586685833E11,7.397618412027184E11,7.437047995674386E11,7.36880536814488E11,7.529250477678052E11,7.674590692801525E11,7.511273955741598E11,7.753802352999125E11,7.603094589355085E11


Total energy consumption by OXCs (Joule),0,all,all,all, ,3.5385867036810504E11,3.1882892919321313E11,3.190929319236205E11,3.208529393215852E11,3.0200347120931604E11,3.106202644362275E11,3.3472075505402515E11,3.031478725286698E11,3.136202139935511E11,3.251498437262955E11
