Metrics,LoadPoint,link, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
External Fragmentation (Vertical),0,all, ,0.11814206236271318,0.12078422390346172,0.11701045648512724,0.11695885228398599,0.11357374284648684,0.11691955103485993,0.11463905003030599,0.11481577436359947,0.11719878615847654,0.11659942544693265
External Fragmentation (Vertical),1,all, ,0.23253597680089313,0.2233941219624565,0.2258103231276748,0.22564130414752914,0.2212940227857774,0.22898566449231442,0.21891260787859065,0.22578792622189278,0.22061773544469776,0.22788344693496765
External Fragmentation (Vertical),2,all, ,0.365891015667864,0.3587903138734055,0.35283311504071596,0.36044645756042476,0.36439435094023037,0.35893175375807584,0.3582408443551729,0.3700756999742752,0.3719160047063755,0.35322712869616635
External Fragmentation (Vertical),3,all, ,0.4885081553253307,0.4933261208043514,0.4749332086085571,0.4940349331434623,0.48116642608431287,0.48093369026895005,0.4851467929614253,0.4847471451399903,0.47723423861239805,0.48237053320726564
External Fragmentation (Vertical),4,all, ,0.5665744729225175,0.5651125965266146,0.573517252268815,0.5751533323720994,0.5665715635856875,0.551274903618841,0.5593875856470514,0.5527502894890737,0.5454605795124244,0.5450175966870648


External Fragmentation (Horizontal),0,all, ,0.203345192329044,0.2088311952376559,0.198246256964584,0.1981137118104267,0.19392588619837253,0.19887552353210444,0.1939413611191714,0.19755110759558328,0.19897239068762082,0.19959913828823814
External Fragmentation (Horizontal),1,all, ,0.38884700762756086,0.3656063522214938,0.3763321238646807,0.3764154844049603,0.3679097272252626,0.3823409511545346,0.3669681416677758,0.37488837177308,0.36863868470569366,0.37920817759970443
External Fragmentation (Horizontal),2,all, ,0.6198636320540313,0.5963711632760704,0.5931483971325935,0.5954864537281808,0.6111306705684534,0.6006839047558836,0.6067944251453614,0.6167037524193656,0.6381121768813879,0.5954015419399896
External Fragmentation (Horizontal),3,all, ,0.8462880927591204,0.8404487502953156,0.8133027224260455,0.84823418481546,0.8289626946120641,0.8240482645140382,0.8438478844608579,0.8379522089178473,0.8187970966598535,0.8255742424905078
External Fragmentation (Horizontal),4,all, ,0.9545772024363882,0.9620204193377605,0.9533575119226142,0.9681675412170604,0.9351960603537398,0.9247568080943163,0.9397340987511311,0.9330609496274485,0.9261697972941986,0.9155236864425381


External Fragmentation Per Link,0,<4-10>, ,0.0932972958542646,0.0818818170761698,0.09289202427694547,0.09486240094368267,0.1003951064425529,0.09925342513662605,0.08946325245144111,0.08634288013638731,0.08656084706976709,0.09662153484901408
External Fragmentation Per Link,0,<6-15>, ,0.131476180029079,0.1254320716460227,0.1359328899150226,0.1296811248835989,0.11105551989349323,0.11200478306730163,0.1250322227564514,0.12777492301811844,0.12861604792914386,0.15003451468288853
External Fragmentation Per Link,0,<4-13>, ,0.1338727926340353,0.1317269627649735,0.13535349896931584,0.12213026665256677,0.12324833441101772,0.1307242113821705,0.12372449400636741,0.12832368533102903,0.13398895132205624,0.12986540162840826
External Fragmentation Per Link,0,<12-11>, ,0.0724651264820966,0.07033359627931365,0.06515165312976685,0.0600862467973002,0.058477183618998556,0.06495315887431866,0.06517867093966638,0.06924483648491118,0.07082501809701079,0.07566845362063523
External Fragmentation Per Link,0,<4-16>, ,0.12564167607269722,0.09974110029813262,0.1102506120855477,0.09543404648803534,0.1063877211082911,0.10341050465075657,0.0990472912967657,0.1080093170827129,0.09660163640290954,0.1062403024315023
External Fragmentation Per Link,0,<12-13>, ,0.14110312059824004,0.13832113603546198,0.13721184639771436,0.13099526005482845,0.1289117436921157,0.1296225439823909,0.13208328022876253,0.13198913006365834,0.140786187185447,0.13836798130064074
