Metrics,LoadPoint, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Rate of requests by circuit,0, ,1.7536564451054981,1.7840406242430797,1.7534793482433666,1.7583555300486529,1.7639199074654406,1.7482899830478902,1.745955498526656,1.7828568407615513,1.7623314834695412,1.7520904051504962
Rate of requests by circuit,1, ,2.1160976537377882,2.1258454706913845,2.102496964510162,2.135413340951846,2.1493528841923193,2.12977952057764,2.119507301021318,2.117298913138007,2.1302115497049705,2.1219722067613254
Rate of requests by circuit,2, ,2.377529070597862,2.385888623588373,2.3769584098686574,2.3785317342755046,2.411141151489095,2.3736112489712022,2.378472843533861,2.3997364415430966,2.383649760820034,2.368800445528963
Rate of requests by circuit,3, ,2.607968375871101,2.57903480645218,2.578931675973574,2.580143260068614,2.5618751125056587,2.565371490060712,2.5745529569052312,2.5548037788102578,2.567171778911224,2.596101593813392
Rate of requests by circuit,4, ,2.6818025114302664,2.648128670246645,2.662301132184595,2.640409882735985,2.6729578145153243,2.660176166826505,2.730419070569622,2.643749969641517,2.723055515001218,2.6752682544695654


Maximum requests by circuit,0, ,25,25,26,24,29,24,27,25,29,28
Maximum requests by circuit,1, ,33,28,27,28,30,30,30,32,29,32
Maximum requests by circuit,2, ,33,27,30,29,34,31,38,31,29,29
Maximum requests by circuit,3, ,36,41,35,28,32,41,31,34,29,31
Maximum requests by circuit,4, ,34,37,34,30,28,37,31,37,33,31


Virtual hops,0, ,1.853955235622689,1.8503353196845438,1.8414727691127588,1.8419469026548672,1.8538192259282569,1.8441835540741178,1.8395197687338374,1.8521118452100047,1.845304356377225,1.8497876440284715
Virtual hops,1, ,1.7925535575590141,1.7875390571265746,1.7897886977886979,1.7982938071884182,1.7987655049045626,1.7961048659696566,1.7973447066107175,1.792953316953317,1.7942075417923795,1.7891560936778277
Virtual hops,2, ,1.7413555856971557,1.7536850385958012,1.7403816846431415,1.7337069813176007,1.7414742014742015,1.744406872960327,1.747017199017199,1.7383042516588842,1.7404155318040138,1.7385571429976105
Virtual hops,3, ,1.6912297276019526,1.691856857201958,1.6927106411051704,1.6851346155741989,1.6966486827078329,1.7072815342811012,1.6890464933018126,1.6966767728471868,1.6978355660108073,1.6922933034044145
Virtual hops,4, ,1.6830623788615957,1.6793199675421062,1.6651512450228798,1.6778434458931029,1.664373187078635,1.6760827132481892,1.6769098474889546,1.6845765730114761,1.6863709056447314,1.6771351442217366


Maximum virtual hops,0, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,1, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,2, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,3, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,4, ,3,3,3,3,3,3,3,3,3,3


