Metrics,LoadPoint,Link,Number of slots,Slot, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Requisitons per number of slots,0,all,2,-, ,0.044351783661207685,0.042627058361379776,0.04440177095001867,0.045827334293179756,0.046213188932571765,0.04532381763953984,0.04596762136648085,0.04202594207048692,0.044952971048050974,0.0434106222224582
Requisitons per number of slots,0,all,3,-, ,0.06761646912965387,0.06806527301489558,0.0697018189576999,0.06931157681437637,0.06830777708309049,0.07109075415423946,0.07033168877213217,0.06698166237127069,0.06906096463912532,0.06965026202473173
Requisitons per number of slots,0,all,4,-, ,0.0959621915746976,0.09325929779485927,0.09739158265322452,0.09520610035727617,0.09605582459970116,0.09720387729015764,0.09865231413254737,0.09534188170161316,0.0948457120348339,0.0997446121662304
Requisitons per number of slots,0,all,5,-, ,0.09488664360154922,0.09298325706823514,0.09603669920520616,0.09511544819495547,0.09423315353884303,0.09673519386450788,0.09749898549796032,0.09388887121236225,0.09608065451951688,0.09790751880896884
Requisitons per number of slots,0,all,6,-, ,0.10568450946005373,0.10687022900763359,0.10802261695204567,0.10735882258838586,0.10502612141956404,0.10936834256497656,0.10748916084662866,0.10601673613541633,0.10869090773595652,0.10881857906669286
Requisitons per number of slots,0,all,7,-, ,0.08802009102420778,0.08767478155623268,0.08831279671414093,0.08795392737162054,0.08698485699450019,0.08838943331913081,0.08717776211529014,0.08660790989213783,0.08799497506161405,0.08810083837295118
Requisitons per number of slots,0,all,8,-, ,0.07506053268765134,0.07547590482965102,0.07567610817730837,0.07532128192822482,0.07344198713533333,0.0747070728589689,0.07457657888554281,0.07472398103662223,0.07405928788532068,0.07423768589951206
Requisitons per number of slots,0,all,9,-, ,0.06458586104767909,0.06453513679941394,0.06476236197791646,0.06561083559963739,0.06369281634469677,0.0629953131657435,0.06446893487964803,0.06469078451960504,0.0633227405077104,0.06340626841739186
Requisitons per number of slots,0,all,10,-, ,0.06417259630922799,0.06353714340315748,0.06408492025390729,0.0639417693169093,0.0636027424841311,0.0631870472944184,0.06357190149719143,0.06385291715719028,0.06341323198288114,0.06259391210623284
Requisitons per number of slots,0,all,11,-, ,0.05322108074027371,0.05438533162046524,0.054638075425401396,0.053330133845251426,0.05256074687125796,0.051986578610992755,0.05378996604087909,0.05315154793343727,0.05296945114258795,0.05279785070696237
Requisitons per number of slots,0,all,12,-, ,0.04084433165025087,0.04126808863030715,0.040561156451698936,0.04056417639844292,0.04126972352623269,0.040333404345973586,0.04155720723606929,0.042269878138025394,0.041035222475953224,0.0406337441130715
Requisitons per number of slots,0,all,13,-, ,0.03199092936881759,0.03317797195001539,0.031204992798847815,0.031797579054018026,0.032251740544893874,0.03222731146144014,0.0319621537344354,0.03306394306744302,0.0321989960769284,0.03203763386623199
Requisitons per number of slots,0,all,14,-, ,0.027747018400877392,0.027402350592956714,0.026873633114631673,0.027830213832453474,0.026926785846747275,0.026682999573924157,0.027049828068601695,0.028397340036272232,0.026700308203318375,0.02704668659505896
Requisitons per number of slots,0,all,15,-, ,0.023794512056204004,0.02403146864283515,0.02345975356056969,0.023276275795872662,0.023636440704907436,0.02247550063911376,0.02369663185322825,0.02473299606520517,0.02308597222444015,0.022931809855528004
Requisitons per number of slots,0,all,16,-, ,0.018167753694215884,0.019184830500376903,0.018109564196938176,0.018183757265504186,0.01921752307480369,0.018427780144865787,0.018138228572649025,0.019106557637850394,0.01842299973917163,0.01804705295182674
Requisitons per number of slots,0,all,17,-, ,0.014771565266688214,0.015283100999055091,0.014669013708860085,0.015453527435610303,0.015614568652177137,0.015035151256923732,0.014106917836013755,0.01612629524748905,0.01495238551497634,0.014967532295145507
Requisitons per number of slots,0,all,18,-, ,0.015688165263509253,0.015606918005287242,0.015298447751640262,0.014925611902095664,0.016409338010109468,0.01548253089049851,0.01480639029495312,0.01564372607040207,0.01582536209897638,0.014940984703277566
Requisitons per number of slots,0,all,19,-, ,0.010352811524787937,0.010383378101476819,0.009692217421454099,0.009630459126539754,0.010581029385272394,0.009954196847038773,0.00932807928066466,0.010696066265763042,0.009868893821561458,0.00970579958691947
Requisitons per number of slots,0,all,20,-, ,0.012620469320391436,0.01325526335347015,0.012940737184616205,0.012931264331040367,0.01323555904076637,0.012436088623775031,0.012457017150423955,0.013352848218736411,0.012801882222683551,0.012785320243600703
Requisitons per number of slots,0,all,21,-, ,0.0072533259864046495,0.0076654386393315566,0.0071211393823011684,0.0077854209993067774,0.0076244873737641335,0.0071793779292714105,0.006909292838683497,0.008076405018719441,0.008218755156683327,0.007343063910672663
Requisitons per number of slots,0,all,22,-, ,0.006612235815217679,0.006784231704339148,0.006331679735424335,0.00679357969391564,0.006866807252535315,0.006273966766084363,0.006396702334422588,0.007710500917411732,0.007053012035366198,0.006578493264875943
Requisitons per number of slots,0,all,23,-, ,0.005436020790395304,0.005419953497754515,0.004843441617325439,0.005273822855009865,0.00565345936609196,0.004851938645078824,0.0047094252578970975,0.005679468007254446,0.005461426677951486,0.005166161377501447
Requisitons per number of slots,0,all,24,-, ,0.004360472817246915,0.004851946617970252,0.0037285965754520725,0.004191329387298032,0.0045937668888488565,0.004058372390285471,0.004079366096409731,0.004459787669562082,0.004551188898292905,0.0041520433681460755
Requisitons per number of slots,0,all,25,-, ,0.004079664725735267,0.004135302423849919,0.0034618872352909797,0.0039407028208819925,0.003984443714434072,0.003973157221985513,0.0034813438414386705,0.004009036240414904,0.003779349845366038,0.003875948412719482
Requisitons per number of slots,0,all,26,-, ,0.0038359444953666665,0.004145919374873924,0.003472555608897424,0.0035087719298245615,0.00397384678966164,0.0036908819769919045,0.003427948997244826,0.0039188859545854675,0.004130669690146543,0.0037325914166325973
Requisitons per number of slots,0,all,27,-, ,0.002781589585728591,0.002319803798745076,0.0022456926441563984,0.002202314296379246,0.0026545296554939756,0.0024126544524925436,0.002029004079366096,0.00232269559960546,0.002496500109122073,0.0024264498967298677
Requisitons per number of slots,0,all,28,-, ,0.002802782649238904,0.0029408954336493645,0.0025177361711207127,0.0023569562203380793,0.0027128127417423466,0.002258201959948871,0.0021144358300762478,0.002449966591364663,0.0024379468016586556,0.002511402190707281
Requisitons per number of slots,0,all,29,-, ,0.0022305699344604512,0.0020066037435369313,0.001872299567930869,0.0017383885245027461,0.002061101868237837,0.0017628887942053686,0.001484376668588881,0.0016492199348796758,0.001724661056195206,0.0016724982876803246
Requisitons per number of slots,0,all,30,-, ,0.0022199734027052945,0.002213634288505027,0.0019043046887502,0.00193035780941716,0.0021776680407345787,0.001943971026842778,0.0017780483116550266,0.0020098210781974183,0.002001458509658634,0.002017616981963566
Requisitons per number of slots,0,all,31,-, ,0.0015311988386201196,0.0012740341228805912,0.001237531338347469,0.0011144883485309017,0.001547151016774932,0.0012729015764806136,0.0010251810085218172,0.001023470892063593,0.0013467260716586024,0.001088451266585608
Requisitons per number of slots,0,all,32,-, ,0.0011338288978017495,0.0012103324167365617,0.001093508294660479,0.0010131712259371835,0.001139169413036337,0.0011823604601619087,0.0010518784306187395,0.0010924093459331616,0.0012722036803415255,0.001008808490981783
Requisitons per number of slots,0,all,33,-, ,0.001086144504903545,9.555255921604433E-4,8.694724489251614E-4,9.065216232069536E-4,0.001070289402015535,9.054111631870473E-4,9.504282266504347E-4,8.961999003043898E-4,9.687910871219985E-4,9.504037888723114E-4
Requisitons per number of slots,0,all,34,-, ,0.00122389941772058,0.0012581086963445837,9.974929322024858E-4,9.971737855276489E-4,0.0014093909947333284,0.0011291009799744354,9.824651331667414E-4,9.704413121639251E-4,0.0010326674225366358,0.0010990703033327846
Requisitons per number of slots,0,all,35,-, ,9.06003465065884E-4,6.847933410483178E-4,6.401024163866218E-4,5.439129739241721E-4,7.523816588426038E-4,6.124840221559438E-4,7.261698810362871E-4,5.939312948762819E-4,6.653784939024714E-4,6.796183518193064E-4
Requisitons per number of slots,0,all,36,-, ,7.841433498815837E-4,7.378780961683424E-4,4.3206913106096973E-4,5.172505732416147E-4,6.782031854355866E-4,5.805283340434597E-4,5.446274107772153E-4,6.416579167859832E-4,5.58917934878076E-4,5.415708741060098E-4
Requisitons per number of slots,0,all,37,-, ,6.622832346972836E-4,5.733153552962661E-4,4.4273750466741345E-4,5.065856129685917E-4,5.828308624837072E-4,5.432466979122284E-4,4.2181926913137266E-4,4.507514291471783E-4,6.973166616097901E-4,4.7254713524936154E-4
Requisitons per number of slots,0,all,38,-, ,5.828092465336095E-4,6.582509634883054E-4,3.3605376860297646E-4,3.892710499653389E-4,4.7686161475939684E-4,4.846612697060077E-4,4.805535977446018E-4,4.719632611070455E-4,3.939040683902631E-4,3.344996575360649E-4
Requisitons per number of slots,0,all,39,-, ,4.980369924923573E-4,7.113357186083301E-4,4.1073238384808236E-4,4.425958513304538E-4,4.6626468998696576E-4,4.5270558159352364E-4,4.5385617564767944E-4,5.515076309565476E-4,5.482718789756365E-4,3.822853228983599E-4
Requisitons per number of slots,0,all,40,-, ,4.3975606783899627E-4,4.459119430082069E-4,2.0269909852243026E-4,2.7728896709859754E-4,3.126092807867157E-4,3.887942053685556E-4,3.257085495824523E-4,3.4999522733780903E-4,3.779349845366038E-4,2.0176169819635661E-4
Requisitons per number of slots,1,all,2,-, ,0.035120016217667395,0.03670319408969817,0.03970043617809234,0.03779323751692805,0.03469416723079947,0.03712511343632805,0.03819909200670888,0.03973448273973503,0.04038485745716053,0.03850650099065328
Requisitons per number of slots,1,all,3,-, ,0.05332653944564068,0.05460437779791821,0.05530957671522234,0.054612074614477306,0.0520658179197694,0.054837581045472934,0.05589458099551466,0.05485604122966038,0.053952286869858854,0.05336904441749038
Requisitons per number of slots,1,all,4,-, ,0.07874882887621427,0.07731729422427289,0.0784187858338134,0.07675505657245206,0.07527351341908152,0.07785285531538033,0.07792789593588322,0.07880079085586597,0.07617244153527039,0.07474081107336322
Requisitons per number of slots,1,all,5,-, ,0.08027745360706126,0.07830051358106067,0.08016898472005048,0.07614346249617754,0.0774026597951652,0.07804419370004702,0.07846875836561208,0.07891032767940763,0.07771581188395169,0.07672760602185474
Requisitons per number of slots,1,all,6,-, ,0.0931858402231025,0.09372442393782099,0.09370970839162758,0.09005722773142283,0.09126394863843819,0.09396901411530598,0.09371670827847313,0.09580090586953069,0.09235046547392962,0.09261647722595127
Requisitons per number of slots,1,all,7,-, ,0.0810992948602048,0.08050314465408805,0.08116204427619125,0.07823489581058057,0.08108226148101239,0.08004504652256153,0.08194338973235504,0.07957850230301171,0.08102694330576794,0.08079449844404318
Requisitons per number of slots,1,all,8,-, ,0.0717960518746199,0.0719123341847244,0.07336570378295339,0.07106504739854091,0.07144650929181316,0.07358327593181793,0.07297272195846832,0.07257362243752294,0.07274637827897787,0.07234787572103643
Requisitons per number of slots,1,all,9,-, ,0.06424059128738693,0.06379390843426437,0.0641977340685266,0.06205495609628238,0.0633666717620597,0.06319633504991198,0.06328090427827646,0.06253457255993033,0.06331649490742515,0.06470255703802902
Requisitons per number of slots,1,all,10,-, ,0.06734715122426951,0.06791903545631815,0.06703974981483006,0.06671836092787559,0.06766317996200293,0.06714883939602673,0.06762965674357112,0.0673268085898777,0.06651269449476513,0.06872005400569695
Requisitons per number of slots,1,all,11,-, ,0.0563235205487708,0.05654884512921919,0.05663182728444847,0.05611921715958237,0.05541785862468063,0.05610588119526355,0.05604755218776121,0.056537431471024774,0.05585687155546556,0.05657974896132336
Requisitons per number of slots,1,all,12,-, ,0.046532651752987396,0.04739776441185356,0.04611966093325652,0.04737669826569394,0.0469340292184395,0.04739178447644351,0.04658519129593916,0.04658053421108841,0.04740117230471166,0.04723851967311186
Requisitons per number of slots,1,all,13,-, ,0.03798550272029455,0.03793908434264371,0.03689682604998217,0.03738368791227994,0.03918721201930426,0.03702671083849947,0.03761452352205243,0.03718775159239157,0.03780710059819283,0.0389291065459954
Requisitons per number of slots,1,all,14,-, ,0.03338319170269071,0.03338002252066683,0.033928620415329326,0.03457144729369621,0.03469416723079947,0.03326007806606095,0.03370829486289957,0.03337039329196493,0.03406360656096587,0.03464267877038248
Requisitons per number of slots,1,all,15,-, ,0.028457623125517074,0.02894180330120019,0.029029160837242475,0.03020837883884496,0.02950778503264691,0.029187303878155716,0.028518200840248906,0.028550773056132146,0.029094172955992054,0.028912806046003634
Requisitons per number of slots,1,all,16,-, ,0.022841707895702865,0.022987558704787015,0.023416454064137383,0.025037132497488096,0.02414124429497958,0.02380796186352653,0.022945678836981877,0.023046547673164025,0.023577444901131256,0.023468329281076603
Requisitons per number of slots,1,all,17,-, ,0.020436452494836096,0.020032407788855015,0.01937289112007242,0.020674064042636844,0.020281484069617627,0.019210373820535528,0.019230664168137193,0.019765919808091486,0.019625978972947235,0.01993929847477813
Requisitons per number of slots,1,all,18,-, ,0.02086380994647074,0.021065062755760623,0.020365950676213208,0.022410554366344853,0.021782805232240736,0.021030821880364307,0.020634721182685847,0.02025883551402893,0.02149225304706185,0.021508976251763144
Requisitons per number of slots,1,all,19,-, ,0.013971301303440228,0.013869435060833265,0.013864428167777686,0.014246865580359093,0.014014150634376433,0.014164507276325428,0.013740091017859387,0.013790686083894253,0.014229655697061576,0.013775843427385937
Requisitons per number of slots,1,all,20,-, ,0.015932762427609482,0.015693059789624014,0.015263489973390392,0.0163819841859246,0.016263402703469963,0.016367632105487584,0.015575745324817937,0.015740441542935697,0.015685458933760953,0.016591384335054856
Requisitons per number of slots,1,all,21,-, ,0.010837346658119518,0.011210897805608196,0.010599950621348038,0.011516534882704993,0.011399122136571092,0.011228829774439378,0.010626034604268988,0.010663409771780027,0.010628458216805223,0.010834069691497944
Requisitons per number of slots,1,all,22,-, ,0.010059336938476963,0.009958529015956716,0.009343538254738978,0.00988925778690315,0.010159849758696745,0.0097855916729535,0.009735523735119454,0.009436597348113501,0.009818462430972487,0.010115091409032781
Requisitons per number of slots,1,all,23,-, ,0.008119791581058203,0.008519403476971246,0.007626258469810441,0.00855685640644795,0.008713122092896295,0.00883983337160101,0.008353319748034594,0.007985234436186586,0.008373605083270851,0.007963644945472907
Requisitons per number of slots,1,all,24,-, ,0.006552814258397848,0.006574936145670265,0.006479576440896497,0.006831287405530558,0.007097154586945603,0.006478171023715026,0.006490349156746303,0.006342182083061774,0.0067864511785985975,0.006695828279446551
Requisitons per number of slots,1,all,25,-, ,0.005774804538755294,0.005805937766059708,0.005481030367870957,0.00630706391158097,0.0063928984779333085,0.005772952405943517,0.005616228058194612,0.005701391665343097,0.0063267238406935315,0.0057792681788993595
Requisitons per number of slots,1,all,26,-, ,0.005747409830317176,0.0060366372799428745,0.005470057334101446,0.006154165392512341,0.006447491974755967,0.006204830474191185,0.0059658764976152885,0.005569947477093112,0.00605854956024891,0.005889035855611598
Requisitons per number of slots,1,all,27,-, ,0.003999627431965242,0.004322869462525061,0.003643047211477793,0.004603337556244812,0.004793309021029415,0.004209444462667147,0.0041138324200588935,0.004058339312218285,0.004296261431612822,0.004237032321092408
Requisitons per number of slots,1,all,28,-, ,0.003972232723527124,0.003932877427151136,0.003873480920637533,0.004062732078109301,0.004465748040093464,0.004258645761581439,0.00381335329243175,0.004217167706353684,0.0043619367655992605,0.004022985351503543
Requisitons per number of slots,1,all,29,-, ,0.0033366754877627836,0.003251764576638928,0.0029572326008833294,0.0032327115460224543,0.0036359268883890553,0.0032691529723051357,0.0029501587076119556,0.0033353962768433677,0.00303201125237389,0.003111913634791963
Requisitons per number of slots,1,all,30,-, ,0.003407901729701891,0.0033616214880118644,0.0030120977697308863,0.0036750251190424185,0.0033192846068176357,0.003187150807447983,0.0032178582940434112,0.0032641973415412926,0.0030046465298795406,0.003238146463011037
Requisitons per number of slots,1,all,31,-, ,0.0026956393103108206,0.0024168520502046084,0.0022604449565193536,0.002724870036258792,0.0028989146812831656,0.002339795103924077,0.00245846558967663,0.002344088023791398,0.002451879135493687,0.002211818685751607
Requisitons per number of slots,1,all,32,-, ,0.0025093552929316173,0.002103759852791739,0.0019641730447425452,0.002249792494866978,0.0023256829646452516,0.0018696493587430708,0.0019449194442775115,0.002108583853176842,0.0020687730205727986,0.0018550737364368315
Requisitons per number of slots,1,all,33,-, ,0.0019066717072930193,0.0018675674933399248,0.001892848325240721,0.0021460399283561226,0.002063634179896491,0.0016127092421906605,0.0017427789402374332,0.0018456954766768719,0.001641883349660951,0.0016135848476699066
Requisitons per number of slots,1,all,34,-, ,0.002142266199860835,0.0020323528603993298,0.001969659561627301,0.0026866454064916343,0.0025113008538422904,0.0018860497917145014,0.002054184581596473,0.0020976301708226764,0.0019866788530897507,0.001970329796984682
Requisitons per number of slots,1,all,35,-, ,0.0014190458970945172,0.0012084260251023042,0.0012948179848023481,0.0017091870167314665,0.0014631057148472475,0.0012245656618668065,0.0011308941712512496,0.0011994282177811126,0.0012204666232479735,0.001355630807396146
Requisitons per number of slots,1,all,36,-, ,0.0014409616638450117,0.0010546263491801927,9.656269717170055E-4,0.0012887160892927352,0.0013975935186600573,0.0011152294420572703,0.0011199676575193536,0.001172044011895699,0.001275196068236672,0.0010757232317799377
Requisitons per number of slots,1,all,37,-, ,0.0012711144715286794,9.887122023564308E-4,7.900584314048226E-4,0.001283255427897427,0.0012556504269211452,9.074906244191513E-4,0.0010270922907982365,0.0010351229824686315,0.0010891159552750976,9.440020197252515E-4
Requisitons per number of slots,1,all,38,-, ,0.0010026463288351222,0.0010326549669056055,9.272213535237155E-4,0.0011631208772006464,0.0012119756294630183,9.730923563048731E-4,0.0011855267399107305,9.803545706978042E-4,0.0010617512327807483,0.0010153510095882066
Requisitons per number of slots,1,all,39,-, ,0.0010409989206484876,9.942050479250775E-4,8.61383150906647E-4,0.0011685815385959546,0.0010754918874063722,8.5828932550486E-4,0.001005239263334444,9.584472059894735E-4,9.413464538056119E-4,0.0010537696964374901
Requisitons per number of slots,1,all,40,-, ,8.930674950826498E-4,6.920985416495016E-4,6.254629248621513E-4,9.064697916211611E-4,8.898739982093333E-4,6.23216452914357E-4,8.140252730262619E-4,7.393735589061653E-4,5.637132833835933E-4,9.055833328759681E-4
Requisitons per number of slots,2,all,2,-, ,0.03544783483993211,0.03546345561467376,0.03572113811044773,0.0356499473153488,0.032703877664943135,0.03628246844635599,0.03632112324563129,0.0347215945042032,0.03382523066504895,0.03551656347448818
Requisitons per number of slots,2,all,3,-, ,0.048254394324737354,0.04765611873424811,0.047695901944629415,0.04653810856437158,0.044578768417075934,0.044445320152673475,0.046955534446611547,0.0464498779716171,0.047402725656725264,0.04734035341438062
