Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Blocking probability,0,all,all,all, ,0.002306092008164547,0.002296278850682996,0.0025317946302402263,0.0025710472601664313,0.0024042235829800597,0.002384597268016957,0.0024042235829800597,0.002188334118385932,0.0025219814727586746,0.0026888051499450462
Blocking probability,1,all,all,all, ,0.002119642016015073,0.0020313235986811114,0.0024042235829800597,0.0022668393782383418,0.0021294551734966243,0.0025317946302402263,0.0020313235986811114,0.0022472130632752393,0.0022668393782383418,0.002080389386088868
Blocking probability,2,all,all,all, ,0.0018350604490500863,0.002188334118385932,0.0016387972994190612,0.002011697283718009,0.0021687078034228293,0.0026888051499450462,0.002934134086983828,0.002237399905793688,0.0023649709530538547,0.00202151044119956
Blocking probability,3,all,all,all, ,0.004288349819437902,0.003081331449207097,0.003424791961061391,0.0036701208981001726,0.0032481551263934686,0.004082273512325325,0.0035818024807662114,0.00434722876432721,0.0029145077720207253,0.002855628827131418
Blocking probability,4,all,all,all, ,0.008135107552205997,0.007507065473386717,0.011628591615638248,0.008871094363322342,0.005946773433820066,0.007438373371015858,0.008733710158580625,0.009145862772805779,0.0073500549536818964,0.008360810174281677


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,2,all,all,all, ,0.0,9.813157481551263E-6,2.9439472444653793E-5,9.813157481551263E-6,3.925262992620505E-5,9.813157481551263E-6,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,3,all,all,all, ,7.752394410425499E-4,8.537447008949599E-4,7.261736536347935E-4,0.001118699952896844,6.084157638561784E-4,0.0011677657403046005,4.121526142251531E-4,9.322499607473701E-4,3.827131417804993E-4,8.243052284503062E-4
Blocking probability by fragmentation,4,all,all,all, ,0.0035818024807662114,0.0030617051342439945,0.0048575129533678756,0.004082273512325325,0.0026102998900926363,0.003199089338985712,0.003424791961061391,0.0040920866698068775,0.0029930130318731353,0.003611241953210865


Blocking probability by QoTN,0,all,all,all, ,0.001982257811273355,0.0019233788663840477,0.002237399905793688,0.002149081488459727,0.0021000157010519706,0.002080389386088868,0.002158894645941278,0.001933192023865599,0.002119642016015073,0.002306092008164547
Blocking probability by QoTN,1,all,all,all, ,0.0012658973151201131,0.0011972052127492542,0.0013836552048987283,0.0013247762600094206,0.0011677657403046005,0.0012070183702308055,0.001226644685193908,0.0014327209923064846,0.0013542157324540744,0.0012560841576385617
Blocking probability by QoTN,2,all,all,all, ,6.476683937823834E-4,9.715025906735751E-4,6.476683937823834E-4,9.715025906735751E-4,8.14492070968755E-4,0.0010500078505259853,9.911289056366776E-4,8.14492070968755E-4,7.850525985241011E-4,8.243052284503062E-4
