Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Total energy consumption (Joule),0,all,all,all, ,1.2136731959073574E12,1.208362702596805E12,1.2391200184898804E12,1.21690300039717E12,1.2109498561327788E12,1.2460465259361924E12,1.220880073199036E12,1.210315827587819E12,1.192114629349598E12,1.2237019267520317E12
Total energy consumption (Joule),1,all,all,all, ,1.0791852777956099E12,1.1071227163058723E12,1.1147585046517869E12,1.111726694546338E12,1.0979047089111548E12,1.0883607254755167E12,1.1231063845284033E12,1.0993403588811848E12,1.0810216595756919E12,1.115287031273079E12
Total energy consumption (Joule),2,all,all,all, ,1.0304951319035125E12,1.038492958855473E12,1.0744897692203855E12,1.0440775192858804E12,1.0141195855303999E12,1.1106281889003474E12,1.03707774235543E12,1.0473621422239917E12,1.0426625674371255E12,1.0463984420536436E12
Total energy consumption (Joule),3,all,all,all, ,9.633452168686055E11,9.988886162284156E11,1.0123180698447528E12,9.948315493640364E11,9.764802109646842E11,9.62342002428054E11,1.0025702813046299E12,9.517893127294159E11,1.0499459742712852E12,1.0071123683945255E12
Total energy consumption (Joule),4,all,all,all, ,9.266962812551565E11,9.128641180258752E11,8.762725236276559E11,9.486549488678817E11,9.754059636684414E11,9.114149613954886E11,9.133520213616539E11,9.120253387000796E11,9.577369992226975E11,9.36841877341579E11


Average power consumption (Watt),0,all,all,all, ,429942.83165133453,430813.90079544816,429378.37489301775,430048.3449356745,428877.9990648775,428973.35718674073,429932.4055226685,429130.55509261665,430414.6302929599,429283.21933397924
Average power consumption (Watt),1,all,all,all, ,531682.1509682547,532580.5753869867,531533.8993511634,533812.2896614678,533474.2462268975,532645.8379337183,534920.8924043557,532388.5295041102,533883.2055195384,533331.7428146603
Average power consumption (Watt),2,all,all,all, ,625430.7510620633,627360.9306301766,629774.0207670608,627115.3647164238,622267.8090522486,627434.0510183555,625496.8539701035,629526.4480782484,622796.5143865547,629644.0554008975
Average power consumption (Watt),3,all,all,all, ,710968.7614436572,711190.3955704818,712709.4845537457,718106.6365109237,704944.5078791913,706057.6700366058,708326.4042470693,706980.060168512,714963.7327537766,717368.5381264162
Average power consumption (Watt),4,all,all,all, ,784294.4618024628,783881.343124364,770593.7320226538,779930.6054500204,791452.354453252,778240.6634786341,783083.9158407965,780862.7657178636,790471.577573199,780516.4185728568


Energy efficiency (bits/Joule),0,all,all,all, ,2.598343119300359E7,2.621356266554316E7,2.543175494856259E7,2.5946411363758158E7,2.6141693280507345E7,2.52410717834053E7,2.5984355080541518E7,2.604419497226944E7,2.6559785397741806E7,2.565843720728547E7
Energy efficiency (bits/Joule),1,all,all,all, ,2.9016541385023575E7,2.8560002754156962E7,2.8309361958085045E7,2.8283234568948653E7,2.8901520930903982E7,2.8946254898811627E7,2.8314015333618775E7,2.8490830760680847E7,2.9252445319456056E7,2.824195341968647E7
Energy efficiency (bits/Joule),2,all,all,all, ,3.0526596460425325E7,3.0202560045289457E7,2.958672551483696E7,2.9862607417880237E7,3.0661029842324186E7,2.8293232723106973E7,3.024446568841613E7,3.0203042549179934E7,2.9938461216323815E7,3.0270619987839643E7
Energy efficiency (bits/Joule),3,all,all,all, ,3.2713992892134473E7,3.1442946071525607E7,3.094113383075764E7,3.1770455626856048E7,3.1794304769685343E7,3.2524792608353417E7,3.1284427122029033E7,3.2784842726458885E7,3.0047685905193217E7,3.1183225969298095E7
Energy efficiency (bits/Joule),4,all,all,all, ,3.320922870102659E7,3.3787293427014574E7,3.472180406049755E7,3.238385417351239E7,3.154280406217273E7,3.366134757776E7,3.368816105189521E7,3.349955385759616E7,3.2403011453644387E7,3.279267892872639E7


Total data transmitted (bits),0,all,all,all, ,3.1535393976651588E19,3.167549142722644E19,3.151299666209298E19,3.1574265838096527E19,3.16562797170976E19,3.1451549806618227E19,3.172378133276127E19,3.1521701391720804E19,3.1662308725033837E19,3.1398279048001253E19
Total data transmitted (bits),1,all,all,all, ,3.131422427526448E19,3.161942782688545E19,3.1558102004041064E19,3.1443226878416003E19,3.1731115924733784E19,3.150396698146985E19,3.1799651392822354E19,3.132112011326998E19,3.1622526985885565E19,3.149788438679471E19
Total data transmitted (bits),2,all,all,all, ,3.145750904605129E19,3.1365145946442736E19,3.1790633870424056E19,3.1178877072268526E19,3.1093950875633025E19,3.142326181740034E19,3.1365862194888868E19,3.1633523345991467E19,3.1215712836928995E19,3.1675129595273286E19
Total data transmitted (bits),3,all,all,all, ,3.15148685773113E19,3.140800089153091E19,3.1322268878360756E19,3.160625159526657E19,3.1046509428977807E19,3.1299974047279997E19,3.136483690018684E19,3.120426292655829E19,3.1548446852325655E19,3.140501256012148E19
Total data transmitted (bits),4,all,all,all, ,3.0774868740593353E19,3.084320781473311E19,3.0425762868997177E19,3.0721103525118337E19,3.076703919306842E19,3.0679455803104256E19,3.076914999270543E19,3.0552441953275695E19,3.1033562955392074E19,3.072155489064767E19


Total energy consumption by transponders (Joule),0,all,all,all, ,7.514007711376117E11,7.47120555088511E11,7.511216020061461E11,7.411932848901134E11,7.37839683981084E11,7.388687678511012E11,7.515617874753335E11,7.466555969718406E11,7.472319435679446E11,7.395504282418436E11
Total energy consumption by transponders (Joule),1,all,all,all, ,8.259786597962225E11,8.412346517167852E11,8.430052071108188E11,8.407387825933295E11,8.295798911491111E11,8.234018039416229E11,8.39597203933712E11,8.386816395473181E11,8.329839340102137E11,8.381425379643472E11
Total energy consumption by transponders (Joule),2,all,all,all, ,8.459915422769395E11,8.635531649165244E11,8.505217735789813E11,8.565593171487078E11,8.425816015450378E11,8.483454016836964E11,8.634767861650446E11,8.557555001528455E11,8.491999806764324E11,8.573315749982867E11
Total energy consumption by transponders (Joule),3,all,all,all, ,8.224022258041877E11,8.477616097847505E11,8.606903769723785E11,8.499595444961243E11,8.326384596716248E11,8.088903836284508E11,8.468110183437723E11,8.174849618448704E11,8.725242709960039E11,8.69774415167731E11
Total energy consumption by transponders (Joule),4,all,all,all, ,8.138592777745835E11,8.012319334355785E11,7.61378174429198E11,8.048845735294371E11,8.359424318540083E11,7.826601594481213E11,7.904874984270553E11,7.930163940304467E11,8.447194410499386E11,7.954492982706547E11


Total energy consumption by OXCs (Joule),0,all,all,all, ,3.0169322737472345E11,3.0102083669026294E11,3.1848280220492126E11,3.104628173231852E11,3.087662752355402E11,3.3099983146427576E11,3.062915733216865E11,3.025989522293436E11,2.903441479198224E11,3.1597218500887494E11
Total energy consumption by OXCs (Joule),1,all,all,all, ,1.652504403976152E11,1.7352674316720468E11,1.7735457490395364E11,1.768550606871308E11,1.7511704336612106E11,1.7292035578177133E11,1.850268263926384E11,1.7011391133348685E11,1.618770619376831E11,1.8087303536889664E11
Total energy consumption by OXCs (Joule),2,all,all,all, ,1.2041272728821738E11,1.1417109955455136E11,1.461684145822869E11,1.2238015629517151E11,1.1195097356645206E11,1.711738280725761E11,1.1329733278921535E11,1.2504839816407068E11,1.2625964485155647E11,1.2339086273633923E11
Total energy consumption by OXCs (Joule),3,all,all,all, ,9.198373853091208E10,9.863014074477835E10,9.8956904134689E10,9.454793399501851E10,9.38755587691623E10,1.0014725439136328E11,1.0165329407129454E11,8.765115740790268E10,1.1579087005698317E11,8.963097976408257E10
Total energy consumption by OXCs (Joule),4,all,all,all, ,7.364090506653758E10,7.285460313734393E10,7.498359227043779E10,9.38289766220324E10,9.101819784109134E10,8.402935078561674E10,8.018517321784392E10,7.766890404878691E10,7.375874062168747E10,9.227715351611153E10


Total energy consumption by Amplifiers (Joule),0,all,all,all, ,1.6057919739502222E11,1.6022131081803107E11,1.6951561427881305E11,1.6524689818387137E11,1.643438969161547E11,1.7617792662081543E11,1.6302671240201584E11,1.610612783866349E11,1.5453853786183096E11,1.681793135013133E11
