Metrics,LoadPoint, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Rate of requests by circuit,0, ,1.6252646473714236,1.6047003007994505,1.621363141544443,1.6100828199403334,1.6037467628949624,1.6110131406304165,1.611450052271349,1.6175495375622253,1.6118481070514905,1.6089872389614297
Rate of requests by circuit,1, ,1.9057982513141645,1.9279137198144667,1.9202337807767567,1.912155397899389,1.9021470648124763,1.893968535403328,1.9184484273777278,1.9147872190954829,1.8977712795983077,1.906204885069296
Rate of requests by circuit,2, ,2.116726927985202,2.1370377402745615,2.1117979927361277,2.1236700400600763,2.0994622696290133,2.1139797547529766,2.1353567955579518,2.1318043694039073,2.130007599454061,2.1143516153779123
Rate of requests by circuit,3, ,2.3116588460030822,2.327676298207562,2.3137606582041883,2.3142604012141095,2.3280247643356904,2.3128623855765214,2.327487453950171,2.3089139777439907,2.303537032607867,2.306950921117781
Rate of requests by circuit,4, ,2.4994755897589633,2.452019363497632,2.4662286402642772,2.486140287539547,2.4440158107120813,2.4519663549863844,2.4621894058229614,2.4350473088669182,2.474974401121745,2.4732333283862835


Maximum requests by circuit,0, ,25,27,26,27,24,23,30,23,26,23
Maximum requests by circuit,1, ,28,28,31,33,32,30,35,31,37,30
Maximum requests by circuit,2, ,32,35,30,31,36,33,31,31,34,33
Maximum requests by circuit,3, ,46,43,37,32,34,51,35,40,38,40
Maximum requests by circuit,4, ,45,36,35,34,38,40,42,34,44,31


Virtual hops,0, ,2.016238971564587,2.0207435821776336,2.020089329634221,2.0170697152751815,2.015807749436843,2.018148552542273,2.0188473229128756,2.0178892811833085,2.0184461912304346,2.0166191085309455
Virtual hops,1, ,1.9969219573597672,1.9936477968868305,1.9948848601697833,1.9996459236965567,1.9983085350143086,1.9917163488971528,1.991907332566349,2.0084583230882713,1.9957707552644262,2.003707272941824
Virtual hops,2, ,1.939606948690976,1.9538065125244637,1.9432753079017466,1.9600586043127268,1.94649056381106,1.952838728721834,1.9512031888194479,1.9470179786773674,1.9378043142539567,1.9500973470471397
Virtual hops,3, ,1.8525530468033942,1.8790235259375923,1.8948550046772685,1.8807544568107948,1.8665787167849723,1.846641967523254,1.873526428268941,1.8493805501621312,1.902122885234285,1.896184543316308
Virtual hops,4, ,1.8096463022508038,1.8036168045956555,1.7695866718295457,1.797,1.8542419396236847,1.7923892195440254,1.7860098600194032,1.8050152517529612,1.839711334091246,1.79803467521672


Maximum virtual hops,0, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,1, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,2, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,3, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,4, ,3,3,3,3,3,3,3,3,3,3


