Metrics,LoadPoint,Link,Number of slots,Slot, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Requisitons per number of slots,0,all,2,-, ,0.05817058433711457,0.05628564344160675,0.05635919685590879,0.057053502272494776,0.057113613101330604,0.05750450318874446,0.056224723694392124,0.0554906428307141,0.055421416957931326,0.05766410197687394
Requisitons per number of slots,0,all,3,-, ,0.08142809807819748,0.08269521545290569,0.08161796178839643,0.08394347260584273,0.08310669201150266,0.08220631906917872,0.0829135824098813,0.08151739985589375,0.08098780095995638,0.08227635304035123
Requisitons per number of slots,0,all,4,-, ,0.10846197325848829,0.10848733244847654,0.10623954239464571,0.10884592339281278,0.10882682653409367,0.10709799912370381,0.10907683996904793,0.10827442503553972,0.10820928217460302,0.10821399160912763
Requisitons per number of slots,0,all,5,-, ,0.09964234202627373,0.10351365936902904,0.10285906066383906,0.10227444332402902,0.10370911926694935,0.10146049364685264,0.10234135848432199,0.10337675994625227,0.10093659030502468,0.10387237297963678
Requisitons per number of slots,0,all,6,-, ,0.10282910380852142,0.10356227787420448,0.1038659091793455,0.10563081824426031,0.10598040649217721,0.10597828732778346,0.10395222869490313,0.10479834862028004,0.1051376164652965,0.10557783484307315
Requisitons per number of slots,0,all,7,-, ,0.08578918644992789,0.0852282395725461,0.08704618856764855,0.08769442861248727,0.08742018813666716,0.08590136799571589,0.08631052321648441,0.08758349399232732,0.08798302064977169,0.08631098853442352
Requisitons per number of slots,0,all,8,-, ,0.07033290453358282,0.07320974509317736,0.07026537997587455,0.07176504401284094,0.07122386313788566,0.0715787936322477,0.06961295314849693,0.07181943876458102,0.07249812584580335,0.07121521466892113
Requisitons per number of slots,0,all,9,-, ,0.06076774646240206,0.06002440648959807,0.05923382232771703,0.060585246564465296,0.06030121362772335,0.06025509955698359,0.0600207320456105,0.06069502054487741,0.060031349488380244,0.06014433080112853
Requisitons per number of slots,0,all,10,-, ,0.05741531204927299,0.057821988205150644,0.058416669909334994,0.05661507884314671,0.0592240580981625,0.05879947422228713,0.05794752748456047,0.05820237191096571,0.05911131015548178,0.0577225749550489
Requisitons per number of slots,0,all,11,-, ,0.048454371808365496,0.047753095783317046,0.04822172068952099,0.04953210477345687,0.04769215772286397,0.0479966895477338,0.047863771966964994,0.048178224377324684,0.0484943483298122,0.04878595479064238
Requisitons per number of slots,0,all,12,-, ,0.038591977546485794,0.03730984087163256,0.03759873925055449,0.037227020523087864,0.038070868060632646,0.038625188647096055,0.037570749322315175,0.03841697337929154,0.038286292874319706,0.03771019817466853
Requisitons per number of slots,0,all,13,-, ,0.029587182785639106,0.02878701691437795,0.03005467138799175,0.028765448336670222,0.02825461812155773,0.028951852392775423,0.029535864978902954,0.02876282837724679,0.029786881894210082,0.02938267153291785
Requisitons per number of slots,0,all,14,-, ,0.025196858067282578,0.025544162619176112,0.02483559671582552,0.024103545871269137,0.02379977579568163,0.02466286938318485,0.024459920478491718,0.024434772448443068,0.024534382210625726,0.024246794949883785
Requisitons per number of slots,0,all,15,-, ,0.021469223872451565,0.021693577009281272,0.022170123351103157,0.021107652437390698,0.021635716722717746,0.021844116644759264,0.021583714150837797,0.02105119666608245,0.021219319852404273,0.02080176198574234
Requisitons per number of slots,0,all,16,-, ,0.015885081666861575,0.017001891259851326,0.01663488851706292,0.016177824542943576,0.016279183116440027,0.016518183145903316,0.01671703677748091,0.01586142431500847,0.01650229279643278,0.016240869688095388
