Metrics,LoadPoint,Node, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Tx Utilization,0,all, ,201.0814393939394,202.23935272413252,199.9971934369603,202.3153065630397,201.12289017114148,199.30339338985712,201.1439884597268,199.7378709373528,201.924742895274,201.17326110849427
Tx Utilization,1,all, ,296.92843264248705,293.38038742345736,294.9270293609672,296.913555895745,296.6472464280107,298.7903124509342,297.35352881143035,296.2751314963103,299.62065277123565,297.27853666195637
Tx Utilization,2,all, ,381.9039880672005,378.5910562882713,381.6229588632438,380.67929620034545,380.84309742502745,380.6628199089339,378.18151397393626,380.7604411995604,378.53437549065785,382.8224505416863
Tx Utilization,3,all, ,457.3855687706076,449.4964868896216,452.3232748469147,459.4655460040823,449.8447362223269,455.5804875176637,448.91044512482335,455.5071047260166,454.22555542471343,458.7245152300204
Tx Utilization,4,all, ,518.1101625058878,524.4230746585022,517.9972621290626,514.5641387972994,525.2208451091224,519.4576365991521,526.0274768409483,525.4198559428481,520.0391839378239,521.9320536975978


Rx Utilization,0,all, ,201.0814393939394,202.23935272413252,199.9971934369603,202.3153065630397,201.12289017114148,199.30339338985712,201.1439884597268,199.7378709373528,201.924742895274,201.17326110849427
Rx Utilization,1,all, ,296.92843264248705,293.38038742345736,294.9270293609672,296.913555895745,296.6472464280107,298.7903124509342,297.35352881143035,296.2751314963103,299.62065277123565,297.27853666195637
Rx Utilization,2,all, ,381.9039880672005,378.5910562882713,381.6229588632438,380.67929620034545,380.84309742502745,380.6628199089339,378.18151397393626,380.7604411995604,378.53437549065785,382.8224505416863
Rx Utilization,3,all, ,457.3855687706076,449.4964868896216,452.3232748469147,459.4655460040823,449.8447362223269,455.5804875176637,448.91044512482335,455.5071047260166,454.22555542471343,458.7245152300204
Rx Utilization,4,all, ,518.1101625058878,524.4230746585022,517.9972621290626,514.5641387972994,525.2208451091224,519.4576365991521,526.0274768409483,525.4198559428481,520.0391839378239,521.9320536975978


Regenerators Utilization,0,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regenerators Utilization,1,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regenerators Utilization,2,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regenerators Utilization,3,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regenerators Utilization,4,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Tx Utilization Per Node,0,11, ,8.210158580624903,8.380750510284189,7.83311744386874,8.336866070026693,8.344392761815042,7.959481472758675,8.599103077406186,7.941837415606845,8.240275160935782,8.455683780813315
Tx Utilization Per Node,0,12, ,7.591134793531166,7.777408148845972,7.629533678756476,8.007055660229236,7.796749882242111,7.7964554875176635,7.765504788820851,7.442298634008479,7.6318692102370855,7.631751452347308
Tx Utilization Per Node,0,13, ,13.020921651750667,13.002708431464908,13.010029046946146,13.293119013973936,12.832469775474957,12.237772805777988,12.846875490657874,13.156451169728372,13.798231669021824,13.263905244151358
Tx Utilization Per Node,0,14, ,13.582332391270215,13.099475977390485,13.218862851311037,13.590555817239755,13.567357512953368,12.831517899199246,12.883763149631026,13.60152692730413,13.200129533678757,12.900857669963887
Tx Utilization Per Node,0,15, ,6.702376746742032,6.582705291254514,6.6665685350918515,6.697784189040665,6.563422436803266,6.420474171769508,6.5337768880514995,6.820762678599466,6.933996702779086,6.419424163918983
Tx Utilization Per Node,0,16, ,3.919522295493798,4.363508792589103,3.9711689433192023,4.4287957293138644,4.281932014444968,4.364774689904223,4.354137227194222,4.241001334589417,4.800645705762286,4.974966635264563
Tx Utilization Per Node,0,17, ,8.49114853195164,8.565836473543728,8.795012953367875,8.654351154027319,8.562195792118072,8.266162270372115,8.587602056837808,8.436685507929031,8.538820850997016,8.467410504003768
Tx Utilization Per Node,0,1, ,24.928736850368974,24.252237399905795,24.554384518762756,24.948235594284817,24.592969853980218,25.3819673418119,24.597189511697284,25.17200502433663,25.454614146647824,25.26823284660072
Tx Utilization Per Node,0,2, ,10.496192494897159,10.71982454074423,10.665018056209766,10.56174438687392,10.335256712199717,10.533413801224683,10.413487203642644,10.257202857591459,11.113145705762285,10.380789762914116
Tx Utilization Per Node,0,3, ,11.792235829800596,12.199491678442456,11.595020803893862,12.035847464280106,11.638198696812687,11.462562804207883,11.633429502276652,11.851762443083686,11.67402653477783,12.092224054011618
Tx Utilization Per Node,0,4, ,26.566906107709215,26.463524493641074,25.951935154655363,26.266113204584705,26.35037878787879,25.645264170199404,26.399581959491286,26.16955173496624,26.016800125608416,25.149454388444024
Tx Utilization Per Node,0,5, ,19.163428324697755,19.29445360339143,18.804620034542314,18.753375726173655,19.20320105197048,18.868807897629143,19.83653242267232,18.615353666195634,18.948166902182447,19.748400455330508
Tx Utilization Per Node,0,6, ,12.320733239127021,12.615412545140524,12.510608023237557,12.133527633851468,12.36291018998273,12.972915685350918,12.19167059192966,12.031686685507928,11.736300832155754,12.182593421259224
Tx Utilization Per Node,0,7, ,13.967753964515623,14.383939786465692,14.618454623959805,14.06022334746428,13.900268880514995,14.294414350761501,14.157010519704821,13.836130083215576,13.999146255299104,14.044728371800911
Tx Utilization Per Node,0,8, ,8.503375726173653,8.61791490029832,8.478852645627256,8.740677500392525,8.733160621761659,8.715339927775162,8.408757261736536,8.431141073951954,8.352890956194065,8.438971973622232
Tx Utilization Per Node,0,9, ,3.1055699481865284,3.062647197362223,2.9822578112733553,2.9780577798712513,3.467410504003768,2.811970089495996,3.145342675459256,3.186430365834511,2.9979686764013187,3.101517114146648
Tx Utilization Per Node,0,10, ,8.718911917098445,8.857512953367875,8.711748312136914,8.828976291411525,8.590614696184645,8.740098524101114,8.79022413251688,8.54604333490344,8.487713926833099,8.652349269901084
Tx Utilization Per Node,1,11, ,12.035376432720993,12.638434212592244,12.00519116030774,11.584471659601194,12.178923300361124,11.466998351389543,12.483062490186843,11.108955487517663,11.468892290783483,11.952131417804994
Tx Utilization Per Node,1,12, ,11.30668079761344,11.694172947087456,11.196096325953839,11.850908698382792,11.577141230962475,11.313814963102528,11.298840084785681,11.457823049144293,11.564600015701052,11.411828780028262
